link_name,avg_speed,actype
0_526,11.0,A20N
0_526,20.0,A20N
0_526,6.0,A319
0_526,4.0,A320
0_526,9.0,A320
0_526,10.0,A321
0_526,1.0,A321
0_526,4.0,B738
0_526,0.0,B739
0_526,4.0,B739
0_526,15.0,B739
0_526,15.0,B752
0_526,7.0,B752
0_526,10.0,B753
0_526,13.0,B753
100_719,16.0,B38M
100_719,17.0,B712
100_719,15.0,B712
100_719,11.0,B738
100_719,0.0,B738
100_719,18.0,B738
101_626,7.0,B737
101_626,7.0,B738
101_626,9.0,B738
101_626,13.0,B738
101_626,12.0,B738
101_626,3.0,B738
101_626,12.0,CRJ9
101_626,26.0,CRJ9
10_536,6.5,A321
10_536,13.0,B738
10_536,11.0,B738
112_634,7.0,A320
112_634,7.0,B712
112_634,6.0,B712
112_634,8.0,B737
112_634,15.0,B738
112_634,10.0,B739
112_634,7.0,B739
112_634,6.0,CRJ9
113_723,14.0,A320
113_723,5.8333,B712
113_723,13.0,B712
113_723,7.0,B712
113_723,13.0,B712
113_723,9.0,B712
113_723,5.0,B712
113_723,6.0,B712
113_723,17.0,B712
113_723,12.0,B737
113_723,15.0,B737
113_723,12.0,B738
113_723,4.0,B738
113_723,18.0,B739
113_723,11.0,CRJ9
113_723,3.0,CRJ9
113_723,12.0,CRJ9
114_637,10.0,A320
114_637,13.0,B712
114_637,12.0,B712
114_637,11.0,B712
114_637,7.0,B712
114_637,8.0,B712
114_637,17.0,B712
114_637,11.0,B712
114_637,20.0,B737
114_637,12.0,B737
114_637,7.0,B737
114_637,10.0,B738
114_637,17.0,B739
114_637,4.5,CRJ9
114_637,5.0,CRJ9
115_635,20.0,B38M
115_635,4.0,B712
115_635,7.0,B712
115_635,16.0,B712
115_635,0.0,B712
115_635,9.0,B712
115_635,17.0,B712
115_635,7.0,B712
115_635,3.0,B712
115_635,7.0,B712
115_635,5.0,B712
115_635,11.0,B712
115_635,10.0,B712
115_635,5.5,B712
115_635,7.0,B712
115_635,5.0,B737
115_635,18.0,B737
115_635,5.0,B738
115_635,19.0,B738
115_635,10.0,CRJ9
117_652,1.5,A320
117_652,12.0,B712
117_652,10.0,B752
117_652,11.0,CRJ9
118_652,15.0,?
118_652,10.0,A20N
118_652,1.5,A320
118_652,9.0,A320
118_652,12.0,B712
118_652,9.0,B712
118_652,8.0,B712
118_652,14.0,B738
118_652,15.0,CRJ9
118_652,11.0,CRJ9
118_652,6.0,E75S
119_653,4.0,A319
119_653,13.0,B712
119_653,7.0,B712
119_653,15.0,B712
119_653,7.0,B712
119_653,9.0,B738
119_653,9.0,B738
119_653,14.0,CRJ9
119_653,11.0,CRJ9
119_653,6.0,CRJ9
119_653,17.0,E75S
119_653,7.0,E75S
11_537,6.0,A20N
11_537,4.0,A321
11_537,12.0,B739
11_537,11.0,B739
11_537,11.0,B752
12_538,11.0,A20N
12_538,9.0,A20N
12_538,19.0,A20N
12_538,5.0,A319
12_538,11.0,A321
12_538,12.0,A321
12_538,13.0,A321
12_538,12.0,B738
12_538,7.0,B738
12_538,5.0,B752
12_538,23.0,B752
130_664,14.0,A320
130_664,10.0,A333
130_664,5.0,A333
130_664,11.0,B712
130_664,4.0,B764
130_664,14.0,CRJ9
130_664,10.0,CRJ9
130_664,12.0,CRJ9
130_664,14.0,CRJ9
130_664,10.0,E75S
131_665,10.0,A20N
131_665,11.0,A320
131_665,14.0,A320
131_665,10.0,A333
131_665,16.0,B712
131_665,14.0,B738
131_665,8.2,B752
131_665,7.0,B764
131_665,16.0,CRJ9
131_665,6.0,E75S
13_539,10.0,A20N
13_539,5.5,B738
13_539,10.0,B739
142_676,9.0,A20N
142_676,3.0,A20N
142_676,4.7143,A20N
142_676,8.5,A20N
142_676,4.0,A20N
142_676,8.4,A319
142_676,10.0,A320
142_676,13.0,A320
142_676,5.0,A320
142_676,10.0,A320
142_676,5.4444,A320
142_676,8.0,B738
143_741,6.0,A20N
143_741,2.0,A320
143_741,9.0,A320
143_741,8.0,A320
143_741,5.5,A320
143_741,1.0,A320
143_741,13.0,B752
143_741,7.0,B752
144_677,7.0,A20N
144_677,4.0,A320
144_677,12.0,B738
145_710,16.0,A20N
145_710,4.0,A320
145_710,13.0,B738
145_710,11.0,B738
145_710,5.5455,B752
145_710,6.0,B752
145_710,5.6842,B752
145_710,4.0,B763
146_678,10.0,A20N
146_678,7.0,A320
146_678,13.0,B738
146_678,7.0,B752
146_678,12.0,B752
146_678,4.0,B752
146_678,8.0,B752
146_678,8.0,B752
146_678,8.0,B752
146_678,15.0,CRJ7
148_678,9.0,A20N
148_678,9.0,A20N
148_678,8.5,B738
148_678,4.0,B752
148_678,9.0,B752
148_678,8.0,B752
148_678,5.3333,B752
149_679,5.0,A359
149_679,4.7143,B738
149_679,9.0,B738
149_679,3.5833,B752
154_681,4.0,A359
157_684,18.0,A321
157_684,2.0,B739
162_163,28.0,?
163_164,51.0,?
164_165,64.5,A321
164_165,58.0,A321
164_165,42.3333,A359
164_165,50.0,B739
164_165,33.6,B753
164_503,18.0,A321
164_503,17.0,A321
164_503,14.0,A359
164_503,12.0,B739
164_503,16.0,B753
165_166,42.0,A20N
165_166,41.5,A20N
165_166,56.0,A20N
165_166,47.0,A319
165_166,41.5,A319
165_166,46.6667,A319
165_166,35.0,A320
165_166,50.6667,A320
165_166,50.0,A320
165_166,39.0,A320
165_166,44.0,A320
165_166,41.0,A320
165_166,44.0,A320
165_166,44.5,A320
165_166,64.5,A320
165_166,41.0,A320
165_166,49.4,A320
165_166,66.0,A320
165_166,47.25,A321
165_166,47.3333,A321
165_166,62.5,A321
165_166,43.3333,A321
165_166,43.3333,A321
165_166,58.0,A321
165_166,50.2,A321
165_166,55.5,A321
165_166,62.0,A321
165_166,40.0,A321
165_166,64.0,A321
165_166,51.0,A321
165_166,41.0,A321
165_166,41.0,A321
165_166,53.0,A321
165_166,40.0,A321
165_166,72.0,A321
165_166,65.0,A321
165_166,53.0,A333
165_166,52.0,A333
165_166,33.0,A339
165_166,47.0,A359
165_166,56.5,A359
165_166,46.0,A359
165_166,40.5,A359
165_166,55.5,B38M
165_166,43.0,B38M
165_166,46.8,B38M
165_166,70.0,B38M
165_166,46.0,B712
165_166,54.4,B712
165_166,59.0,B712
165_166,49.6667,B712
165_166,54.0,B712
165_166,54.0,B712
165_166,50.6667,B712
165_166,55.0,B712
165_166,45.6,B712
165_166,52.5,B712
165_166,62.0,B712
165_166,45.0,B712
165_166,67.0,B712
165_166,46.0,B712
165_166,56.0,B712
165_166,43.0,B712
165_166,55.3333,B712
165_166,57.0,B712
165_166,51.6667,B712
165_166,52.0,B712
165_166,49.6667,B712
165_166,56.0,B712
165_166,48.0,B712
165_166,48.6667,B712
165_166,51.3333,B712
165_166,62.6667,B712
165_166,57.0,B712
165_166,64.0,B712
165_166,55.25,B737
165_166,47.0,B737
165_166,50.25,B738
165_166,47.0,B738
165_166,41.0,B738
165_166,56.5,B738
165_166,58.25,B738
165_166,63.0,B738
165_166,48.6667,B738
165_166,41.0,B738
165_166,58.75,B738
165_166,44.0,B738
165_166,45.25,B738
165_166,48.0,B738
165_166,53.0,B738
165_166,40.0,B738
165_166,48.0,B738
165_166,38.5,B738
165_166,37.6667,B738
165_166,47.3333,B738
165_166,65.0,B738
165_166,61.0,B738
165_166,70.0,B738
165_166,49.0,B739
165_166,65.5,B739
165_166,46.5,B739
165_166,59.0,B739
165_166,52.0,B739
165_166,40.0,B739
165_166,48.0,B739
165_166,57.0,B739
165_166,53.5,B739
165_166,38.25,B739
165_166,55.0,B739
165_166,42.0,B739
165_166,55.2,B739
