timestamp,latitude,longitude,altitude_ft100,groundspeed_kts,heading,update_type,source
2026-03-23T02:35:21Z,45.47177,-73.72284,3,156,43,A,aeroapi_adsb
2026-03-23T02:35:37Z,45.48079,-73.71061,12,155,44,A,aeroapi_adsb
2026-03-23T02:35:53Z,45.48843,-73.70054,17,171,42,A,aeroapi_adsb
2026-03-23T02:36:09Z,45.49873,-73.68726,21,190,42,A,aeroapi_adsb
2026-03-23T02:36:25Z,45.51003,-73.67264,30,190,42,A,aeroapi_adsb
2026-03-23T02:36:47Z,45.52377,-73.65417,43,183,45,A,aeroapi_adsb
2026-03-23T02:37:03Z,45.53037,-73.63674,51,191,76,A,aeroapi_adsb
2026-03-23T02:37:21Z,45.52808,-73.61585,56,216,115,A,aeroapi_adsb
2026-03-23T02:37:48Z,45.50728,-73.58448,63,256,139,A,aeroapi_adsb
2026-03-23T02:38:18Z,45.4796,-73.54948,73,280,139,A,aeroapi_adsb
2026-03-23T02:38:36Z,45.4585,-73.53038,79,292,156,A,aeroapi_adsb
2026-03-23T02:38:52Z,45.43894,-73.52446,85,294,176,A,aeroapi_adsb
2026-03-23T02:39:08Z,45.41618,-73.52875,95,284,197,A,aeroapi_adsb
2026-03-23T02:39:48Z,45.36983,-73.56753,108,308,212,A,aeroapi_adsb
2026-03-23T02:40:18Z,45.3321,-73.60123,121,313,213,A,aeroapi_adsb
2026-03-23T02:40:48Z,45.29617,-73.63338,132,317,212,A,aeroapi_adsb
2026-03-23T02:41:18Z,45.25836,-73.66742,147,314,213,A,aeroapi_adsb
2026-03-23T02:41:48Z,45.22289,-73.6993,159,317,213,A,aeroapi_adsb
2026-03-23T02:42:18Z,45.18535,-73.73278,170,320,212,A,aeroapi_adsb
2026-03-23T02:42:48Z,45.14575,-73.76803,180,325,212,A,aeroapi_adsb
2026-03-23T02:43:18Z,45.10958,-73.80019,190,329,212,A,aeroapi_adsb
2026-03-23T02:43:48Z,45.06894,-73.8363,198,340,212,A,aeroapi_adsb
2026-03-23T02:44:18Z,45.02872,-73.87194,210,337,212,A,aeroapi_adsb
2026-03-23T02:44:48Z,44.98952,-73.90653,221,332,212,A,aeroapi_adsb
2026-03-23T02:45:18Z,44.95006,-73.94145,232,331,212,A,aeroapi_adsb
2026-03-23T02:45:48Z,44.91174,-73.97523,241,333,212,A,aeroapi_adsb
2026-03-23T02:46:18Z,44.87228,-74.01005,248,337,212,A,aeroapi_adsb
2026-03-23T02:46:48Z,44.83251,-74.04517,255,342,212,A,aeroapi_adsb
2026-03-23T02:47:18Z,44.79196,-74.08081,262,345,212,A,aeroapi_adsb
2026-03-23T02:47:48Z,44.75276,-74.11514,270,344,212,A,aeroapi_adsb
2026-03-23T02:48:07Z,44.72297,-74.13253,275,369,195,A,aeroapi_adsb
2026-03-23T02:48:26Z,44.69,-74.13457,279,406,176,A,aeroapi_adsb
2026-03-23T02:49:01Z,44.62283,-74.12382,280,431,173,A,aeroapi_adsb
2026-03-23T02:49:31Z,44.56439,-74.11377,280,446,173,A,aeroapi_adsb
2026-03-23T02:50:01Z,44.50096,-74.10265,280,448,173,A,aeroapi_adsb
2026-03-23T02:50:31Z,44.43604,-74.09134,280,450,173,A,aeroapi_adsb
2026-03-23T02:51:01Z,44.3757,-74.08081,280,451,173,A,aeroapi_adsb
2026-03-23T02:51:31Z,44.314,-74.07002,280,452,173,A,aeroapi_adsb
2026-03-23T02:52:01Z,44.25326,-74.05944,280,453,173,A,aeroapi_adsb
2026-03-23T02:52:31Z,44.18878,-74.04824,280,454,173,A,aeroapi_adsb
2026-03-23T02:53:01Z,44.12485,-74.03712,280,455,173,A,aeroapi_adsb
2026-03-23T02:53:33Z,44.06108,-74.02607,280,454,173,A,aeroapi_adsb
2026-03-23T02:54:03Z,43.99801,-74.01522,280,454,173,A,aeroapi_adsb
2026-03-23T02:54:33Z,43.93382,-74.0041,280,453,173,A,aeroapi_adsb
2026-03-23T02:55:03Z,43.87157,-73.99337,280,452,173,A,aeroapi_adsb
2026-03-23T02:55:33Z,43.8111,-73.98296,280,452,173,A,aeroapi_adsb
2026-03-23T02:56:03Z,43.74916,-73.97235,280,449,173,A,aeroapi_adsb
2026-03-23T02:56:33Z,43.68606,-73.96153,280,442,173,A,aeroapi_adsb
2026-03-23T02:57:03Z,43.62815,-73.95166,280,435,173,A,aeroapi_adsb
2026-03-23T02:57:33Z,43.56884,-73.94145,276,427,173,A,aeroapi_adsb
2026-03-23T02:58:03Z,43.51121,-73.93158,270,417,173,A,aeroapi_adsb
2026-03-23T02:58:33Z,43.45349,-73.9217,265,411,173,A,aeroapi_adsb
2026-03-23T02:59:03Z,43.39646,-73.91209,260,414,173,A,aeroapi_adsb
2026-03-23T02:59:33Z,43.33914,-73.90247,256,420,173,A,aeroapi_adsb
2026-03-23T03:00:03Z,43.28339,-73.89319,251,420,173,A,aeroapi_adsb
2026-03-23T03:00:33Z,43.22324,-73.88306,246,419,173,A,aeroapi_adsb
2026-03-23T03:01:03Z,43.16547,-73.87335,240,416,173,A,aeroapi_adsb
2026-03-23T03:01:33Z,43.10893,-73.86377,238,406,173,A,aeroapi_adsb
2026-03-23T03:02:03Z,43.05323,-73.85435,233,400,173,A,aeroapi_adsb
2026-03-23T03:02:33Z,43.00053,-73.8455,228,395,173,A,aeroapi_adsb
2026-03-23T03:03:03Z,42.94441,-73.83611,223,390,173,A,aeroapi_adsb
2026-03-23T03:03:33Z,42.89188,-73.82741,218,387,173,A,aeroapi_adsb
2026-03-23T03:04:03Z,42.83844,-73.81858,213,386,173,A,aeroapi_adsb
2026-03-23T03:04:33Z,42.78424,-73.80959,208,388,173,A,aeroapi_adsb
2026-03-23T03:05:03Z,42.73247,-73.80085,203,393,171,A,aeroapi_adsb
2026-03-23T03:05:33Z,42.67749,-73.78905,198,394,171,A,aeroapi_adsb
2026-03-23T03:06:03Z,42.62393,-73.77763,193,394,171,A,aeroapi_adsb
2026-03-23T03:06:33Z,42.57044,-73.76636,189,394,171,A,aeroapi_adsb
