id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,52.3287464,4.7088902,n0,Rwy,,,,
Rwy_01_002,1,52.3339456,4.7093194,n1,Rwy,,,,
Rwy_01_003,2,52.3389839,4.7097768,n2,Rwy,,,,
Ramp_01_001,3,52.302876,4.7617903,n3,Ramp,,,,
Txy_W5_Z,4,52.3206611,4.7338623,n4,Txy,,,,
Gate_B_020,5,52.3039574,4.7616727,n5,Gate,,,,
Rwy_01_004,6,52.3443958,4.7102846,n6,Rwy,,,,
Rwy_01_005,7,52.3625784,4.711935,n7,Rwy,,,,
Rwy_02_001,8,52.3019423,4.7373315,n8,Rwy,,,,
Rwy_02_002,9,52.3041335,4.7375461,n9,Rwy,,,,
Rwy_02_003,10,52.3079082,4.7378894,n10,Rwy,,,,
Rwy_02_004,11,52.3128694,4.7383385,n11,Rwy,,,,
Rwy_02_005,12,52.3178288,4.7387988,n12,Rwy,,,,
Rwy_02_006,13,52.3204193,4.7390241,n13,Rwy,,,,
Rwy_02_007,14,52.3222751,4.7391851,n14,Rwy,,,,
Rwy_02_008,15,52.324894,4.7394549,n15,Rwy,,,,
Rwy_02_009,16,52.3291822,4.7398197,n16,Rwy,,,,
Rwy_02_010,17,52.3310144,4.740002,n17,Rwy,,,,
Txy_V4_V,18,52.3311253,4.7146068,n18,Txy,,,,
Txy_V3_V,19,52.3324431,4.7121445,n19,Txy,,,,
Txy_V2_V,20,52.3357557,4.7123269,n20,Txy,,,,
Txy_V1_V,21,52.3412819,4.712699,n21,Txy,,,,
Txy_V4_001,22,52.3286943,4.7109172,n22,Txy,,,,
Txy_P6_V,23,52.3283817,4.7197987,n23,Txy,,,,
Txy_P6_P7,24,52.3299028,4.7177012,n24,Txy,,,,
Txy_P6_001,25,52.3293521,4.7178943,n25,Txy,,,,
Txy_P7_001,26,52.3298996,4.716859,n26,Txy,,,,
Txy_P6_V,27,52.3309092,4.7175522,n27,Txy,,,,
Txy_P7_V,28,52.3298996,4.7194404,n28,Txy,,,,
Txy_V_001,29,52.3283614,4.7222736,n29,Txy,,,,
Txy_Y_V,30,52.321553,4.7326124,n30,Txy,,,,
Txy_Z2_P4,31,52.2991948,4.7339009,n31,Txy,,,,
Txy_P4_Z,32,52.3003201,4.73293,n32,Txy,,,,
Txy_P4_001,33,52.3003004,4.7344328,n33,Txy,,,,
