n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_G4_001,104,52.3085501,4.7844013,Txy_E3_G4,105,52.3125514,4.7826149
Rwy_01_001,0,52.3287464,4.7088902,Rwy_01_002,1,52.3339456,4.7093194
Rwy_01_003,2,52.3389839,4.7097768,Rwy_01_002,1,52.3339456,4.7093194
Rwy_01_004,6,52.3443958,4.7102846,Rwy_01_003,2,52.3389839,4.7097768
Rwy_01_005,7,52.3625784,4.711935,Rwy_01_004,6,52.3443958,4.7102846
Rwy_02_001,8,52.3019423,4.7373315,Rwy_02_002,9,52.3041335,4.7375461
Rwy_02_003,10,52.3079082,4.7378894,Rwy_02_002,9,52.3041335,4.7375461
Rwy_02_004,11,52.3128694,4.7383385,Rwy_02_003,10,52.3079082,4.7378894
Rwy_02_005,12,52.3178288,4.7387988,Rwy_02_004,11,52.3128694,4.7383385
Rwy_02_006,13,52.3204193,4.7390241,Rwy_02_005,12,52.3178288,4.7387988
Rwy_02_007,14,52.3222751,4.7391851,Rwy_02_006,13,52.3204193,4.7390241
Rwy_02_008,15,52.324894,4.7394549,Rwy_02_007,14,52.3222751,4.7391851
Rwy_02_009,16,52.3291822,4.7398197,Rwy_02_008,15,52.324894,4.7394549
Rwy_02_010,17,52.3310144,4.740002,Rwy_02_009,16,52.3291822,4.7398197
Rwy_01_001,0,52.3287464,4.7088902,Txy_V4_001,22,52.3286943,4.7109172
Txy_V4_001,22,52.3286943,4.7109172,Txy_V4_V,18,52.3311253,4.7146068
Txy_V3_V,19,52.3324431,4.7121445,Txy_V4_V,18,52.3311253,4.7146068
Rwy_01_002,1,52.3339456,4.7093194,Txy_V3_V,19,52.3324431,4.7121445
Txy_V3_V,19,52.3324431,4.7121445,Txy_V2_V,20,52.3357557,4.7123269
Rwy_01_003,2,52.3389839,4.7097768,Txy_V2_V,20,52.3357557,4.7123269
Txy_V2_V,20,52.3357557,4.7123269,Txy_V1_V,21,52.3412819,4.712699
Rwy_01_004,6,52.3443958,4.7102846,Txy_V1_V,21,52.3412819,4.712699
Txy_V4_V,18,52.3311253,4.7146068,Txy_P7_001,26,52.3298996,4.716859
Txy_P7_001,26,52.3298996,4.716859,Txy_P6_P7,24,52.3299028,4.7177012
Txy_P6_001,25,52.3293521,4.7178943,Txy_P7_001,26,52.3298996,4.716859
Txy_P6_P7,24,52.3299028,4.7177012,Txy_P6_001,25,52.3293521,4.7178943
Txy_P6_P7,24,52.3299028,4.7177012,Txy_P7_V,28,52.3298996,4.7194404
Txy_P6_V,27,52.3309092,4.7175522,Txy_P6_P7,24,52.3299028,4.7177012
Txy_V4_V,18,52.3311253,4.7146068,Txy_P6_V,27,52.3309092,4.7175522
Txy_P6_V,27,52.3309092,4.7175522,Txy_P7_V,28,52.3298996,4.7194404
