id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_A_012,0,19.091675,72.851079,n0,Gate,,,,
Gate_A_011,1,19.091694,72.851553,n1,Gate,,,,
Gate_A_010,2,19.091627,72.852029,n2,Gate,,,,
Gate_A_009,3,19.091625,72.85254,n3,Gate,,,,
Gate_A_008,4,19.091602,72.8531,n4,Gate,,,,
Gate_A_007,5,19.091637,72.853648,n5,Gate,,,,
Gate_A_006,6,19.091635,72.854088,n6,Gate,,,,
Gate_A_005,7,19.091632,72.854481,n7,Gate,,,,
Gate_A_004,8,19.091638,72.854859,n8,Gate,,,,
Gate_A_003,9,19.091642,72.855248,n9,Gate,,,,
Gate_A_002,10,19.091645,72.855628,n10,Gate,,,,
Gate_A_001,11,19.091657,72.856,n11,Gate,,,,
Gate_V_004,12,19.097916,72.872835,n12,Gate,,,,
Gate_V_005,13,19.096846,72.873088,n13,Gate,,,,
Gate_V_006,14,19.095958,72.872535,n14,Gate,,,,
Gate_V_007,15,19.09548,72.871933,n15,Gate,,,,
Gate_V_008,16,19.095115,72.87132,n16,Gate,,,,
Gate_V_009,17,19.09457,72.870864,n17,Gate,,,,
Gate_V_010,18,19.094175,72.870441,n18,Gate,,,,
Gate_V_011,19,19.093788,72.870044,n19,Gate,,,,
Gate_V_012,20,19.093487,72.870527,n20,Gate,,,,
Gate_V_013,21,19.093354,72.870994,n21,Gate,,,,
Gate_V_014,22,19.093297,72.871498,n22,Gate,,,,
Gate_V_015,23,19.093449,72.872034,n23,Gate,,,,
Gate_V_016,24,19.093572,72.872535,n24,Gate,,,,
Gate_V_017,25,19.094286,72.872631,n25,Gate,,,,
Gate_V_018,26,19.09485,72.873406,n26,Gate,,,,
Gate_V_019,27,19.095449,72.874078,n27,Gate,,,,
Gate_V_020,28,19.095212,72.875333,n28,Gate,,,,
Gate_V_021,29,19.094796,72.875987,n29,Gate,,,,
Gate_V_022,30,19.094357,72.876466,n30,Gate,,,,
Gate_V_023,31,19.09457,72.876867,n31,Gate,,,,
Gate_V_024,32,19.094933,72.877138,n32,Gate,,,,
Gate_V_025,33,19.095351,72.877348,n33,Gate,,,,
Gate_V_026,34,19.095664,72.877295,n34,Gate,,,,
Gate_V_027,35,19.096063,72.876351,n35,Gate,,,,
