n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_L_001,41,19.090868,72.851278,Txy_L_002,42,19.090888,72.852027
Txy_L_003,43,19.090903,72.852585,Txy_L_002,42,19.090888,72.852027
Txy_L_003,43,19.090903,72.852585,Txy_L_004,44,19.090916,72.853107
Txy_L_004,44,19.090916,72.853107,Txy_L_005,45,19.09092,72.85363
Txy_L_005,45,19.09092,72.85363,Txy_L_006,46,19.090912,72.854078
Txy_L_006,46,19.090912,72.854078,Txy_L_007,47,19.090919,72.854474
Txy_L_007,47,19.090919,72.854474,Txy_L_008,48,19.090924,72.854884
Txy_L_008,48,19.090924,72.854884,Txy_L_009,49,19.090924,72.855284
Txy_L_009,49,19.090924,72.855284,Txy_L_010,50,19.09096,72.85582
Txy_L_001,41,19.090868,72.851278,Gate_A_012,0,19.091675,72.851079
Txy_L_001,41,19.090868,72.851278,Gate_A_011,1,19.091694,72.851553
Txy_L_002,42,19.090888,72.852027,Gate_A_010,2,19.091627,72.852029
Txy_L_003,43,19.090903,72.852585,Gate_A_009,3,19.091625,72.85254
Txy_L_004,44,19.090916,72.853107,Gate_A_008,4,19.091602,72.8531
Txy_L_005,45,19.09092,72.85363,Gate_A_007,5,19.091637,72.853648
Txy_L_006,46,19.090912,72.854078,Gate_A_006,6,19.091635,72.854088
Txy_L_007,47,19.090919,72.854474,Gate_A_005,7,19.091632,72.854481
Txy_L_008,48,19.090924,72.854884,Gate_A_004,8,19.091638,72.854859
Txy_L_009,49,19.090924,72.855284,Gate_A_003,9,19.091642,72.855248
Txy_L_010,50,19.09096,72.85582,Gate_A_002,10,19.091645,72.855628
Txy_L_010,50,19.09096,72.85582,Gate_A_001,11,19.091657,72.856
Txy_H_001,51,19.097399,72.871664,Txy_H_002,52,19.096712,72.87156
Txy_H_003,53,19.096215,72.871098,Txy_H_002,52,19.096712,72.87156
Txy_H_004,54,19.095698,72.870634,Txy_H_003,53,19.096215,72.871098
Txy_H_005,55,19.094836,72.869333,Txy_H_004,54,19.095698,72.870634
Txy_H_006,56,19.093952,72.868453,Txy_H_005,55,19.094836,72.869333
Txy_H_007,57,19.093427,72.868981,Txy_H_006,56,19.093952,72.868453
Txy_H_008,58,19.092557,72.869888,Txy_H_007,57,19.093427,72.868981
Txy_H_009,59,19.092336,72.871186,Txy_H_008,58,19.092557,72.869888
Txy_H_010,60,19.092434,72.873194,Txy_H_009,59,19.092336,72.871186
Txy_H_011,61,19.093739,72.873713,Txy_H_010,60,19.092434,72.873194
Txy_H_011,61,19.093739,72.873713,Txy_H_012,62,19.094212,72.87463
Txy_H_013,63,19.093402,72.875691,Txy_H_012,62,19.094212,72.87463
Txy_H_015,65,19.094964,72.878277,Txy_H_014,64,19.093428,72.877295
Txy_H_015,65,19.094964,72.878277,Txy_H_016,66,19.096139,72.878198
Txy_H_017,67,19.09694,72.877222,Txy_H_016,66,19.096139,72.878198
Txy_H_018,68,19.097964,72.877377,Txy_H_017,67,19.09694,72.877222
Txy_H_019,69,19.099029,72.878155,Txy_H_018,68,19.097964,72.877377
Txy_H_001,51,19.097399,72.871664,Gate_V_004,12,19.097916,72.872835
Txy_H_001,51,19.097399,72.871664,Gate_V_005,13,19.096846,72.873088
Txy_H_002,52,19.096712,72.87156,Gate_V_006,14,19.095958,72.872535
Txy_H_003,53,19.096215,72.871098,Gate_V_007,15,19.09548,72.871933
Txy_H_004,54,19.095698,72.870634,Gate_V_008,16,19.095115,72.87132
Txy_H_004,54,19.095698,72.870634,Gate_V_009,17,19.09457,72.870864
Txy_H_005,55,19.094836,72.869333,Gate_V_010,18,19.094175,72.870441
Txy_H_006,56,19.093952,72.868453,Gate_V_011,19,19.093788,72.870044
Txy_H_008,58,19.092557,72.869888,Gate_V_012,20,19.093487,72.870527
Txy_H_008,58,19.092557,72.869888,Gate_V_013,21,19.093354,72.870994
Txy_H_009,59,19.092336,72.871186,Gate_V_014,22,19.093297,72.871498
Txy_H_010,60,19.092434,72.873194,Gate_V_015,23,19.093449,72.872034
Txy_H_010,60,19.092434,72.873194,Gate_V_016,24,19.093572,72.872535
Txy_H_011,61,19.093739,72.873713,Gate_V_017,25,19.094286,72.872631
Txy_H_011,61,19.093739,72.873713,Gate_V_018,26,19.09485,72.873406
Txy_H_012,62,19.094212,72.87463,Gate_V_019,27,19.095449,72.874078
Txy_H_012,62,19.094212,72.87463,Gate_V_020,28,19.095212,72.875333
Txy_H_013,63,19.093402,72.875691,Gate_V_021,29,19.094796,72.875987
Txy_H_013,63,19.093402,72.875691,Gate_V_022,30,19.094357,72.876466
Txy_H_014,64,19.093428,72.877295,Gate_V_023,31,19.09457,72.876867
Txy_H_015,65,19.094964,72.878277,Gate_V_024,32,19.094933,72.877138
Txy_H_015,65,19.094964,72.878277,Gate_V_025,33,19.095351,72.877348
Txy_H_016,66,19.096139,72.878198,Gate_V_026,34,19.095664,72.877295
Txy_H_017,67,19.09694,72.877222,Gate_V_027,35,19.096063,72.876351
Txy_H_017,67,19.09694,72.877222,Gate_V_028,36,19.097025,72.875979
Txy_H_018,68,19.097964,72.877377,Gate_V_029,37,19.097936,72.876276
Txy_H_018,68,19.097964,72.877377,Gate_V_030,38,19.098703,72.876728
Txy_H_019,69,19.099029,72.878155,Gate_V_031,39,19.09922,72.877002
Txy_H_019,69,19.099029,72.878155,Gate_V_032,40,19.099847,72.877373
Rwy_01_001,70,19.088423,72.84806,Rwy_01_002,71,19.088458,72.849358
Rwy_01_003,72,19.088468,72.851209,Rwy_01_002,71,19.088458,72.849358
Rwy_01_004,73,19.088513,72.854536,Rwy_01_003,72,19.088468,72.851209
Rwy_01_005,74,19.088552,72.857318,Rwy_01_004,73,19.088513,72.854536
Rwy_01_006,75,19.088592,72.859458,Rwy_01_005,74,19.088552,72.857318
Rwy_01_007,76,19.088607,72.860638,Rwy_01_006,75,19.088592,72.859458
Rwy_01_008,77,19.088673,72.865264,Rwy_01_007,76,19.088607,72.860638
Rwy_01_02,78,19.088693,72.867833,Rwy_01_008,77,19.088673,72.865264
Rwy_01_02,78,19.088693,72.867833,Rwy_01_009,79,19.088704,72.869233
Rwy_01_010,80,19.088729,72.870306,Rwy_01_009,79,19.088704,72.869233
Rwy_01_010,80,19.088729,72.870306,Rwy_01_011,81,19.088795,72.874533
Rwy_01_012,82,19.088835,72.878088,Rwy_01_011,81,19.088795,72.874533
Rwy_01_013,83,19.088876,72.880459,Rwy_01_012,82,19.088835,72.878088
Rwy_02_001,84,19.0806,72.87661,Rwy_02_002,85,19.082841,72.874218
Rwy_02_003,86,19.085467,72.871321,Rwy_02_002,85,19.082841,72.874218
Rwy_02_004,87,19.08703,72.869635,Rwy_02_003,86,19.085467,72.871321
Rwy_01_02,78,19.088693,72.867833,Rwy_02_004,87,19.08703,72.869635
Rwy_01_02,78,19.088693,72.867833,Rwy_02_005,88,19.090396,72.86603
Rwy_02_006,89,19.091623,72.864654,Rwy_02_005,88,19.090396,72.86603
Rwy_02_007,90,19.093164,72.863004,Rwy_02_006,89,19.091623,72.864654
Rwy_02_008,91,19.094969,72.860992,Rwy_02_007,90,19.093164,72.863004
Rwy_02_009,92,19.095578,72.860327,Rwy_02_008,91,19.094969,72.860992
Rwy_02_010,93,19.097706,72.858058,Rwy_02_009,92,19.095578,72.860327
Rwy_02_011,94,19.098381,72.857318,Rwy_02_010,93,19.097706,72.858058
Rwy_01_001,70,19.088423,72.84806,Txy_D_001,95,19.089336,72.848171
Txy_D_001,95,19.089336,72.848171,Txy_D_E,96,19.089721,72.849528
Txy_D_E,96,19.089721,72.849528,Rwy_01_002,71,19.088458,72.849358
Txy_D_E,96,19.089721,72.849528,Txy_L_D,97,19.090171,72.851207
Txy_L_D,97,19.090171,72.851207,Rwy_01_003,72,19.088468,72.851209
Txy_L_D,97,19.090171,72.851207,Txy_D_002,99,19.090191,72.852575
Txy_L_D,97,19.090171,72.851207,Txy_C_001,98,19.089456,72.852468
Txy_D_002,99,19.090191,72.852575,Txy_C_001,98,19.089456,72.852468
Txy_C_001,98,19.089456,72.852468,Rwy_01_004,73,19.088513,72.854536
Txy_D_002,99,19.090191,72.852575,Txy_W_D,101,19.09022,72.853989
Txy_W_D,101,19.09022,72.853989,Txy_W_001,100,19.089496,72.854928
Txy_D_003,102,19.090226,72.855003,Txy_W_001,100,19.089496,72.854928
Txy_D_003,102,19.090226,72.855003,Txy_L2_D,103,19.090231,72.856081
Txy_W_001,100,19.089496,72.854928,Rwy_01_005,74,19.088552,72.857318
Txy_L2_D,103,19.090231,72.856081,Txy_A1_D,105,19.090254,72.857375
Txy_A1_D,105,19.090254,72.857375,Txy_A2_D,104,19.090279,72.858206
Rwy_01_007,76,19.088607,72.860638,Txy_A1_D,105,19.090254,72.857375
Rwy_01_006,75,19.088592,72.859458,Txy_B4_D,106,19.090325,72.861532
Txy_A2_D,104,19.090279,72.858206,Txy_B4_D,106,19.090325,72.861532
Txy_J_D,107,19.090335,72.863083,Rwy_02_006,89,19.091623,72.864654
Txy_J_D,107,19.090335,72.863083,Rwy_01_008,77,19.088673,72.865264
Txy_J_D,107,19.090335,72.863083,Rwy_02_005,88,19.090396,72.86603
Txy_L_D,97,19.090171,72.851207,Txy_L_001,41,19.090868,72.851278
Txy_W_D,101,19.09022,72.853989,Txy_L_006,46,19.090912,72.854078
Txy_L2_D,103,19.090231,72.856081,Txy_L_010,50,19.09096,72.85582
Rwy_02_005,88,19.090396,72.86603,Txy_Z1_A3,114,19.090434,72.86843
Txy_Z1_A3,114,19.090434,72.86843,Rwy_01_010,80,19.088729,72.870306
Rwy_01_009,79,19.088704,72.869233,Txy_M7_001,116,19.089801,72.871387
Txy_Z1_A3,114,19.090434,72.86843,Txy_A3_001,117,19.090444,72.871236
Txy_A3_001,117,19.090444,72.871236,Txy_M7_A3,115,19.090485,72.87261
Txy_M7_001,116,19.089801,72.871387,Txy_M7_A3,115,19.090485,72.87261
Txy_A3_001,117,19.090444,72.871236,Txy_M7_001,116,19.089801,72.871387
Txy_M7_A3,115,19.090485,72.87261,Txy_G_A3,112,19.090497,72.874536
Txy_G_A3,112,19.090497,72.874536,Rwy_01_011,81,19.088795,72.874533
Txy_G_A3,112,19.090497,72.874536,Txy_H_A3,109,19.090547,72.878048
Txy_H_A3,109,19.090547,72.878048,Rwy_01_012,82,19.088835,72.878088
Txy_H_A3,109,19.090547,72.878048,Txy_A4_A3,108,19.090618,72.880475
Txy_A4_A3,108,19.090618,72.880475,Rwy_01_013,83,19.088876,72.880459
Txy_G_A3,112,19.090497,72.874536,Txy_G_001,113,19.091329,72.874676
Txy_G_001,113,19.091329,72.874676,Txy_G_F1,111,19.091434,72.876739
Txy_G_F1,111,19.091434,72.876739,Txy_H_F1,110,19.091424,72.87763
Txy_H_F1,110,19.091424,72.87763,Txy_H_A3,109,19.090547,72.878048
Txy_H_013,63,19.093402,72.875691,Txy_H_020,124,19.09244,72.876725
Txy_H_014,64,19.093428,72.877295,Txy_H_020,124,19.09244,72.876725
Txy_G_F1,111,19.091434,72.876739,Txy_H_020,124,19.09244,72.876725
Txy_M7_A3,115,19.090485,72.87261,Txy_M7_M,118,19.09136,72.872574
Txy_H_010,60,19.092434,72.873194,Txy_M7_M,118,19.09136,72.872574
Txy_M8_M,119,19.091351,72.87078,Txy_M7_M,118,19.09136,72.872574
Txy_M8_M,119,19.091351,72.87078,Txy_H_009,59,19.092336,72.871186
Txy_M8_M,119,19.091351,72.87078,Txy_M_001,125,19.09132,72.869962
Txy_H_008,58,19.092557,72.869888,Txy_M_001,125,19.09132,72.869962
Txy_M_E,120,19.091022,72.867902,Txy_M_001,125,19.09132,72.869962
Txy_M_E,120,19.091022,72.867902,Txy_Z1_A3,114,19.090434,72.86843
Txy_M_E,120,19.091022,72.867902,Txy_F_E,121,19.09278,72.866036
Rwy_02_006,89,19.091623,72.864654,Txy_F_E,121,19.09278,72.866036
Txy_F_E,121,19.09278,72.866036,Txy_F_001,122,19.094448,72.867994
Txy_F_001,122,19.094448,72.867994,Txy_F_002,123,19.095477,72.869244
Txy_F_002,123,19.095477,72.869244,Txy_H_004,54,19.095698,72.870634
Txy_F_001,122,19.094448,72.867994,Txy_H_006,56,19.093952,72.868453
Txy_H_006,56,19.093952,72.868453,Gate_V_053,128,19.093037,72.867797
Txy_H_007,57,19.093427,72.868981,Gate_V_052,127,19.09267,72.868188
Txy_H_007,57,19.093427,72.868981,Gate_V_051,126,19.09244,72.868451
Rwy_02_011,94,19.098381,72.857318,Txy_E10_002,141,19.099122,72.857973
Txy_E10_002,141,19.099122,72.857973,Txy_E9_E10,140,19.098901,72.859221
Rwy_02_010,93,19.097706,72.858058,Txy_E9_E10,140,19.098901,72.859221
Txy_E9_E10,140,19.098901,72.859221,Txy_E8_E10,137,19.098454,72.859744
Txy_E8_E10,137,19.098454,72.859744,Txy_E8_001,138,19.097278,72.86006
Txy_E8_001,138,19.097278,72.86006,Rwy_02_008,91,19.094969,72.860992
Txy_E8_E10,137,19.098454,72.859744,Txy_E10_001,139,19.097689,72.860548
Txy_E8_001,138,19.097278,72.86006,Txy_E10_001,139,19.097689,72.860548
Txy_E10_001,139,19.097689,72.860548,Txy_E7_E10,136,19.096961,72.86124
Rwy_02_009,92,19.095578,72.860327,Txy_E7_E10,136,19.096961,72.86124
Txy_A2_D,104,19.090279,72.858206,Txy_A2_001,168,19.090648,72.858408
Txy_A2_001,168,19.090648,72.858408,Txy_A2_002,169,19.090993,72.858612
Txy_A2_003,170,19.091447,72.858875,Txy_A2_002,169,19.090993,72.858612
Txy_A2_003,170,19.091447,72.858875,Txy_A2_004,171,19.091898,72.859192
Txy_A2_005,172,19.092402,72.859492,Txy_A2_004,171,19.091898,72.859192
Txy_A2_005,172,19.092402,72.859492,Txy_A2_006,173,19.092836,72.859766
Txy_A2_007,174,19.093282,72.86005,Txy_A2_006,173,19.092836,72.859766
Txy_A2_007,174,19.093282,72.86005,Txy_K3_A2,142,19.093856,72.86038
Rwy_02_008,91,19.094969,72.860992,Txy_K3_A2,142,19.093856,72.86038
Txy_K3_A2,142,19.093856,72.86038,Rwy_02_007,90,19.093164,72.863004
Txy_A1_D,105,19.090254,72.857375,Txy_A1_001,154,19.09131,72.85776
Txy_A1_001,154,19.09131,72.85776,Txy_A1_002,155,19.091743,72.858061
Txy_A1_003,156,19.092169,72.858318,Txy_A1_002,155,19.091743,72.858061
Txy_A1_004,157,19.092653,72.858613,Txy_A1_003,156,19.092169,72.858318
Txy_A1_005,158,19.093038,72.858841,Txy_A1_004,157,19.092653,72.858613
Txy_A1_005,158,19.093038,72.858841,Txy_A1_006,159,19.093462,72.859115
Txy_A1_006,159,19.093462,72.859115,Txy_A1_007,160,19.093903,72.859367
Txy_A1_007,160,19.093903,72.859367,Txy_A1_008,161,19.094427,72.859678
Txy_A1_008,161,19.094427,72.859678,Rwy_02_009,92,19.095578,72.860327
Txy_A1_D,105,19.090254,72.857375,Gate_C_011,153,19.091074,72.856787
Txy_A1_D,105,19.090254,72.857375,Gate_C_010,152,19.091224,72.857054
Txy_A1_D,105,19.090254,72.857375,Gate_C_009,151,19.091629,72.85729
Txy_A1_001,154,19.09131,72.85776,Gate_C_008,150,19.091932,72.857516
Txy_A1_002,155,19.091743,72.858061,Gate_C_007,149,19.092279,72.857694
Txy_A1_003,156,19.092169,72.858318,Gate_C_006,148,19.092613,72.857874
Txy_A1_004,157,19.092653,72.858613,Gate_C_005,147,19.092894,72.85811
Txy_A1_005,158,19.093038,72.858841,Gate_C_004,146,19.093232,72.858284
Txy_A1_006,159,19.093462,72.859115,Gate_C_003,145,19.093544,72.858475
Txy_A1_006,159,19.093462,72.859115,Gate_C_002,144,19.093866,72.858658
Txy_A1_007,160,19.093903,72.859367,Gate_C_001,143,19.094244,72.858921
Txy_A2_003,170,19.091447,72.858875,Gate_C_033,167,19.091018,72.859355
Txy_A2_004,171,19.091898,72.859192,Gate_C_032,166,19.091335,72.85955
Txy_A2_004,171,19.091898,72.859192,Gate_C_031,165,19.09166,72.859735
Txy_A2_005,172,19.092402,72.859492,Gate_C_030,164,19.091948,72.859975
Txy_A2_006,173,19.092836,72.859766,Gate_C_028,163,19.092644,72.86033
Txy_A2_007,174,19.093282,72.86005,Gate_C_027,162,19.092969,72.860523
Txy_A2_005,172,19.092402,72.859492,Ramp_01_001,184,19.09203,72.860573
Ramp_01_001,184,19.09203,72.860573,Ramp_01_002,185,19.091659,72.860967
Ramp_01_002,185,19.091659,72.860967,Ramp_01_003,186,19.091365,72.861303
Ramp_01_003,186,19.091365,72.861303,Txy_U_N,175,19.090336,72.862353
Txy_B4_D,106,19.090325,72.861532,Txy_U_N,175,19.090336,72.862353
Txy_U_N,175,19.090336,72.862353,Txy_J_D,107,19.090335,72.863083
Ramp_01_001,184,19.09203,72.860573,Gate_C_085,176,19.092567,72.860917
Ramp_01_001,184,19.09203,72.860573,Gate_C_088,183,19.091553,72.860211
Ramp_01_001,184,19.09203,72.860573,Gate_C_084,177,19.092327,72.861176
Ramp_01_002,185,19.091659,72.860967,Gate_C_083,178,19.09207,72.861455
Ramp_01_002,185,19.091659,72.860967,Gate_C_087,182,19.091302,72.860483
Ramp_01_003,186,19.091365,72.861303,Gate_C_086,181,19.091039,72.860751
Ramp_01_003,186,19.091365,72.861303,Gate_C_083,178,19.09207,72.861455
Ramp_01_003,186,19.091365,72.861303,Gate_C_081,180,19.091551,72.862039
Txy_S1_E1,135,19.087334,72.871764,Rwy_02_004,87,19.08703,72.869635
Rwy_02_003,86,19.085467,72.871321,Txy_E4_001,133,19.084899,72.873315
Txy_E4_001,133,19.084899,72.873315,Txy_E1_001,134,19.085558,72.873707
Txy_E1_001,134,19.085558,72.873707,Txy_E4_E1,132,19.084585,72.874796
Txy_E4_001,133,19.084899,72.873315,Txy_E4_E1,132,19.084585,72.874796
Rwy_02_002,85,19.082841,72.874218,Txy_E3_001,131,19.082374,72.875898
Txy_E3_001,131,19.082374,72.875898,Txy_E1_E3,129,19.083023,72.876128
Rwy_02_001,84,19.0806,72.87661,Txy_E1_001,134,19.085558,72.873707
Txy_E1_E3,129,19.083023,72.876128,Txy_E1_001,134,19.085558,72.873707
Txy_E4_E1,132,19.084585,72.874796,Txy_E1_E3,129,19.083023,72.876128
Txy_S1_E1,135,19.087334,72.871764,Txy_E1_001,134,19.085558,72.873707
Txy_S1_E1,135,19.087334,72.871764,Rwy_01_010,80,19.088729,72.870306
