id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_F_R,0,30.0984687,31.4178509,n0,Txy,,,,
Txy_R1_F1,1,30.0999538,31.4198143,n1,Txy,,,,
Txy_R_T,2,30.104604,31.4007592,n2,Txy,,,,
Txy_R_001,3,30.0978384,31.4076818,n3,Txy,,,,
Txy_R_002,4,30.0992586,31.4171339,n4,Txy,,,,
Txy_R_003,5,30.1005395,31.4191295,n5,Txy,,,,
Rwy_01_001,6,30.0971904,31.4191295,n6,Rwy,RW05R,Entry,RW23L,End
Rwy_01_002,7,30.098657,31.4210607,n7,Rwy,,,,
Rwy_01_003,8,30.1056277,31.4303197,n8,Rwy,,,,
Rwy_01_004,9,30.1088298,31.4346434,n9,Rwy,,,,
Rwy_01_005,10,30.1121963,31.4390923,n10,Rwy,,,,
Rwy_01_006,11,30.1192031,31.4483834,n11,Rwy,,,,
Rwy_01_007,12,30.1206543,31.4503389,n12,Rwy,RW23L,Entry,RW05R,End
Txy_F_001,13,30.104357,31.4256621,n13,Txy,,,,
Txy_F_002,14,30.1080608,31.4304912,n14,Txy,,,,
Txy_F_003,15,30.1120804,31.4359207,n15,Txy,,,,
Txy_F_004,16,30.1159505,31.4410974,n16,Txy,,,,
Txy_F_005,17,30.1183249,31.4442176,n17,Txy,,,,
Txy_F_006,18,30.1204412,31.4470947,n18,Txy,,,,
Txy_F_007,19,30.1218704,31.4491868,n19,Txy,,,,
Txy_H1_H,20,30.1167444,31.4405451,n20,Txy,,,,
Txy_H2_H,21,30.1127491,31.4352141,n21,Txy,,,,
Txy_L_H,22,30.1121969,31.4344469,n22,Txy,,,,
Txy_L_F,23,30.1114405,31.4350478,n23,Txy,,,,
Txy_H_001,24,30.1187855,31.4433506,n24,Txy,,,,
Rwy_02_001,25,30.1001432,31.398811,n25,Rwy,RW05C,Entry,RW23C,End
Rwy_02_002,26,30.1012106,31.4002379,n26,Rwy,,,,
Rwy_02_003,27,30.1029463,31.4025553,n27,Rwy,,,,
Rwy_02_004,28,30.1056452,31.4061578,n28,Rwy,,,,
Rwy_02_005,29,30.1070931,31.408089,n29,Rwy,,,,
Rwy_02_006,30,30.1125193,31.4152843,n30,Rwy,,,,
Rwy_02_007,31,30.1169459,31.4211763,n31,Rwy,,,,
Rwy_02_008,32,30.1206374,31.4261,n32,Rwy,,,,
Rwy_02_009,33,30.1217789,31.4276556,n33,Rwy,,,,
Rwy_02_010,34,30.1229158,31.4291632,n34,Rwy,RW23C,Entry,RW05C,End
Txy_T_001,35,30.1009923,31.3960525,n35,Txy,,,,
Txy_S_001,36,30.1018506,31.3956919,n36,Txy,,,,
Txy_T2_T,37,30.1028789,31.3985028,n37,Txy,,,,
Txy_Z_001,38,30.1050435,31.4027775,n38,Txy,,,,
Txy_T_002,39,30.1059345,31.4025897,n39,Txy,,,,
Txy_T_003,40,30.1066399,31.4034929,n40,Txy,,,,
Txy_P_T,41,30.1087004,31.4062609,n41,Txy,,,,
Txy_T_004,42,30.1103951,31.4085032,n42,Txy,,,,
Txy_J_T,43,30.1136481,31.4128369,n43,Txy,,,,
Txy_G_T,44,30.1149951,31.4145854,n44,Txy,,,,
Txy_U_T,45,30.1161088,31.4160123,n45,Txy,,,,
Txy_V_T,46,30.1203478,31.421754,n46,Txy,,,,
Txy_L_T,47,30.1222966,31.4244469,n47,Txy,,,,
Txy_T1_T,48,30.1234381,31.4258846,n48,Txy,,,,
Txy_T_005,49,30.1247693,31.427885,n49,Txy,,,,
Txy_T_006,50,30.1241661,31.4292583,n50,Txy,,,,
Rwy_03_001,51,30.1198853,31.3804316,n51,Rwy,RW05L,Entry,RW23R,End
Rwy_03_002,52,30.1206648,31.381483,n52,Rwy,,,,
Rwy_03_003,53,30.1224373,31.3838863,n53,Rwy,,,,
Rwy_03_004,54,30.1264462,31.3892614,n54,Rwy,,,,
Rwy_03_005,55,30.1308881,31.3952378,n55,Rwy,,,,
Rwy_03_006,56,30.1342843,31.3997761,n56,Rwy,,,,
Rwy_03_007,57,30.1374854,31.4040998,n57,Rwy,,,,
Rwy_03_008,58,30.1388014,31.4058594,n58,Rwy,RW23R,Entry,RW05L,End
