id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_A_030,0,49.0023152,2.5582331,n0,Gate,,,,
Gate_A_034,1,49.0018788,2.5585496,n1,Gate,,,,
Gate_A_038,2,49.0017662,2.5590941,n2,Gate,,,,
Gate_L_027,3,49.0077561,2.5911236,n3,Gate,,,,
Gate_J_013,4,49.0038701,2.6000342,n4,Gate,,,,
Gate_J_014,5,49.0039124,2.6004365,n5,Gate,,,,
Gate_A_004,6,49.0020161,2.560462,n6,Gate,,,,
Gate_A_008,7,49.001921,2.5612318,n7,Gate,,,,
Gate_A_010,8,49.0018032,2.5619962,n8,Gate,,,,
Gate_A_012,9,49.001907,2.5635841,n9,Gate,,,,
Gate_A_018,10,49.0021692,2.5642707,n10,Gate,,,,
Gate_C_002,11,49.0021199,2.5659015,n11,Gate,,,,
Gate_C_004,12,49.0020742,2.566682,n12,Gate,,,,
Gate_C_006,13,49.0020073,2.5673848,n13,Gate,,,,
Gate_C_008,14,49.002229,2.5682136,n14,Gate,,,,
Gate_C_012,15,49.0022624,2.5690021,n15,Gate,,,,
Gate_C_014,16,49.0025563,2.5696753,n16,Gate,,,,
Gate_C_007,17,49.000262,2.5686835,n17,Gate,,,,
Gate_C_005,18,49.0002268,2.5678592,n18,Gate,,,,
Gate_C_003,19,49.0003148,2.5669472,n19,Gate,,,,
Gate_A_009,20,49.0000565,2.5642932,n20,Gate,,,,
Gate_A_007,21,48.9999854,2.5633671,n21,Gate,,,,
Gate_A_005,22,48.9999696,2.5624431,n22,Gate,,,,
Gate_A_003,23,48.9998411,2.5614641,n23,Gate,,,,
Gate_A_001,24,48.999776,2.5606728,n24,Gate,,,,
Ramp_01_001,25,49.0022746,2.5569199,n25,Ramp,,,,
Ramp_01_002,26,49.0013138,2.5573115,n26,Ramp,,,,
Txy_P_001,27,49.0007437,2.5587707,n27,Txy,,,,
Txy_P_002,28,49.0008071,2.56016,n28,Txy,,,,
Txy_P_003,29,49.0008704,2.5612812,n29,Txy,,,,
Txy_P_004,30,49.0009267,2.5622844,n30,Txy,,,,
Txy_P_005,31,49.000983,2.5633572,n31,Txy,,,,
Txy_P_006,32,49.0010323,2.5642263,n32,Txy,,,,
Txy_P_RP1,33,49.0011132,2.5656556,n33,Txy,,,,
Txy_P_007,34,49.0011555,2.5664602,n34,Txy,,,,
Txy_P_008,35,49.0012047,2.5675009,n35,Txy,,,,
Txy_P_009,36,49.001254,2.568429,n36,Txy,,,,
Txy_P_RP2,37,49.0012932,2.5698128,n37,Txy,,,,
Txy_RP2_R,38,48.9994123,2.5700064,n38,Txy,,,,
Txy_RP1_R,39,48.9991977,2.5658865,n39,Txy,,,,
Txy_RT2_R,40,48.9990111,2.5625981,n40,Txy,,,,
Txy_RT3_T,41,48.9983002,2.5659938,n41,Txy,,,,
Txy_RT2_T,42,48.9981277,2.5627213,n42,Txy,,,,
Txy_RT1_R,43,48.9991295,2.5581128,n43,Txy,,,,
Txy_RT1_N,44,48.9982285,2.5579841,n44,Txy,,,,
Txy_T3_N,45,48.9976794,2.5580539,n45,Txy,,,,
Txy_T4_N,46,48.9979899,2.560227,n46,Txy,,,,
Txy_WA_T,47,48.9971596,2.5495775,n47,Txy,,,,
Txy_UT2_T,48,48.9971737,2.5508864,n48,Txy,,,,
Txy_T2_T,49,48.9972881,2.5530617,n49,Txy,,,,
Txy_UT4_T,50,48.9973708,2.5545986,n50,Txy,,,,
Txy_UT1_C,51,48.9986087,2.5482275,n51,Txy,,,,
