n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_UT1_C,51,48.9986087,2.5482275,Txy_WA_T,47,48.9971596,2.5495775
Txy_UT1_C,51,48.9986087,2.5482275,Txy_UT2_C,52,48.9987161,2.5502183
Txy_UT3_C,53,48.9988216,2.5521092,Txy_UT2_C,52,48.9987161,2.5502183
Txy_UT3_C,53,48.9988216,2.5521092,Txy_UT4_C,54,48.9989184,2.5539975
Txy_UT4_C,54,48.9989184,2.5539975,Txy_N_C,55,48.9991366,2.5556873
Txy_U_N,60,49.0000105,2.5552387,Txy_N_C,55,48.9991366,2.5556873
Txy_U_N,60,49.0000105,2.5552387,Txy_UT4_U,59,48.9998071,2.5537497
Txy_UT4_U,59,48.9998071,2.5537497,Txy_UT4_C,54,48.9989184,2.5539975
Txy_UT3_U,58,48.9997068,2.5518882,Txy_UT3_C,53,48.9988216,2.5521092
Txy_UT2_U,57,48.9996047,2.5499909,Txy_UT2_C,52,48.9987161,2.5502183
Txy_UT1_U,56,48.9995027,2.5480919,Txy_UT1_C,51,48.9986087,2.5482275
Txy_UT1_U,56,48.9995027,2.5480919,Txy_UT2_U,57,48.9996047,2.5499909
Txy_UT3_U,58,48.9997068,2.5518882,Txy_UT2_U,57,48.9996047,2.5499909
Txy_UT3_U,58,48.9997068,2.5518882,Txy_UT4_U,59,48.9998071,2.5537497
Txy_WA_T,47,48.9971596,2.5495775,Txy_UT2_T,48,48.9971737,2.5508864
Txy_UT2_C,52,48.9987161,2.5502183,Txy_UT2_T,48,48.9971737,2.5508864
Txy_UT2_T,48,48.9971737,2.5508864,Txy_T2_T,49,48.9972881,2.5530617
Txy_UT4_T,50,48.9973708,2.5545986,Txy_T2_T,49,48.9972881,2.5530617
Txy_UT4_T,50,48.9973708,2.5545986,Txy_UT4_C,54,48.9989184,2.5539975
Txy_T2_T,49,48.9972881,2.5530617,Txy_UT3_C,53,48.9988216,2.5521092
Txy_UT4_T,50,48.9973708,2.5545986,Txy_T3_N,45,48.9976794,2.5580539
Txy_RT1_N,44,48.9982285,2.5579841,Txy_T3_N,45,48.9976794,2.5580539
Txy_T3_N,45,48.9976794,2.5580539,Txy_T4_N,46,48.9979899,2.560227
Txy_RT1_N,44,48.9982285,2.5579841,Txy_T4_N,46,48.9979899,2.560227
Txy_N_C,55,48.9991366,2.5556873,Txy_RT1_N,44,48.9982285,2.5579841
Txy_U_N,60,49.0000105,2.5552387,Txy_F_P1,62,49.0005894,2.5564081
Txy_F_P1,62,49.0005894,2.5564081,Txy_R_C,61,48.9995248,2.556907
Txy_R_C,61,48.9995248,2.556907,Txy_N_C,55,48.9991366,2.5556873
Txy_R_C,61,48.9995248,2.556907,Txy_RT1_R,43,48.9991295,2.5581128
Txy_RT1_R,43,48.9991295,2.5581128,Txy_RT1_N,44,48.9982285,2.5579841
Txy_RT1_R,43,48.9991295,2.5581128,Txy_T4_R,64,48.99888,2.5601562
Txy_T4_R,64,48.99888,2.5601562,Txy_T4_N,46,48.9979899,2.560227
Txy_T4_R,64,48.99888,2.5601562,Txy_RT2_R,40,48.9990111,2.5625981
Txy_T4_N,46,48.9979899,2.560227,Txy_RT2_T,42,48.9981277,2.5627213
Txy_RT2_R,40,48.9990111,2.5625981,Txy_RT2_T,42,48.9981277,2.5627213
Txy_RT2_T,42,48.9981277,2.5627213,Txy_RT3_T,41,48.9983002,2.5659938
Txy_RT2_R,40,48.9990111,2.5625981,Txy_RP1_R,39,48.9991977,2.5658865
Txy_RP1_R,39,48.9991977,2.5658865,Txy_RT3_T,41,48.9983002,2.5659938
Txy_RP1_R,39,48.9991977,2.5658865,Txy_RP2_R,38,48.9994123,2.5700064
Txy_RT3_T,41,48.9983002,2.5659938,Txy_RP2_T,63,48.9985546,2.570137
Txy_RP2_R,38,48.9994123,2.5700064,Txy_RP2_T,63,48.9985546,2.570137
Txy_RP2_R,38,48.9994123,2.5700064,Txy_P_RP2,37,49.0012932,2.5698128
Txy_F_P1,62,49.0005894,2.5564081,Txy_P_P1,65,49.0007299,2.5576079
Txy_P_P1,65,49.0007299,2.5576079,Txy_P_001,27,49.0007437,2.5587707
Txy_P_001,27,49.0007437,2.5587707,Txy_P_002,28,49.0008071,2.56016
Txy_P_003,29,49.0008704,2.5612812,Txy_P_002,28,49.0008071,2.56016
Txy_P_004,30,49.0009267,2.5622844,Txy_P_003,29,49.0008704,2.5612812
