id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,28.537771,77.1093423,n0,Rwy,RW29,Entry,RW11,End
Rwy_01_002,1,28.5379784,77.1082908,n1,Rwy,,,,
Rwy_01_003,2,28.5404516,77.0967657,n2,Rwy,,,,
Rwy_01_004,3,28.5413522,77.0926197,n3,Rwy,,,,
Rwy_01_005,4,28.5420685,77.0893045,n4,Rwy,,,,
Rwy_01_006,5,28.5449807,77.0757111,n5,Rwy,,,,
Rwy_01_007,6,28.5454991,77.0732435,n6,Rwy,,,,
Rwy_01_008,7,28.5464981,77.0685764,n7,Rwy,,,,
Rwy_01_009,8,28.5467714,77.0674392,n8,Rwy,,,,
Rwy_01_010,9,28.5471013,77.0658298,n9,Rwy,RW11,Entry,RW29,End
Txy_Z1_Z,10,28.539229,77.1105763,n10,Txy,,,,
Txy_CE1_Z,11,28.5394552,77.1096858,n11,Txy,,,,
Txy_CE2_Z,12,28.5396437,77.108849,n12,Txy,,,,
Txy_Z2_Z,13,28.5404731,77.1048579,n13,Txy,,,,
Txy_Z3_Z,14,28.5413384,77.1008688,n14,Txy,,,,
Txy_Z4_Z,15,28.5421961,77.0968881,n15,Txy,,,,
Txy_Z5_Z,16,28.542957,77.0933872,n16,Txy,,,,
Txy_S3_Z,17,28.54442,77.0865963,n17,Txy,,,,
Txy_Z6_Z,18,28.5473582,77.0728428,n18,Txy,,,,
Txy_Z6_001,19,28.5463875,77.0739157,n19,Txy,,,,
Txy_CW2_Z,20,28.5470849,77.0741946,n20,Txy,,,,
Txy_Z7_Z,21,28.5479103,77.0703411,n21,Txy,,,,
Txy_S4_Z,22,28.5482076,77.06881,n22,Txy,,,,
Txy_S5_Z,23,28.5484338,77.0678229,n23,Txy,,,,
Txy_Z8_Z,24,28.5487731,77.06616,n24,Txy,,,,
Txy_Z9_Z,25,28.5488956,77.0652695,n25,Txy,,,,
Txy_S5_Y,26,28.5523594,77.0689327,n26,Txy,,,,
Txy_S4_Y,27,28.5521709,77.0698769,n27,Txy,,,,
Txy_S5_T,28,28.5530521,77.0692653,n28,Txy,,,,
Txy_S4_T,29,28.5530049,77.0702095,n29,Txy,,,,
Txy_T_001,30,28.5524251,77.072676,n30,Txy,,,,
Txy_Y_001,31,28.551577,77.07244,n31,Txy,,,,
Txy_CW2_Y,32,28.5507571,77.0760127,n32,Txy,,,,
Txy_CW2_T,33,28.5516147,77.0762916,n33,Txy,,,,
Txy_CW1_T,34,28.5513791,77.0772787,n34,Txy,,,,
Txy_CW1_Y,35,28.550512,77.0770319,n35,Txy,,,,
Txy_T_002,36,28.5510021,77.0789309,n36,Txy,,,,
Txy_Y_002,37,28.5501445,77.0786842,n37,Txy,,,,
Txy_T_003,38,28.5500046,77.083202,n38,Txy,,,,
Txy_Y_003,39,28.5491376,77.082966,n39,Txy,,,,
Txy_S3_Y,40,28.5480821,77.0876223,n40,Txy,,,,
Txy_S3_T,41,28.5489397,77.0878584,n41,Txy,,,,
Txy_T_004,42,28.5480067,77.0918495,n42,Txy,,,,
Txy_Y_004,43,28.5471679,77.0916242,n43,Txy,,,,
Txy_S2_T,44,28.5465364,77.0981688,n44,Txy,,,,
Txy_S2_Y,45,28.5457071,77.0979006,n45,Txy,,,,
Txy_Z2_Y,46,28.5438558,77.1058077,n46,Txy,,,,
Txy_Z2_T,47,28.5446475,77.105915,n47,Txy,,,,
Txy_S5_001,48,28.5500576,77.0682904,n48,Txy,,,,
Txy_S4_001,49,28.5499068,77.0692668,n49,Txy,,,,
Txy_S3_T_Txy_T_004,50,28.5489397,77.0878584,n50,Txy,,,,
Rwy_02_001,51,28.5585647,77.1224193,n51,Rwy,RW28,Entry,RW10,End
Rwy_02_002,52,28.5596202,77.1178381,n52,Rwy,,,,
Rwy_02_003,53,28.5599217,77.1165078,n53,Rwy,,,,
Rwy_02_004,54,28.5601888,77.1154303,n54,Rwy,,,,
Rwy_02_005,55,28.5607213,77.1131344,n55,Rwy,,,,
Rwy_02_006,56,28.5620191,77.1075295,n56,Rwy,,,,
Rwy_02_007,57,28.5633006,77.1019613,n57,Rwy,,,,
Rwy_02_008,58,28.5648083,77.0954274,n58,Rwy,,,,
Rwy_02_009,59,28.565908,77.090578,n59,Rwy,,,,
Rwy_02_010,60,28.5670858,77.0853959,n60,Rwy,RW10,Entry,RW28,End
Txy_H_P,61,28.5568315,77.1218744,n61,Txy,,,,
Txy_W_P,62,28.5578492,77.1173093,n62,Txy,,,,
Txy_V_P,63,28.5581272,77.1161667,n63,Txy,,,,
Txy_V_001,64,28.5591355,77.1150563,n64,Txy,,,,
Txy_P_001,65,28.5584429,77.1147237,n65,Txy,,,,
Txy_U_P,66,28.5593124,77.1109476,n66,Txy,,,,
Txy_U_001,67,28.5603301,77.1098533,n67,Txy,,,,
Txy_P_002,68,28.5596705,77.1093919,n68,Txy,,,,
Txy_L_P,69,28.5623942,77.0976051,n69,Txy,,,,
Txy_L_001,70,28.5628088,77.099429,n70,Txy,,,,
Txy_P_003,71,28.5619796,77.0994075,n71,Txy,,,,
Txy_M_P,72,28.5638055,77.0914626,n72,Txy,,,,
Txy_M_001,73,28.564239,77.0932651,n73,Txy,,,,
Txy_P_004,74,28.5633721,77.0932544,n74,Txy,,,,
Txy_M2_P,75,28.5639092,77.091012,n75,Txy,,,,
Txy_N_P,76,28.5658655,77.0828558,n76,Txy,,,,
Txy_N_001,77,28.5645683,77.0801513,n77,Txy,,,,
Txy_N_S,78,28.5636354,77.0798187,n78,Txy,,,,
Txy_CW1_S,79,28.5634847,77.0808487,n79,Txy,,,,
Txy_CW1_W3,80,28.560275,77.0798851,n80,Txy,,,,
Txy_CW2_W3,81,28.5604917,77.0789088,n81,Txy,,,,
Txy_CW1_W2,82,28.5562889,77.0787693,n82,Txy,,,,
Txy_CW2_W2,83,28.5564773,77.0777769,n83,Txy,,,,
Txy_CW1_W1,84,28.5526513,77.0776267,n84,Txy,,,,
Txy_CW2_W1,85,28.5528492,77.0766826,n85,Txy,,,,
Txy_S_R6,86,28.5631018,77.0824918,n86,Txy,,,,
Txy_R6_001,87,28.5621595,77.0830604,n87,Txy,,,,
Txy_R6_002,88,28.5611889,77.0836934,n88,Txy,,,,
Txy_R6_003,89,28.560435,77.0841762,n89,Txy,,,,
Txy_R3_001,90,28.56249,77.0850242,n90,Txy,,,,
Txy_R3_002,91,28.5622827,77.0860112,n91,Txy,,,,
Txy_R3_003,92,28.5620094,77.0872343,n92,Txy,,,,
Txy_R2_R3,93,28.5616702,77.0886076,n93,Txy,,,,
Txy_R2_R4,94,28.5607938,77.0861292,n94,Txy,,,,
Txy_R2_001,95,28.5612179,77.0873952,n95,Txy,,,,
Txy_R1_R,96,28.5612197,77.0903932,n96,Txy,,,,
Txy_R1_001,97,28.5590806,77.0899962,n97,Txy,,,,
Txy_R1_002,98,28.5581666,77.0898567,n98,Txy,,,,
Txy_L1_R,99,28.5598157,77.0965515,n99,Txy,,,,
Ramp_01_001,100,28.5600301,77.0806368,n100,Ramp,,,,
Ramp_01_002,101,28.5590878,77.0812591,n101,Ramp,,,,
Ramp_01_003,102,28.5582302,77.0817741,n102,Ramp,,,,
Ramp_01_004,103,28.5573162,77.0815273,n103,Ramp,,,,
Ramp_01_005,104,28.5566094,77.0803364,n104,Ramp,,,,
Ramp_02_001,105,28.5528954,77.0796712,n105,Ramp,,,,
Ramp_02_002,106,28.5536681,77.0811035,n106,Ramp,,,,
Ramp_02_003,107,28.5542289,77.082238,n107,Ramp,,,,
Ramp_02_004,108,28.5535833,77.0826109,n108,Ramp,,,,
Ramp_02_005,109,28.5530339,77.0815227,n109,Ramp,,,,
Ramp_02_006,110,28.5524167,77.0803049,n110,Ramp,,,,
Ramp_03_001,111,28.5506321,77.083402,n111,Ramp,,,,
Ramp_03_002,112,28.5513012,77.0847217,n112,Ramp,,,,
Ramp_03_003,113,28.5514284,77.0860038,n113,Ramp,,,,
Ramp_03_004,114,28.5511781,77.0869176,n114,Ramp,,,,
Ramp_03_005,115,28.5505232,77.087379,n115,Ramp,,,,
Ramp_03_006,116,28.5497032,77.0879207,n116,Ramp,,,,
Ramp_04_001,117,28.5498339,77.0909569,n117,Ramp,,,,
Ramp_04_002,118,28.5505218,77.0905063,n118,Ramp,,,,
Ramp_04_003,119,28.5511862,77.0900664,n119,Ramp,,,,
Ramp_04_004,120,28.5516527,77.08953,n120,Ramp,,,,
Ramp_04_005,121,28.5522135,77.0891599,n121,Ramp,,,,
Ramp_04_006,122,28.5513465,77.0904205,n122,Ramp,,,,
Ramp_04_007,123,28.5506755,77.0909301,n123,Ramp,,,,
Ramp_04_008,124,28.5499781,77.0913754,n124,Ramp,,,,
Ramp_04_009,125,28.5491535,77.0919118,n125,Ramp,,,,
Txy_T_005,126,28.5478011,77.0928077,n126,Txy,,,,
Rwy_03_001,127,28.5705267,77.0883901,n127,Rwy,RW09,Entry,RW27,End
Rwy_03_002,128,28.5705004,77.0895443,n128,Rwy,,,,
Rwy_03_003,129,28.5704251,77.0935569,n129,Rwy,,,,
