n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_CW1_W2,82,28.5562889,77.0787693,Txy_CW1_W3,80,28.560275,77.0798851
Txy_CW2_W2,83,28.5564773,77.0777769,Txy_CW2_W3,81,28.5604917,77.0789088
Rwy_01_001,0,28.537771,77.1093423,Rwy_01_002,1,28.5379784,77.1082908
Rwy_01_003,2,28.5404516,77.0967657,Rwy_01_002,1,28.5379784,77.1082908
Rwy_01_004,3,28.5413522,77.0926197,Rwy_01_003,2,28.5404516,77.0967657
Rwy_01_005,4,28.5420685,77.0893045,Rwy_01_004,3,28.5413522,77.0926197
Rwy_01_006,5,28.5449807,77.0757111,Rwy_01_005,4,28.5420685,77.0893045
Rwy_01_007,6,28.5454991,77.0732435,Rwy_01_006,5,28.5449807,77.0757111
Rwy_01_008,7,28.5464981,77.0685764,Rwy_01_007,6,28.5454991,77.0732435
Rwy_01_009,8,28.5467714,77.0674392,Rwy_01_008,7,28.5464981,77.0685764
Rwy_01_009,8,28.5467714,77.0674392,Rwy_01_010,9,28.5471013,77.0658298
Rwy_01_001,0,28.537771,77.1093423,Txy_Z1_Z,10,28.539229,77.1105763
Rwy_01_001,0,28.537771,77.1093423,Txy_CE1_Z,11,28.5394552,77.1096858
Rwy_01_002,1,28.5379784,77.1082908,Txy_CE2_Z,12,28.5396437,77.108849
Rwy_01_003,2,28.5404516,77.0967657,Txy_Z3_Z,14,28.5413384,77.1008688
Rwy_01_004,3,28.5413522,77.0926197,Txy_Z4_Z,15,28.5421961,77.0968881
Rwy_01_005,4,28.5420685,77.0893045,Txy_Z5_Z,16,28.542957,77.0933872
Rwy_01_006,5,28.5449807,77.0757111,Txy_Z6_001,19,28.5463875,77.0739157
Txy_Z6_001,19,28.5463875,77.0739157,Txy_CW2_Z,20,28.5470849,77.0741946
Txy_Z6_001,19,28.5463875,77.0739157,Txy_Z6_Z,18,28.5473582,77.0728428
Rwy_01_007,6,28.5454991,77.0732435,Txy_Z7_Z,21,28.5479103,77.0703411
Rwy_01_008,7,28.5464981,77.0685764,Txy_S4_Z,22,28.5482076,77.06881
Rwy_01_009,8,28.5467714,77.0674392,Txy_S5_Z,23,28.5484338,77.0678229
Rwy_01_010,9,28.5471013,77.0658298,Txy_Z8_Z,24,28.5487731,77.06616
Rwy_01_010,9,28.5471013,77.0658298,Txy_Z9_Z,25,28.5488956,77.0652695
