n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_02_003,74,55.9648145,37.4084499,Gate_D_027,118,55.9644409,37.406125
Rwy_01_001,0,55.9810529,37.3292724,Rwy_01_002,2,55.98403,37.3499147
Rwy_01_003,3,55.9847863,37.3548071,Rwy_01_002,2,55.98403,37.3499147
Rwy_01_004,4,55.9862267,37.3642484,Rwy_01_003,3,55.9847863,37.3548071
Rwy_01_005,5,55.9883392,37.3780949,Rwy_01_004,4,55.9862267,37.3642484
Txy_E7_001,12,55.9849855,37.3776899,Txy_E7_002,13,55.9852135,37.3795674
Txy_E5_E,10,55.9866889,37.3787996,Txy_E7_002,13,55.9852135,37.3795674
Txy_E5_E,10,55.9866889,37.3787996,Txy_E7_E,11,55.9860407,37.3744652
Txy_E7_E,11,55.9860407,37.3744652,Txy_E7_001,12,55.9849855,37.3776899
Rwy_01_005,5,55.9883392,37.3780949,Txy_E5_E,10,55.9866889,37.3787996
Txy_E4_E,9,55.9854045,37.3696587,Txy_E7_E,11,55.9860407,37.3744652
Rwy_01_004,4,55.9862267,37.3642484,Txy_E4_E,9,55.9854045,37.3696587
Txy_E4_E,9,55.9854045,37.3696587,Txy_E3_E,8,55.983796,37.359673
Rwy_01_003,3,55.9847863,37.3548071,Txy_E3_E,8,55.983796,37.359673
Rwy_01_002,2,55.98403,37.3499147,Txy_E2_E,7,55.9817992,37.3459973
Txy_E2_E,7,55.9817992,37.3459973,Txy_E3_E,8,55.983796,37.359673
Txy_E1_E,6,55.9794223,37.3301884,Txy_E2_E,7,55.9817992,37.3459973
Rwy_01_001,0,55.9810529,37.3292724,Txy_E1_E,6,55.9794223,37.3301884
Rwy_02_001,14,55.9697917,37.3872569,Rwy_02_002,15,55.971689,37.3996165
Rwy_02_003,16,55.9736006,37.4124882,Rwy_02_002,15,55.971689,37.3996165
Rwy_02_004,17,55.976038,37.4285171,Rwy_02_003,16,55.9736006,37.4124882
Rwy_02_005,18,55.9778749,37.4409196,Rwy_02_004,17,55.976038,37.4285171
Rwy_03_001,19,55.9672261,37.3868327,Rwy_03_002,20,55.9673942,37.3882275
Rwy_03_003,21,55.9692436,37.4006729,Rwy_03_002,20,55.9673942,37.3882275
Rwy_03_004,22,55.9700481,37.4055009,Rwy_03_003,21,55.9692436,37.4006729
Rwy_03_005,23,55.9710476,37.4122748,Rwy_03_004,22,55.9700481,37.4055009
Rwy_03_006,24,55.9712397,37.4136052,Rwy_03_005,23,55.9710476,37.4122748
Rwy_03_007,25,55.9714918,37.4154291,Rwy_03_006,24,55.9712397,37.4136052
Rwy_03_008,26,55.9724461,37.4216935,Rwy_03_007,25,55.9714918,37.4154291
Rwy_03_009,27,55.9735868,37.4297402,Rwy_03_008,26,55.9724461,37.4216935
Rwy_03_010,28,55.9754359,37.4421212,Rwy_03_009,27,55.9735868,37.4297402
Rwy_03_011,29,55.975664,37.4435374,Rwy_03_010,28,55.9754359,37.4421212
Rwy_02_001,14,55.9697917,37.3872569,Rwy_03_002,20,55.9673942,37.3882275
Rwy_02_002,15,55.971689,37.3996165,Rwy_03_003,21,55.9692436,37.4006729
Rwy_02_003,16,55.9736006,37.4124882,Rwy_03_006,24,55.9712397,37.4136052
Rwy_02_004,17,55.976038,37.4285171,Rwy_03_009,27,55.9735868,37.4297402
Rwy_03_010,28,55.9754359,37.4421212,Rwy_02_005,18,55.9778749,37.4409196
Txy_E3_E,8,55.983796,37.359673,Txy_D1_D,30,55.9808225,37.3610968
Txy_D1_D,30,55.9808225,37.3610968,Txy_D1_003,33,55.9786255,37.362159
Txy_D1_D,30,55.9808225,37.3610968,Txy_D1_001,31,55.9800181,37.3599274
Txy_D1_001,31,55.9800181,37.3599274,Txy_D1_002,32,55.9790577,37.3604209
Txy_D1_003,33,55.9786255,37.362159,Txy_D1_002,32,55.9790577,37.3604209
Txy_D1_003,33,55.9786255,37.362159,Txy_D_001,34,55.9749874,37.3643529
Txy_D_001,34,55.9749874,37.3643529,Txy_D_002,35,55.9707728,37.3785793
Txy_D_002,35,55.9707728,37.3785793,Txy_D_B,36,55.9714813,37.386347
Txy_D_B,36,55.9714813,37.386347,Rwy_02_001,14,55.9697917,37.3872569
Rwy_03_001,19,55.9672261,37.3868327,Txy_A1_A,1,55.9654805,37.3880588
Txy_A1_A,1,55.9654805,37.3880588,Txy_A_S1,55,55.9668058,37.3984167
Txy_A_S1,55,55.9668058,37.3984167,Txy_A2_A,38,55.9672871,37.4014377
Txy_A2_A3,37,55.9677614,37.4014162,Txy_A2_A,38,55.9672871,37.4014377
Txy_A2_A3,37,55.9677614,37.4014162,Rwy_03_003,21,55.9692436,37.4006729
Txy_A2_A3,37,55.9677614,37.4014162,Rwy_03_004,22,55.9700481,37.4055009
Txy_A2_A,38,55.9672871,37.4014377,Txy_A4_A,39,55.9680136,37.4064158
Txy_A4_A,39,55.9680136,37.4064158,Txy_A4_001,40,55.9689263,37.4081217
Txy_A4_A,39,55.9680136,37.4064158,Txy_A_001,41,55.9682945,37.4082873
Txy_A4_001,40,55.9689263,37.4081217,Txy_A_001,41,55.9682945,37.4082873
Txy_A4_001,40,55.9689263,37.4081217,Rwy_03_005,23,55.9710476,37.4122748
Txy_A5_A,42,55.9691892,37.4145422,Rwy_03_006,24,55.9712397,37.4136052
Txy_A6_001,44,55.9707338,37.4206284,Txy_A_002,45,55.9701874,37.4208644
Txy_A6_001,44,55.9707338,37.4206284,Txy_A6_A,43,55.9704276,37.4224845
Txy_A_002,45,55.9701874,37.4208644,Txy_A6_A,43,55.9704276,37.4224845
Rwy_03_007,25,55.9714918,37.4154291,Txy_A6_001,44,55.9707338,37.4206284
Txy_A_003,48,55.9711,37.4270013,Txy_A7_A,46,55.9713041,37.4286107
Txy_A7_A,46,55.9713041,37.4286107,Txy_A7_001,47,55.9716524,37.4268082
Txy_A7_001,47,55.9716524,37.4268082,Txy_A_003,48,55.9711,37.4270013
Rwy_03_008,26,55.9724461,37.4216935,Txy_A7_001,47,55.9716524,37.4268082
Rwy_03_009,27,55.9735868,37.4297402,Txy_A8_A,49,55.9715983,37.430617
Txy_A7_A,46,55.9713041,37.4286107,Txy_A8_A,49,55.9715983,37.430617
Txy_A8_A,49,55.9715983,37.430617,Txy_A_S13,51,55.9728208,37.4388578
Txy_A_S13,51,55.9728208,37.4388578,Txy_S13_001,52,55.9721124,37.4413708
Txy_S13_001,52,55.9721124,37.4413708,Txy_S13_002,53,55.9721003,37.4430231
Txy_S13_002,53,55.9721003,37.4430231,Txy_S13_002,53,55.9721003,37.4430231
Txy_A9_A,50,55.9737333,37.4443831,Txy_S13_003,54,55.9725325,37.4447933
Txy_A_S13,51,55.9728208,37.4388578,Txy_A9_A,50,55.9737333,37.4443831
Txy_A9_A,50,55.9737333,37.4443831,Txy_S13_001,52,55.9721124,37.4413708
Txy_S13_002,53,55.9721003,37.4430231,Txy_A9_A,50,55.9737333,37.4443831
Txy_A9_A,50,55.9737333,37.4443831,Rwy_03_011,29,55.975664,37.4435374
Txy_D_B,36,55.9714813,37.386347,Txy_B2_B,56,55.9733599,37.3987768
Txy_B2_B,56,55.9733599,37.3987768,Rwy_02_002,15,55.971689,37.3996165
Txy_B2_B,56,55.9733599,37.3987768,Txy_B3_B,57,55.9753377,37.4116239
Txy_B3_B,57,55.9753377,37.4116239,Rwy_02_003,16,55.9736006,37.4124882
Txy_B3_B,57,55.9753377,37.4116239,Txy_N6_B,58,55.97595,37.4161515
Txy_N6_B,58,55.97595,37.4161515,Txy_N7_B,59,55.9767784,37.4213657
Txy_N7_B,59,55.9767784,37.4213657,Txy_N8_B,60,55.9770546,37.4241123
Txy_N8_B,60,55.9770546,37.4241123,Txy_B4_B,61,55.9776669,37.4277171
Txy_B4_B,61,55.9776669,37.4277171,Rwy_02_004,17,55.976038,37.4285171
Txy_B4_B,61,55.9776669,37.4277171,Txy_B_001,62,55.9788729,37.427163
Txy_B_001,62,55.9788729,37.427163,Txy_B_002,63,55.9806917,37.4395967
Txy_B_002,63,55.9806917,37.4395967,Rwy_02_005,18,55.9778749,37.4409196
Txy_A_001,41,55.9682945,37.4082873,Txy_A_004,79,55.9685076,37.4100968
Txy_A_004,79,55.9685076,37.4100968,Txy_A5_A,42,55.9691892,37.4145422
Txy_A_S1,55,55.9668058,37.3984167,Ramp_01_001,64,55.9658629,37.3988509
Ramp_01_001,64,55.9658629,37.3988509,Ramp_01_002,65,55.9649441,37.3993552
Ramp_01_003,66,55.9641214,37.3997521,Ramp_01_002,65,55.9649441,37.3993552
Ramp_01_005,68,55.963671,37.40053,Ramp_01_003,66,55.9641214,37.3997521
Ramp_01_005,68,55.963671,37.40053,Ramp_01_004,67,55.9630585,37.3980999
Ramp_01_006,69,55.9639906,37.4023194,Ramp_01_005,68,55.963671,37.40053
Ramp_01_007,70,55.9646812,37.4023087,Ramp_01_006,69,55.9639906,37.4023194
