id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_B_014,0,25.2497259,55.3578259,n0,Gate,,,,
Gate_B_003,1,25.2534381,55.3515265,n1,Gate,,,,
Gate_B_001,2,25.2540803,55.3502651,n2,Gate,,,,
Gate_B_004,3,25.2530621,55.3520951,n3,Gate,,,,
Gate_B_012,4,25.2501745,55.3571898,n4,Gate,,,,
Gate_B_008,5,25.2519018,55.3541562,n5,Gate,,,,
Gate_B_002,6,25.2537802,55.3509095,n6,Gate,,,,
Gate_B_005,7,25.2527295,55.3527205,n7,Gate,,,,
Gate_B_006,8,25.2523263,55.3533784,n8,Gate,,,,
Gate_B_009,9,25.2514918,55.3549099,n9,Gate,,,,
Gate_B_010,10,25.251026,55.3557226,n10,Gate,,,,
Gate_B_011,11,25.2505893,55.3564656,n11,Gate,,,,
Gate_B_020,12,25.2476294,55.3616635,n12,Gate,,,,
Gate_B_015,13,25.2493911,55.3584374,n13,Gate,,,,
Gate_B_016,14,25.2490369,55.3590463,n14,Gate,,,,
Gate_B_018,15,25.2483892,55.3603042,n15,Gate,,,,
Gate_B_017,16,25.2487264,55.3596846,n16,Gate,,,,
Gate_B_023,17,25.2464407,55.3637958,n17,Gate,,,,
Gate_B_022,18,25.2467609,55.3632138,n18,Gate,,,,
Gate_B_021,19,25.2472073,55.3624011,n19,Gate,,,,
Gate_B_025,20,25.2457299,55.3650028,n20,Gate,,,,
Gate_B_024,21,25.2460938,55.3644127,n21,Gate,,,,
Gate_F_026,22,25.2468313,55.3660833,n22,Gate,,,,
Gate_B_027,23,25.2459646,55.3659249,n23,Gate,,,,
Gate_F_027,24,25.246368,55.3661912,n24,Gate,,,,
Gate_B_026,25,25.2455431,55.3655795,n25,Gate,,,,
Gate_F_025,26,25.2471062,55.3654468,n26,Gate,,,,
Gate_F_020,27,25.2489826,55.3620562,n27,Gate,,,,
Gate_F_023,28,25.2478011,55.364225,n28,Gate,,,,
Gate_F_022,29,25.2481834,55.3635584,n29,Gate,,,,
Gate_F_021,30,25.2485485,55.3627859,n30,Gate,,,,
Gate_F_016,31,25.2506394,55.3590953,n31,Gate,,,,
Gate_F_018,32,25.2499222,55.3604298,n32,Gate,,,,
Gate_F_017,33,25.2502954,55.3596961,n33,Gate,,,,
Gate_F_019,34,25.2494334,55.3613449,n34,Gate,,,,
Gate_F_024,35,25.2474482,55.3648299,n35,Gate,,,,
Gate_F_015,36,25.2514053,55.3577118,n36,Gate,,,,
Gate_F_014,37,25.2516854,55.3569957,n37,Gate,,,,
Gate_F_013,38,25.2520805,55.3562747,n38,Gate,,,,
Gate_F_010,39,25.2525344,55.355572,n39,Gate,,,,
Gate_F_009,40,25.2529539,55.3548233,n40,Gate,,,,
Gate_F_008,41,25.25341,55.3541248,n41,Gate,,,,
Gate_F_007,42,25.2537763,55.3533523,n42,Gate,,,,
Gate_F_006,43,25.2541499,55.3525932,n43,Gate,,,,
Gate_F_005,44,25.2546641,55.3518825,n44,Gate,,,,
Gate_F_004,45,25.2550499,55.3513031,n45,Gate,,,,
Gate_F_003,46,25.2553652,55.3506272,n46,Gate,,,,
Gate_F_002,47,25.2547025,55.3503895,n47,Gate,,,,
Gate_E_001,48,25.2682391,55.3515796,n48,Gate,,,,
Gate_E_002,49,25.2678461,55.352167,n49,Gate,,,,
Gate_E_003,50,25.2675691,55.3528247,n50,Gate,,,,
Gate_E_004,51,25.2671107,55.3533531,n51,Gate,,,,
Gate_E_005,52,25.2668948,55.3537581,n52,Gate,,,,
Gate_E_006,53,25.2665867,55.3542596,n53,Gate,,,,
Gate_E_007,54,25.2661623,55.3550214,n54,Gate,,,,
Gate_E_008,55,25.2659027,55.3555954,n55,Gate,,,,
Gate_E_009,56,25.2656796,55.3559602,n56,Gate,,,,
Gate_E_010,57,25.2654734,55.3563518,n57,Gate,,,,
Gate_E_011,58,25.2652745,55.3567474,n58,Gate,,,,
Gate_E_012,59,25.265061,55.3571256,n59,Gate,,,,
Gate_E_013,60,25.264851,55.3575042,n60,Gate,,,,
Gate_E_014,61,25.264623,55.3578663,n61,Gate,,,,
Gate_E_015,62,25.2644223,55.3582652,n62,Gate,,,,
Gate_E_016,63,25.2642092,55.3586381,n63,Gate,,,,
Gate_E_017,64,25.2639957,55.3590216,n64,Gate,,,,
Gate_E_043,65,25.2546272,55.3762124,n65,Gate,,,,
Gate_E_045,66,25.2553915,55.3747628,n66,Gate,,,,
Gate_E_044,67,25.2561453,55.3733929,n67,Gate,,,,
Gate_E_038,68,25.2565602,55.3726204,n68,Gate,,,,
Gate_E_037,69,25.2567397,55.3722717,n69,Gate,,,,
Gate_E_036,70,25.2568973,55.3719016,n70,Gate,,,,
Gate_E_035,71,25.2571254,55.3715824,n71,Gate,,,,
Gate_E_034,72,25.2573049,55.371231,n72,Gate,,,,
Gate_E_033,73,25.2574996,55.3709026,n73,Gate,,,,
Gate_E_032,74,25.2576889,55.3705485,n74,Gate,,,,
Gate_E_031,75,25.2578853,55.3702132,n75,Gate,,,,
Gate_E_030,76,25.2581376,55.3697723,n76,Gate,,,,
Gate_E_029,77,25.2583244,55.369303,n77,Gate,,,,
Gate_E_028,78,25.2587368,55.3687209,n78,Gate,,,,
Gate_E_027,79,25.259132,55.3681495,n79,Gate,,,,
Gate_E_026,80,25.259428,55.3675004,n80,Gate,,,,
Gate_E_025,81,25.2597676,55.3668808,n81,Gate,,,,
Gate_E_024,82,25.2601217,55.3662827,n82,Gate,,,,
Gate_E_023,83,25.2604201,55.3656416,n83,Gate,,,,
Gate_E_022,84,25.260767,55.3650488,n84,Gate,,,,
Gate_E_021,85,25.2611333,55.3644293,n85,Gate,,,,
Gate_E_020,86,25.261546,55.3637797,n86,Gate,,,,
Gate_E_019,87,25.2619245,55.3630234,n87,Gate,,,,
