id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.782397,12.2402442,n0,Rwy,RW34L,Entry,RW16R,End
Rwy_01_002,1,41.782685,12.2401154,n1,Rwy,,,,
Rwy_01_003,2,41.7918363,12.2362813,n2,Rwy,,,,
Rwy_01_004,3,41.7953097,12.234837,n3,Rwy,,,,
Rwy_01_005,4,41.7974293,12.2339519,n4,Rwy,,,,
Rwy_01_02,5,41.7995738,12.2330477,n5,Rwy,,,,
Rwy_01_006,6,41.8022331,12.2319319,n6,Rwy,,,,
Rwy_01_007,7,41.8077904,12.229623,n7,Rwy,,,,
Rwy_01_008,8,41.8149999,12.2266049,n8,Rwy,,,,
Rwy_01_009,9,41.8153877,12.2264332,n9,Rwy,RW16R,Entry,RW34L,End
Rwy_02_001,10,41.800397,12.2359886,n10,Rwy,RW07,Entry,RW25,End
Rwy_02_002,11,41.8013967,12.2396257,n11,Rwy,,,,
Rwy_02_003,12,41.8034281,12.2469427,n12,Rwy,,,,
Rwy_02_004,13,41.8052529,12.2535688,n13,Rwy,,,,
Rwy_02_005,14,41.8071946,12.2606683,n14,Rwy,,,,
Rwy_02_006,15,41.8074025,12.2613979,n15,Rwy,,,,
Rwy_02_007,16,41.8096291,12.2695454,n16,Rwy,,,,
Rwy_02_008,17,41.809917,12.2705647,n17,Rwy,RW25,Entry,RW07,End
Rwy_03_001,18,41.8132825,12.2751818,n18,Rwy,RW34R,Entry,RW16L,End
Rwy_03_002,19,41.8152848,12.2743437,n19,Rwy,,,,
Rwy_03_003,20,41.821855,12.2716104,n20,Rwy,,,,
Rwy_03_004,21,41.8245704,12.2704743,n21,Rwy,,,,
Rwy_03_005,22,41.8281494,12.2689665,n22,Rwy,,,,
Rwy_03_006,23,41.8300672,12.26815,n23,Rwy,,,,
Rwy_03_007,24,41.8333252,12.2668049,n24,Rwy,,,,
Rwy_03_008,25,41.8362537,12.2655752,n25,Rwy,,,,
Rwy_03_009,26,41.8440155,12.2623153,n26,Rwy,,,,
Rwy_03_010,27,41.8452344,12.2618057,n27,Rwy,RW16L,Entry,RW34R,End
Txy_AK_001,28,41.7829721,12.2415297,n28,Txy,,,,
Txy_AL_001,29,41.7819601,12.2418945,n29,Txy,,,,
Txy_A_001,30,41.7823721,12.2432732,n30,Txy,,,,
Txy_A_002,31,41.7833601,12.2431176,n31,Txy,,,,
Txy_A_Y,32,41.7892843,12.2406326,n32,Txy,,,,
Txy_AH_001,33,41.7900682,12.2386746,n33,Txy,,,,
Txy_A_W,34,41.7926953,12.2392026,n34,Txy,,,,
Txy_A_V,35,41.7931992,12.2389987,n35,Txy,,,,
Txy_A_M,36,41.7966657,12.2375315,n36,Txy,,,,
Txy_A_B,37,41.7982421,12.2369018,n37,Txy,,,,
Txy_A_AD,38,41.8062618,12.2335155,n38,Txy,,,,
Txy_AD_001,39,41.8060139,12.2326572,n39,Txy,,,,
Txy_A_AC,40,41.8084332,12.2326035,n40,Txy,,,,
Txy_A_AB,41,41.8138882,12.2303338,n41,Txy,,,,
Txy_A_AA,42,41.8150236,12.2300012,n42,Txy,,,,
Txy_AA_001,43,41.8157207,12.2278302,n43,Txy,,,,
Txy_AB_001,44,41.8148012,12.2275191,n44,Txy,,,,
Txy_AE_AF,45,41.7978615,12.2355195,n45,Txy,,,,
Txy_DA_001,46,41.8460041,12.2595337,n46,Txy,,,,
Txy_DB_001,47,41.8448772,12.2599843,n47,Txy,,,,
Txy_D_001,48,41.8447173,12.2586325,n48,Txy,,,,
Txy_DC_D,49,41.8386426,12.2613231,n49,Txy,,,,
Txy_DC_001,50,41.8388664,12.2622136,n50,Txy,,,,
Txy_DD_D,51,41.8321664,12.2640348,n51,Txy,,,,
Txy_DE_D,52,41.8287436,12.2654832,n52,Txy,,,,
Txy_DD_DE,53,41.831476,12.2663863,n53,Txy,,,,
Txy_DF_D,54,41.827295,12.2660966,n54,Txy,,,,
Txy_DF_DG,55,41.8263995,12.2684891,n55,Txy,,,,
Txy_DG_D,56,41.8234574,12.2677059,n56,Txy,,,,
Txy_DH_D,57,41.817021,12.2703881,n57,Txy,,,,
Txy_CH_D,58,41.8182883,12.2698678,n58,Txy,,,,
Txy_DK_D,59,41.8133387,12.2719384,n59,Txy,,,,
Txy_DK_001,60,41.8137785,12.2734834,n60,Txy,,,,
Txy_DL_001,61,41.8116674,12.2743417,n61,Txy,,,,
Txy_DL_D,62,41.8108918,12.2729255,n62,Txy,,,,
Txy_CD_C,63,41.8301976,12.2635361,n63,Txy,,,,
Txy_CE_C,64,41.8270101,12.2648334,n64,Txy,,,,
Txy_CH_C,65,41.8169538,12.2690511,n65,Txy,,,,
Txy_CL_C,66,41.8101989,12.2718894,n66,Txy,,,,
Txy_BG_001,67,41.8006458,12.2400015,n67,Txy,,,,
Txy_BG_B,68,41.799638,12.2404843,n68,Txy,,,,
Txy_B_T,69,41.8002059,12.2420721,n69,Txy,,,,
Txy_BT_B,70,41.799163,12.24071,n70,Txy,,,,
Txy_BT_T,71,41.799347,12.2424588,n71,Txy,,,,
Txy_BF_B,72,41.8017864,12.2477194,n72,Txy,,,,
Txy_S_H,73,41.7996669,12.2436424,n73,Txy,,,,
Txy_R_H,74,41.8008026,12.2477194,n74,Txy,,,,
Txy_B_G,75,41.8020263,12.2503908,n75,Txy,,,,
Txy_B_P,76,41.803082,12.2544571,n76,Txy,,,,
Txy_B_N,77,41.8051033,12.2616792,n77,Txy,,,,
Txy_BD_001,78,41.8061989,12.2612393,n78,Txy,,,,
Txy_BC_001,79,41.8064773,12.2619863,n79,Txy,,,,
Txy_D_N,80,41.8035233,12.2612018,n80,Txy,,,,
Txy_D_P,81,41.8014518,12.2537668,n81,Txy,,,,
Txy_H_CF,82,41.8007,12.2518892,n82,Txy,,,,
Txy_BB_001,83,41.8086166,12.2701304,n83,Txy,,,,
Txy_BA_001,84,41.8088885,12.2710317,n84,Txy,,,,
Txy_DM_B,85,41.807521,12.2705489,n85,Txy,,,,
Txy_B_C,86,41.8092004,12.2722548,n86,Txy,,,,
Txy_C_D,87,41.8071212,12.2730272,n87,Txy,,,,
Txy_DM_D,88,41.8060412,12.2704019,n88,Txy,,,,
Txy_EG_D,89,41.8040985,12.2636398,n89,Txy,,,,
Txy_EA_EG,90,41.8026389,12.2641011,n90,Txy,,,,
Txy_NG_EB,91,41.8020238,12.2602815,n91,Txy,,,,
Txy_EG_EF,92,41.8020558,12.2640097,n92,Txy,,,,
Txy_EC_EG,93,41.8007202,12.2631702,n93,Txy,,,,
Txy_EH_EC,94,41.7995284,12.2637442,n94,Txy,,,,
Txy_EH_EG,95,41.7991045,12.2621778,n95,Txy,,,,
Txy_M_T,96,41.7982062,12.2431764,n96,Txy,,,,
Txy_S_M,97,41.7988753,12.2440273,n97,Txy,,,,
Txy_M_R,98,41.7999628,12.248083,n98,Txy,,,,
Txy_NG_G,99,41.799147,12.2584883,n99,Txy,,,,
Txy_H_P,100,41.8002921,12.2532043,n100,Txy,,,,
Txy_NG_H,101,41.7985435,12.2581034,n101,Txy,,,,
Txy_ED_001,102,41.8005442,12.2647631,n102,Txy,,,,
Txy_ED_002,103,41.7992285,12.2654229,n103,Txy,,,,
Txy_ED_003,104,41.7982967,12.2658789,n104,Txy,,,,
Txy_ED_004,105,41.7972209,12.2663993,n105,Txy,,,,
Txy_EC_001,106,41.7988779,12.2640704,n106,Txy,,,,
Txy_EC_002,107,41.7982061,12.264403,n107,Txy,,,,
Txy_EC_003,108,41.7975822,12.2647141,n108,Txy,,,,
Txy_EC_004,109,41.7969383,12.2650252,n109,Txy,,,,
Txy_EF_ED,110,41.80085,12.2646248,n110,Txy,,,,
Txy_EF_001,111,41.8010379,12.2659015,n111,Txy,,,,
Txy_EF_002,112,41.8002221,12.2663146,n112,Txy,,,,
Txy_EF_003,113,41.7991704,12.2668296,n113,Txy,,,,
Txy_EF_004,114,41.7982346,12.2672963,n114,Txy,,,,
Txy_EF_005,115,41.7975027,12.2676611,n115,Txy,,,,
