id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_A_040,0,50.0438402,8.5617476,n0,Gate,,,,
Gate_A_038,1,50.0439635,8.5622811,n1,Gate,,,,
Gate_A_036,2,50.044119,8.5628037,n2,Gate,,,,
Gate_A_034,3,50.0442646,8.5633361,n3,Gate,,,,
Gate_A_030,4,50.044467,8.5643567,n4,Gate,,,,
Gate_A_028,5,50.044644,8.564909,n5,Gate,,,,
Gate_A_026,6,50.0447551,8.5654146,n6,Gate,,,,
Gate_A_024,7,50.0453076,8.5659698,n7,Gate,,,,
Gate_A_022,8,50.0457785,8.5663296,n8,Gate,,,,
Gate_A_020,9,50.0463323,8.5668513,n9,Gate,,,,
Gate_A_018,10,50.0468447,8.5671279,n10,Gate,,,,
Gate_A_016,11,50.0473176,8.5675423,n11,Gate,,,,
Gate_A_014,12,50.0478296,8.5678012,n12,Gate,,,,
Gate_A_060,13,50.0482241,8.5657711,n13,Gate,,,,
Gate_A_052,14,50.0479942,8.5648295,n14,Gate,,,,
Gate_A_054,15,50.0476831,8.5638133,n15,Gate,,,,
Gate_A_058,16,50.0474743,8.5626353,n16,Gate,,,,
Gate_A_062,17,50.0471983,8.5614824,n17,Gate,,,,
Gate_A_066,18,50.0468596,8.5603767,n18,Gate,,,,
Gate_A_069,19,50.0466357,8.5593052,n19,Gate,,,,
Ramp_01_001,20,50.0446243,8.5615997,n20,Ramp,,,,
Ramp_01_002,21,50.0448276,8.5624741,n21,Ramp,,,,
Ramp_01_003,22,50.0451548,8.5638206,n22,Ramp,,,,
Ramp_01_004,23,50.0458886,8.5646789,n23,Ramp,,,,
Ramp_01_005,24,50.0472114,8.5658644,n24,Ramp,,,,
Ramp_01_006,25,50.0466431,8.564233,n25,Ramp,,,,
Ramp_01_007,26,50.0461411,8.5621408,n26,Ramp,,,,
Ramp_01_008,27,50.0457483,8.5604779,n27,Ramp,,,,
Txy_N7_001,28,50.0439465,8.5602604,n28,Txy,,,,
Txy_N8_001,29,50.0437363,8.5591553,n29,Txy,,,,
Txy_N8_N,30,50.0424911,8.5597937,n30,Txy,,,,
Txy_N7_N,31,50.0427908,8.5610007,n31,Txy,,,,
Gate_A_025,32,50.0455486,8.5670614,n32,Gate,,,,
Gate_A_023,33,50.0461105,8.5676262,n33,Gate,,,,
Gate_A_021,34,50.0465997,8.5679535,n34,Gate,,,,
Gate_A_019,35,50.0471078,8.5682364,n35,Gate,,,,
Gate_A_017,36,50.0475957,8.5686321,n36,Gate,,,,
Gate_A_015,37,50.0481058,8.5688923,n37,Gate,,,,
Gate_A_013,38,50.048594,8.5692855,n38,Gate,,,,
Gate_A_011,39,50.0490129,8.569775,n39,Gate,,,,
Gate_A_001,40,50.0492404,8.5705987,n40,Gate,,,,
Gate_B_010,41,50.0487711,8.5715643,n41,Gate,,,,
Gate_B_020,42,50.0481086,8.5719639,n42,Gate,,,,
Gate_B_022,43,50.0474554,8.5714398,n43,Gate,,,,
Gate_B_024,44,50.0469258,8.57113,n44,Gate,,,,
Gate_B_026,45,50.0460956,8.5709503,n45,Gate,,,,
Gate_B_025,46,50.046534,8.5708353,n46,Gate,,,,
Txy_N5_001,47,50.0455754,8.568952,n47,Txy,,,,
Txy_N5_002,48,50.0467663,8.5694796,n48,Txy,,,,
Txy_N5_003,49,50.0477894,8.5702467,n49,Txy,,,,
Txy_N5_004,50,50.0486472,8.5708368,n50,Txy,,,,
