n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_001,20,50.0446243,8.5615997,Ramp_01_002,21,50.0448276,8.5624741
Ramp_01_003,22,50.0451548,8.5638206,Ramp_01_002,21,50.0448276,8.5624741
Ramp_01_003,22,50.0451548,8.5638206,Ramp_01_004,23,50.0458886,8.5646789
Ramp_01_004,23,50.0458886,8.5646789,Ramp_01_005,24,50.0472114,8.5658644
Ramp_01_005,24,50.0472114,8.5658644,Ramp_01_006,25,50.0466431,8.564233
Ramp_01_004,23,50.0458886,8.5646789,Ramp_01_006,25,50.0466431,8.564233
Ramp_01_006,25,50.0466431,8.564233,Ramp_01_007,26,50.0461411,8.5621408
Ramp_01_007,26,50.0461411,8.5621408,Ramp_01_008,27,50.0457483,8.5604779
Txy_N7_N,31,50.0427908,8.5610007,Txy_N8_N,30,50.0424911,8.5597937
Txy_N8_N,30,50.0424911,8.5597937,Txy_N8_001,29,50.0437363,8.5591553
Txy_N7_N,31,50.0427908,8.5610007,Txy_N7_001,28,50.0439465,8.5602604
Txy_N7_001,28,50.0439465,8.5602604,Txy_N8_001,29,50.0437363,8.5591553
Txy_N7_001,28,50.0439465,8.5602604,Ramp_01_001,20,50.0446243,8.5615997
Txy_N8_001,29,50.0437363,8.5591553,Ramp_01_008,27,50.0457483,8.5604779
Ramp_01_001,20,50.0446243,8.5615997,Gate_A_040,0,50.0438402,8.5617476
Ramp_01_001,20,50.0446243,8.5615997,Gate_A_038,1,50.0439635,8.5622811
Ramp_01_002,21,50.0448276,8.5624741,Gate_A_036,2,50.044119,8.5628037
Ramp_01_002,21,50.0448276,8.5624741,Gate_A_034,3,50.0442646,8.5633361
Ramp_01_003,22,50.0451548,8.5638206,Gate_A_030,4,50.044467,8.5643567
Ramp_01_003,22,50.0451548,8.5638206,Gate_A_028,5,50.044644,8.564909
Ramp_01_004,23,50.0458886,8.5646789,Gate_A_026,6,50.0447551,8.5654146
Ramp_01_004,23,50.0458886,8.5646789,Gate_A_024,7,50.0453076,8.5659698
Ramp_01_004,23,50.0458886,8.5646789,Gate_A_022,8,50.0457785,8.5663296
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_020,9,50.0463323,8.5668513
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_018,10,50.0468447,8.5671279
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_016,11,50.0473176,8.5675423
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_014,12,50.0478296,8.5678012
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_060,13,50.0482241,8.5657711
Ramp_01_005,24,50.0472114,8.5658644,Gate_A_052,14,50.0479942,8.5648295
Ramp_01_006,25,50.0466431,8.564233,Gate_A_054,15,50.0476831,8.5638133
Ramp_01_006,25,50.0466431,8.564233,Gate_A_058,16,50.0474743,8.5626353
Ramp_01_007,26,50.0461411,8.5621408,Gate_A_062,17,50.0471983,8.5614824
Ramp_01_008,27,50.0457483,8.5604779,Gate_A_066,18,50.0468596,8.5603767
Ramp_01_008,27,50.0457483,8.5604779,Gate_A_069,19,50.0466357,8.5593052
Txy_N5_001,47,50.0455754,8.568952,Txy_N5_002,48,50.0467663,8.5694796
Txy_N5_002,48,50.0467663,8.5694796,Txy_N5_003,49,50.0477894,8.5702467
Txy_N5_004,50,50.0486472,8.5708368,Txy_N5_003,49,50.0477894,8.5702467
Txy_N5_001,47,50.0455754,8.568952,Gate_A_025,32,50.0455486,8.5670614
Gate_A_023,33,50.0461105,8.5676262,Txy_N5_001,47,50.0455754,8.568952
Gate_A_021,34,50.0465997,8.5679535,Txy_N5_002,48,50.0467663,8.5694796
Gate_A_019,35,50.0471078,8.5682364,Txy_N5_002,48,50.0467663,8.5694796
Gate_A_017,36,50.0475957,8.5686321,Txy_N5_003,49,50.0477894,8.5702467
Gate_A_015,37,50.0481058,8.5688923,Txy_N5_003,49,50.0477894,8.5702467
Gate_A_013,38,50.048594,8.5692855,Txy_N5_003,49,50.0477894,8.5702467
Gate_A_011,39,50.0490129,8.569775,Txy_N5_004,50,50.0486472,8.5708368
Gate_A_001,40,50.0492404,8.5705987,Txy_N5_004,50,50.0486472,8.5708368
Gate_B_010,41,50.0487711,8.5715643,Txy_N5_004,50,50.0486472,8.5708368
Gate_B_020,42,50.0481086,8.5719639,Txy_N5_004,50,50.0486472,8.5708368
Gate_B_022,43,50.0474554,8.5714398,Txy_N5_003,49,50.0477894,8.5702467
Gate_B_024,44,50.0469258,8.57113,Txy_N5_003,49,50.0477894,8.5702467
Gate_B_025,46,50.046534,8.5708353,Txy_N5_002,48,50.0467663,8.5694796
Gate_B_026,45,50.0460956,8.5709503,Txy_N5_001,47,50.0455754,8.568952
Ramp_02_001,51,50.0465604,8.5740631,Gate_B_028,52,50.0465744,8.5722933
Ramp_02_001,51,50.0465604,8.5740631,Gate_B_023,53,50.0471236,8.5725656
Ramp_02_001,51,50.0465604,8.5740631,Gate_B_042,63,50.0487479,8.5743059
Ramp_02_001,51,50.0465604,8.5740631,Gate_B_048,55,50.0474211,8.5755932
Txy_N4_N,57,50.0460932,8.5748685,Ramp_02_001,51,50.0465604,8.5740631
Txy_N4_N,57,50.0460932,8.5748685,Gate_B_047,56,50.0472522,8.5763247
Txy_N5_N,58,50.0445928,8.5685779,Txy_N5_001,47,50.0455754,8.568952
Txy_N3_001,83,50.0486304,8.5778172,Txy_N3_002,84,50.0493365,8.5753743
Txy_N3_N,82,50.0478861,8.5794,Txy_N3_001,83,50.0486304,8.5778172
Txy_N3_N,82,50.0478861,8.5794,Gate_B_046,59,50.047633,8.5771201
Txy_N3_001,83,50.0486304,8.5778172,Gate_B_045,60,50.0479416,8.5767318
Txy_N3_001,83,50.0486304,8.5778172,Gate_C_011,69,50.0493637,8.5788667
Txy_N3_001,83,50.0486304,8.5778172,Gate_C_008,68,50.0496213,8.5779768
Txy_N3_001,83,50.0486304,8.5778172,Gate_B_044,61,50.0481112,8.576098
Txy_N3_002,84,50.0493365,8.5753743,Gate_B_043,62,50.0483774,8.5750941
Txy_N3_002,84,50.0493365,8.5753743,Gate_B_042,63,50.0487479,8.5743059
Txy_N3_002,84,50.0493365,8.5753743,Gate_C_002,64,50.0500827,8.5739633
Txy_N3_002,84,50.0493365,8.5753743,Gate_C_004,65,50.0502821,8.5753087
Txy_N3_002,84,50.0493365,8.5753743,Gate_C_005,66,50.0500972,8.5760986
Txy_N3_002,84,50.0493365,8.5753743,Gate_C_006,67,50.0498839,8.5769242
