n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C2_001,7,28.488761,-16.356464,Txy_C2_002,6,28.488325,-16.357476
Txy_C2_002,11,28.484923,-16.346480,Rwy_12_001,0,28.487889,-16.357273
Rwy_12_001,0,28.487889,-16.357273,Rwy_12_002,1,28.485553,-16.350255
Rwy_12_002,1,28.485553,-16.350255,Rwy_12_003,2,28.483932,-16.345360
Rwy_12_003,2,28.483932,-16.345360,Rwy_12_004,3,28.482443,-16.340874
Rwy_12_004,3,28.482443,-16.340874,Rwy_12_005,4,28.481667,-16.338548
Rwy_12_005,4,28.481667,-16.338548,Rwy_12_006,5,28.477426,-16.325730
Txy_C5_003,18,28.477698,-16.325280,Rwy_12_006,5,28.477426,-16.325730
Txy_C5_002,17,28.478368,-16.325465,Txy_C5_003,18,28.477698,-16.325280
Txy_C5_001,16,28.478902,-16.326715,Txy_C5_002,17,28.478368,-16.325465
Txy_C4_001,14,28.481890,-16.335720,Txy_C5_001,16,28.478902,-16.326715
Txy_C3_001,12,28.484152,-16.342550,Txy_C4_001,14,28.481890,-16.335720
Txy_C2_001,10,28.485621,-16.347300,Txy_C3_001,12,28.484152,-16.342550
Txy_C1_001,8,28.486470,-16.349853,Txy_C2_001,10,28.485621,-16.347300
Txy_C0_001,7,28.488761,-16.356464,Txy_C1_001,8,28.486470,-16.349853
Txy_C1_001,8,28.486470,-16.349853,Txy_C1_002,9,28.486076,-16.350027
Txy_C1_002,9,28.486076,-16.350027,Rwy_12_002,1,28.485553,-16.350255
Txy_C2_001,10,28.485621,-16.347300,Txy_C2_002,11,28.484923,-16.346480
Txy_C2_002,11,28.484923,-16.346480,Rwy_12_003,2,28.483932,-16.345360
Txy_C3_001,12,28.484152,-16.342550,Txy_C3_002,13,28.482920,-16.341365
Txy_C3_002,13,28.482920,-16.341365,Rwy_12_004,3,28.482443,-16.340874
Txy_C4_001,14,28.481890,-16.335720,Txy_C4_002,15,28.481456,-16.336739
Txy_C4_002,15,28.481456,-16.336739,Rwy_12_005,4,28.481667,-16.338548
