id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_01_001,0,22.3132562,113.9345984,n0,Gate,,,,
Gate_01_002,1,22.3126234,113.9348854,n1,Gate,,,,
Gate_01_003,2,22.3119957,113.9351214,n2,Gate,,,,
Gate_01_004,3,22.3113877,113.9353306,n3,Gate,,,,
Gate_01_021,4,22.3138733,113.9337912,n4,Gate,,,,
Gate_01_023,5,22.3141338,113.9325843,n5,Gate,,,,
Gate_01_025,6,22.3139203,113.9318802,n6,Gate,,,,
Gate_01_027,7,22.3136977,113.9311937,n7,Gate,,,,
Gate_01_029,8,22.3134104,113.9303238,n8,Gate,,,,
Gate_01_031,9,22.3131924,113.9296628,n9,Gate,,,,
Gate_01_033,10,22.3129721,113.9289933,n10,Gate,,,,
Gate_01_035,11,22.3127661,113.9283093,n11,Gate,,,,
Gate_01_041,12,22.3118257,113.9275012,n12,Gate,,,,
Gate_01_043,13,22.3112103,113.9271739,n13,Gate,,,,
Gate_01_045,14,22.3105879,113.9268503,n14,Gate,,,,
Gate_01_047,15,22.3099651,113.9265365,n15,Gate,,,,
Gate_01_049,16,22.3093775,113.9262072,n16,Gate,,,,
Gate_01_050,17,22.308844,113.9248393,n17,Gate,,,,
Gate_01_048,18,22.3094171,113.9251488,n18,Gate,,,,
Gate_01_046,19,22.3100375,113.9254921,n19,Gate,,,,
Gate_01_044,20,22.3106603,113.9258059,n20,Gate,,,,
Gate_01_042,21,22.3112799,113.9261265,n21,Gate,,,,
Gate_01_040,22,22.3118705,113.9265154,n22,Gate,,,,
Gate_01_061,23,22.3131694,113.9260881,n23,Gate,,,,
Gate_01_063,24,22.3134697,113.9254551,n24,Gate,,,,
Gate_01_065,25,22.3137476,113.9248153,n25,Gate,,,,
Gate_01_067,26,22.314033,113.9241823,n26,Gate,,,,
Gate_01_069,27,22.3143158,113.9235493,n27,Gate,,,,
Gate_01_070,28,22.3143853,113.9229914,n28,Gate,,,,
Gate_01_071,29,22.3148394,113.9223852,n29,Gate,,,,
Gate_01_068,30,22.3151347,113.9231899,n30,Gate,,,,
Gate_01_066,31,22.3151477,113.9238848,n31,Gate,,,,
Gate_01_064,32,22.3148697,113.9247163,n32,Gate,,,,
Gate_01_062,33,22.3144827,113.9254619,n33,Gate,,,,
Gate_01_060,34,22.3142569,113.9262076,n34,Gate,,,,
Gate_01_034,35,22.3138152,113.9270072,n35,Gate,,,,
Gate_01_032,36,22.3136678,113.9280441,n36,Gate,,,,
Gate_01_030,37,22.3138426,113.9287155,n37,Gate,,,,
Gate_01_028,38,22.3140411,113.9293888,n38,Gate,,,,
Gate_01_026,39,22.3143141,113.9301076,n39,Gate,,,,
Gate_01_024,40,22.314525,113.9307728,n40,Gate,,,,
Gate_01_022,41,22.3147366,113.9314297,n41,Gate,,,,
Gate_01_020,42,22.3152204,113.9326716,n42,Gate,,,,
Gate_01_015,43,22.3159641,113.9330913,n43,Gate,,,,
Gate_01_016,44,22.3169496,113.9332707,n44,Gate,,,,
Gate_01_017,45,22.3175675,113.9330507,n45,Gate,,,,
Gate_01_018,46,22.3181918,113.9328275,n46,Gate,,,,
Gate_01_019,47,22.3188096,113.9325969,n47,Gate,,,,
Parking_01_001,48,22.3118358,113.9320844,n48,Park,,,,
Parking_01_002,49,22.311208,113.9322883,n49,Park,,,,
Parking_01_003,50,22.3113346,113.9326745,n50,Park,,,,
Parking_01_004,51,22.3119549,113.9323393,n51,Park,,,,
Parking_01_005,52,22.3104043,113.9300972,n52,Park,,,,
Parking_01_006,53,22.3110197,113.9298665,n53,Park,,,,
Parking_01_007,54,22.31041,113.929626,n54,Park,,,,
Parking_01_008,55,22.3098591,113.9292344,n55,Park,,,,
Gate_01_501,56,22.3173823,113.9296155,n56,Gate,,,,
Gate_01_502,57,22.3170325,113.9297603,n57,Gate,,,,
Gate_01_503,58,22.3166702,113.9298864,n58,Gate,,,,
Gate_01_504,59,22.3163079,113.9299132,n59,Gate,,,,
Gate_01_505,60,22.3164469,113.9302846,n60,Gate,,,,
Gate_01_506,61,22.3165809,113.9306493,n61,Gate,,,,
Gate_01_508,62,22.3170746,113.9308536,n62,Gate,,,,
Gate_01_509,63,22.3174352,113.9307427,n63,Gate,,,,
Gate_01_510,64,22.3177857,113.9305974,n64,Gate,,,,
Parking_01_009,65,22.3165351,113.9267245,n65,Park,,,,
Parking_01_010,66,22.3162498,113.9273531,n66,Park,,,,
Parking_01_011,67,22.3157163,113.927954,n67,Park,,,,
Parking_01_012,68,22.3163618,113.9277442,n68,Park,,,,
Parking_01_013,69,22.3168722,113.9277415,n69,Park,,,,
Gate_02_219,70,22.307545,113.9192388,n70,Gate,,,,
Gate_02_217,71,22.3081803,113.9190564,n71,Gate,,,,
Gate_02_215,72,22.3087907,113.9188124,n72,Gate,,,,
Gate_02_213,73,22.3094309,113.9186487,n73,Gate,,,,
Gate_02_211,74,22.3100306,113.9184205,n74,Gate,,,,
Gate_02_209,75,22.3107924,113.9180637,n75,Gate,,,,
Gate_02_207,76,22.3114169,113.917842,n76,Gate,,,,
Txy_W1_004,77,22.3137353,113.9221804,n77,Txy,,,,
Gate_02_205,78,22.3120184,113.9175504,n78,Gate,,,,
Gate_02_203,79,22.3126491,113.9173523,n79,Gate,,,,
Gate_02_201,80,22.3132694,113.9171351,n80,Gate,,,,
Gate_02_202,81,22.312909,113.9160039,n81,Gate,,,,
Gate_02_204,82,22.3122737,113.916256,n82,Gate,,,,
Gate_02_206,83,22.3116817,113.9164947,n83,Gate,,,,
Gate_02_208,84,22.3110614,113.9167388,n84,Gate,,,,
Gate_02_210,85,22.3104484,113.9169829,n85,Gate,,,,
Gate_02_212,86,22.3088285,113.9175468,n86,Gate,,,,
Gate_02_214,87,22.3081734,113.9178311,n87,Gate,,,,
Gate_02_216,88,22.3074549,113.9180633,n88,Gate,,,,
Gate_02_218,89,22.3068026,113.9183315,n89,Gate,,,,
Parking_02_001,90,22.3057538,113.9149354,n90,Park,,,,
Parking_02_002,91,22.3063667,113.9147047,n91,Park,,,,
Parking_02_003,92,22.3070317,113.9143829,n92,Park,,,,
Parking_02_004,93,22.3077786,113.9141093,n93,Park,,,,
Parking_02_005,94,22.3085156,113.913833,n94,Park,,,,
Parking_02_006,95,22.309365,113.9136372,n95,Park,,,,
Parking_02_007,96,22.3099869,113.9133637,n96,Park,,,,
Parking_02_008,97,22.3105822,113.9131081,n97,Park,,,,
Parking_02_009,98,22.3112254,113.9128927,n98,Park,,,,
Parking_02_010,99,22.3118483,113.9126486,n99,Park,,,,
Parking_02_011,100,22.3057839,113.9138385,n100,Park,,,,
Parking_02_012,101,22.3064565,113.9135903,n101,Park,,,,
Parking_02_013,102,22.3071398,113.9133489,n102,Park,,,,
Parking_02_014,103,22.3078297,113.9130592,n103,Park,,,,
Parking_02_015,104,22.3085071,113.9128366,n104,Park,,,,
Parking_02_016,105,22.3093161,113.9125362,n105,Park,,,,
Parking_02_017,106,22.3099676,113.9121761,n106,Park,,,,
Parking_02_018,107,22.310712,113.912042,n107,Park,,,,
Parking_02_019,108,22.3114512,113.9116409,n108,Park,,,,
Txy_W2_W,109,22.3084989,113.9230927,n109,Txy,,,,
Txy_W2_001,110,22.3092961,113.9237716,n110,Txy,,,,
Txy_W2_002,111,22.3098867,113.9240881,n111,Txy,,,,
Txy_W2_003,112,22.3105221,113.9243922,n112,Txy,,,,
Txy_W2_004,113,22.3111176,113.9247194,n113,Txy,,,,
Txy_W2_005,114,22.3117371,113.925037,n114,Txy,,,,
Txy_W1_W2,115,22.3122681,113.925139,n115,Txy,,,,
Txy_W1_001,116,22.3127839,113.9243139,n116,Txy,,,,
Txy_W1_002,117,22.3130717,113.9236702,n117,Txy,,,,
Txy_W1_003,118,22.3133695,113.9230157,n118,Txy,,,,
Txy_W1_W,119,22.3142933,113.9209334,n119,Txy,,,,
Txy_W_B,120,22.3153951,113.9205096,n120,Txy,,,,
Txy_W_A,121,22.3162586,113.9202154,n121,Txy,,,,
Txy_B_001,122,22.3158367,113.9218569,n122,Txy,,,,
Txy_B7_B,123,22.3166556,113.9244211,n123,Txy,,,,
Txy_B7_001,124,22.3160203,113.9251721,n124,Txy,,,,
Txy_B7_002,125,22.3156283,113.9260304,n125,Txy,,,,
Txy_B7_003,126,22.3152759,113.9267707,n126,Txy,,,,
Txy_B7_004,127,22.3148839,113.927688,n127,Txy,,,,
Txy_B7_005,128,22.3149832,113.9282781,n128,Txy,,,,
Txy_B7_B8,129,22.3153256,113.9294315,n129,Txy,,,,
Txy_B8_001,130,22.3163876,113.9290452,n130,Txy,,,,
Txy_B8_002,131,22.3170029,113.9288137,n131,Txy,,,,
Txy_B8_B,132,22.3179607,113.9284543,n132,Txy,,,,
Txy_B7_006,133,22.3156691,113.9303966,n133,Txy,,,,
Txy_B7_007,134,22.3158924,113.9311316,n134,Txy,,,,
Txy_B7_008,135,22.3163242,113.9318075,n135,Txy,,,,
Txy_B7_009,136,22.317138,113.9317699,n136,Txy,,,,
Txy_B7_010,137,22.317798,113.9315285,n137,Txy,,,,
Txy_B9_B,138,22.3188385,113.931131,n138,Txy,,,,
Txy_B9_A,139,22.3196737,113.9308258,n139,Txy,,,,
Txy_A10_A,140,22.3188003,113.928149,n140,Txy,,,,
Txy_H_W,141,22.3072288,113.923561,n141,Txy,,,,
Txy_J8_H,142,22.3085836,113.9277667,n142,Txy,,,,
Txy_H7_001,143,22.3094373,113.9277237,n143,Txy,,,,
Txy_H7_002,144,22.3100874,113.9280671,n144,Txy,,,,
Txy_H7_003,145,22.3106978,113.9283943,n145,Txy,,,,
Txy_H7_004,146,22.3113281,113.9287215,n146,Txy,,,,
Txy_H7_005,147,22.3118839,113.9293706,n147,Txy,,,,
Txy_H7_H8,148,22.312276,113.9306313,n148,Txy,,,,
Txy_H7_006,149,22.3126184,113.9316183,n149,Txy,,,,
Txy_H7_007,150,22.3128368,113.9323103,n150,Txy,,,,
Txy_H7_008,151,22.3128814,113.9330721,n151,Txy,,,,
Txy_H7_009,152,22.3122352,113.9335791,n152,Txy,,,,
Txy_H7_010,153,22.3112973,113.9339385,n153,Txy,,,,
Txy_J_001,154,22.3100665,113.9342068,n154,Txy,,,,
Txy_H8_001,155,22.3113816,113.9310106,n155,Txy,,,,
Txy_H8_002,156,22.310667,113.9312842,n156,Txy,,,,
Txy_J10_H,157,22.3095106,113.9309704,n157,Txy,,,,
Txy_H8_H,158,22.3097489,113.9316516,n158,Txy,,,,
Txy_J11_J,159,22.3090031,113.9320203,n159,Txy,,,,
Txy_J10_J,160,22.3087202,113.931103,n160,Txy,,,,
Txy_A8_A,161,22.3174633,113.9239927,n161,Txy,,,,
Txy_A_001,162,22.3103485,113.9018655,n162,Txy,,,,
Txy_A_002,163,22.3117456,113.9062214,n163,Txy,,,,
Txy_A_003,164,22.313155,113.9105827,n164,Txy,,,,
Txy_A_004,165,22.3170225,113.9225774,n165,Txy,,,,
Txy_A_005,166,22.3183723,113.9268207,n166,Txy,,,,
Txy_A9_001,167,22.3190946,113.9266685,n167,Txy,,,,
Txy_A8_001,168,22.3177249,113.9222858,n168,Txy,,,,
Txy_A7_001,169,22.3163503,113.9178977,n169,Txy,,,,
Txy_A6_001,170,22.3138987,113.9103124,n170,Txy,,,,
Txy_A5_001,171,22.3125209,113.9060108,n171,Txy,,,,
Txy_A4_001,172,22.3111263,113.9016939,n172,Txy,,,,
Txy_A1_A,173,22.3088561,113.8970914,n173,Txy,,,,
Txy_A2_A,174,22.3091141,113.8980248,n174,Txy,,,,
Txy_A1_B,175,22.3081166,113.8974991,n175,Txy,,,,
Txy_A2_B,176,22.3083052,113.8984754,n176,Txy,,,,
Txy_A3_A,177,22.3097742,113.9001231,n177,Txy,,,,
Txy_A4_B,178,22.3089535,113.9004379,n178,Txy,,,,
Txy_N_B,179,22.3101106,113.9040891,n179,Txy,,,,
Txy_A5_A,180,22.3113438,113.9049581,n180,Txy,,,,
Txy_A5_B,181,22.3104803,113.9052424,n181,Txy,,,,
Txy_A6_A,182,22.3129071,113.9098183,n182,Txy,,,,
Txy_A6_B,183,22.3120734,113.9101402,n183,Txy,,,,
Txy_B_T,184,22.3131765,113.9135395,n184,Txy,,,,
Txy_A_T,185,22.3140152,113.9132391,n185,Txy,,,,
Txy_T_001,186,22.3119457,113.9139955,n186,Txy,,,,
Txy_T_002,187,22.310775,113.91443,n187,Txy,,,,
Txy_T_003,188,22.3100305,113.914709,n188,Txy,,,,
Txy_T_004,189,22.3082191,113.9153795,n189,Txy,,,,
Txy_T_005,190,22.3070826,113.9158033,n190,Txy,,,,
Txy_T_006,191,22.3060652,113.9161896,n191,Txy,,,,
Txy_H_T,192,22.3049882,113.9165758,n192,Txy,,,,
Txy_A_006,193,22.3143066,113.9141641,n193,Txy,,,,
Txy_B_002,194,22.313453,113.9144591,n194,Txy,,,,
Ramp_01_001,195,22.312515,113.9148025,n195,Ramp,,,,
Ramp_01_002,196,22.3119203,113.9150322,n196,Ramp,,,,
Ramp_01_003,197,22.3112783,113.9152683,n197,Ramp,,,,
Ramp_01_004,198,22.3103304,113.9156169,n198,Ramp,,,,
Ramp_01_005,199,22.3084517,113.9163086,n199,Ramp,,,,
Ramp_01_006,200,22.3077569,113.9165607,n200,Ramp,,,,
Ramp_01_007,201,22.307077,113.916829,n201,Ramp,,,,
Ramp_01_008,202,22.3063623,113.9170972,n202,Ramp,,,,
Txy_H_001,203,22.3052745,113.9174888,n203,Txy,,,,
Txy_A_V,204,22.3156902,113.9183999,n204,Txy,,,,
Txy_B_V,205,22.3148366,113.9187539,n205,Txy,,,,
Txy_U_A,206,22.3154023,113.9175698,n206,Txy,,,,
