n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_02_001,235,22.3107125,113.910653,Parking_02_019,108,22.3114512,113.9116409
Ramp_02_001,235,22.3107125,113.910653,Parking_02_018,107,22.310712,113.912042
Ramp_02_002,236,22.3092733,113.9111894,Parking_02_017,106,22.3099676,113.9121761
Ramp_02_002,236,22.3092733,113.9111894,Parking_02_016,105,22.3093161,113.9125362
Ramp_02_003,237,22.3077447,113.9117581,Parking_02_015,104,22.3085071,113.9128366
Ramp_02_003,237,22.3077447,113.9117581,Parking_02_014,103,22.3078297,113.9130592
Ramp_02_004,238,22.3064146,113.9122409,Parking_02_013,102,22.3071398,113.9133489
Ramp_02_004,238,22.3064146,113.9122409,Parking_02_012,101,22.3064565,113.9135903
Ramp_02_005,239,22.3053923,113.9126325,Parking_02_011,100,22.3057839,113.9138385
Txy_A6_B,183,22.3120734,113.9101402,Ramp_02_001,235,22.3107125,113.910653
Ramp_02_001,235,22.3107125,113.910653,Ramp_02_002,236,22.3092733,113.9111894
Ramp_02_002,236,22.3092733,113.9111894,Ramp_02_003,237,22.3077447,113.9117581
Ramp_02_004,238,22.3064146,113.9122409,Ramp_02_003,237,22.3077447,113.9117581
Ramp_02_004,238,22.3064146,113.9122409,Ramp_02_005,239,22.3053923,113.9126325
Txy_H_001,240,22.3038874,113.9131935,Ramp_02_005,239,22.3053923,113.9126325
Txy_A6_B,183,22.3120734,113.9101402,Txy_B_T,184,22.3131765,113.9135395
Txy_B_T,184,22.3131765,113.9135395,Txy_T_001,186,22.3119457,113.9139955
Txy_T_001,186,22.3119457,113.9139955,Txy_T_002,187,22.310775,113.91443
Txy_T_003,188,22.3100305,113.914709,Txy_T_002,187,22.310775,113.91443
Txy_T_003,188,22.3100305,113.914709,Txy_T_004,189,22.3082191,113.9153795
Txy_T_005,190,22.3070826,113.9158033,Txy_T_004,189,22.3082191,113.9153795
Txy_T_005,190,22.3070826,113.9158033,Txy_T_006,191,22.3060652,113.9161896
Txy_H_T,192,22.3049882,113.9165758,Txy_T_006,191,22.3060652,113.9161896
Txy_T_001,186,22.3119457,113.9139955,Parking_02_010,99,22.3118483,113.9126486
Txy_T_001,186,22.3119457,113.9139955,Parking_02_009,98,22.3112254,113.9128927
Txy_T_002,187,22.310775,113.91443,Parking_02_008,97,22.3105822,113.9131081
Txy_T_002,187,22.310775,113.91443,Parking_02_007,96,22.3099869,113.9133637
Txy_T_003,188,22.3100305,113.914709,Parking_02_006,95,22.309365,113.9136372
Txy_T_004,189,22.3082191,113.9153795,Parking_02_005,94,22.3085156,113.913833
Txy_T_004,189,22.3082191,113.9153795,Parking_02_004,93,22.3077786,113.9141093
Txy_T_004,189,22.3082191,113.9153795,Parking_02_003,92,22.3070317,113.9143829
Txy_T_006,191,22.3060652,113.9161896,Parking_02_001,90,22.3057538,113.9149354
Txy_T_005,190,22.3070826,113.9158033,Parking_02_002,91,22.3063667,113.9147047
Txy_H_001,240,22.3038874,113.9131935,Txy_J6_H,234,22.3042867,113.9144996
Txy_J6_H,234,22.3042867,113.9144996,Txy_H_T,192,22.3049882,113.9165758
Txy_N_H,247,22.301923,113.9071105,Txy_H_001,240,22.3038874,113.9131935
Txy_N_H,247,22.301923,113.9071105,Txy_J_005,246,22.3009771,113.9070664
Txy_J_005,246,22.3009771,113.9070664,Txy_J5_J,241,22.3016075,113.9090458
Txy_J5_J,241,22.3016075,113.9090458,Txy_J_004,243,22.3020343,113.9103977
Txy_J_004,243,22.3020343,113.9103977,Txy_J6_J,233,22.3034628,113.9147785
Txy_J6_J,233,22.3034628,113.9147785,Txy_J6_H,234,22.3042867,113.9144996
Txy_J6_J,233,22.3034628,113.9147785,Txy_J_003,232,22.3041378,113.9168921
Txy_H_T,192,22.3049882,113.9165758,Txy_J_003,232,22.3041378,113.9168921
Txy_J5_J,241,22.3016075,113.9090458,Txy_J5_001,242,22.3013047,113.9106498
Txy_J_004,243,22.3020343,113.9103977,Txy_J5_001,242,22.3013047,113.9106498
Txy_J_005,246,22.3009771,113.9070664,Txy_J4_001,244,22.3001483,113.9068786
Txy_J_005,246,22.3009771,113.9070664,Txy_J4_J,245,22.3004163,113.9053873
Txy_J4_J,245,22.3004163,113.9053873,Txy_J4_001,244,22.3001483,113.9068786
Txy_N_H,247,22.301923,113.9071105,Txy_H3_H,248,22.3007617,113.9034967
Txy_H3_H,248,22.3007617,113.9034967,Txy_H3_J,249,22.2999229,113.9037864
Txy_H3_J,249,22.2999229,113.9037864,Txy_J4_J,245,22.3004163,113.9053873
Txy_H3_H,248,22.3007617,113.9034967,Txy_J3_H,250,22.3002157,113.9018123
Txy_J3_J,251,22.2993918,113.9021181,Txy_H3_J,249,22.2999229,113.9037864
Txy_J3_H,250,22.3002157,113.9018123,Txy_J3_J,251,22.2993918,113.9021181
Txy_J3_J,251,22.2993918,113.9021181,Txy_G1_J,257,22.2987109,113.9000195
Txy_G1_H,256,22.2995497,113.8997298,Txy_J3_H,250,22.3002157,113.9018123
Txy_G1_H,256,22.2995497,113.8997298,Txy_G1_J,257,22.2987109,113.9000195
Txy_G1_H,256,22.2995497,113.8997298,Txy_J2_H,253,22.299104,113.8983576
Txy_J2_H,253,22.299104,113.8983576,Txy_J2_J,252,22.2982304,113.8985829
Txy_G1_J,257,22.2987109,113.9000195,Txy_J2_J,252,22.2982304,113.8985829
Txy_J1_H,255,22.2987416,113.8973652,Txy_J2_H,253,22.299104,113.8983576
Txy_J1_H,255,22.2987416,113.8973652,Txy_J1_J,254,22.2978731,113.8974939
Txy_J1_J,254,22.2978731,113.8974939,Txy_J2_J,252,22.2982304,113.8985829
Txy_H_T,192,22.3049882,113.9165758,Txy_H_001,240,22.3038874,113.9131935
Txy_H_001,240,22.3038874,113.9131935,Txy_J_002,231,22.3044157,113.9178148
Txy_J_002,231,22.3044157,113.9178148,Txy_J_003,232,22.3041378,113.9168921
Txy_H_001,240,22.3038874,113.9131935,Txy_H6_H,230,22.3062286,113.9204416
Txy_H6_H,230,22.3062286,113.9204416,Txy_H6_J,229,22.3048886,113.9191863
Txy_J_002,231,22.3044157,113.9178148,Txy_H6_J,229,22.3048886,113.9191863
Txy_H6_J,229,22.3048886,113.9191863,Txy_J_001,228,22.3053452,113.9206776
Txy_H6_H,230,22.3062286,113.9204416,Txy_H_V,221,22.3066819,113.9217667
Txy_J_001,228,22.3053452,113.9206776,Txy_J7_J,226,22.305824,113.9221115
Txy_H_V,221,22.3066819,113.9217667,Txy_J7_J,226,22.305824,113.9221115
Txy_J7_J,226,22.305824,113.9221115,Txy_J7_001,227,22.3046405,113.9209244
Txy_J_001,228,22.3053452,113.9206776,Txy_J7_001,227,22.3046405,113.9209244
Txy_H_V,221,22.3066819,113.9217667,Txy_H_W,141,22.3072288,113.923561
Txy_J7_J,226,22.305824,113.9221115,Txy_J8_W,225,22.3063898,113.9238711
Txy_J8_W,225,22.3063898,113.9238711,Txy_H_W,141,22.3072288,113.923561
Txy_J8_W,225,22.3063898,113.9238711,Txy_J8_001,224,22.3056255,113.9240213
Txy_J8_W,225,22.3063898,113.9238711,Txy_J8_J,223,22.3067769,113.9251049
Txy_J8_001,224,22.3056255,113.9240213,Txy_J8_J,223,22.3067769,113.9251049
Txy_H_W,141,22.3072288,113.923561,Txy_J8_H,142,22.3085836,113.9277667
Txy_J8_J,223,22.3067769,113.9251049,Txy_J9_J,222,22.307744,113.9280752
Txy_J8_J,223,22.3067769,113.9251049,Txy_J9_J,222,22.307744,113.9280752
Txy_J9_J,222,22.307744,113.9280752,Txy_J10_J,160,22.3087202,113.931103
Txy_J8_H,142,22.3085836,113.9277667,Txy_J10_H,157,22.3095106,113.9309704
Txy_J10_H,157,22.3095106,113.9309704,Txy_J10_J,160,22.3087202,113.931103
Txy_J10_H,157,22.3095106,113.9309704,Txy_H8_H,158,22.3097489,113.9316516
Txy_H8_H,158,22.3097489,113.9316516,Txy_J11_J,159,22.3090031,113.9320203
Txy_J11_J,159,22.3090031,113.9320203,Txy_J10_J,160,22.3087202,113.931103
Txy_J11_J,159,22.3090031,113.9320203,Txy_J_001,228,22.3053452,113.9206776
Txy_K1_K,259,22.2948777,113.8989512,Txy_K2_K,260,22.2962662,113.9038423
