id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,35.5491435,139.7613633,n0,Rwy,RW04,Entry,RW22,End
Ramp_01_011,1,35.559852,139.784621,n1,Ramp,,,,
Ramp_01_012,2,35.5604717,139.7842026,n2,Ramp,,,,
Rwy_01_002,3,35.5499116,139.7620607,n3,Rwy,,,,
Rwy_01_003,4,35.5517098,139.7635734,n4,Rwy,,,,
Rwy_01_004,5,35.5535254,139.7651506,n5,Rwy,,,,
Rwy_01_005,6,35.5554632,139.7668028,n6,Rwy,,,,
Rwy_01_006,7,35.5568772,139.7680366,n7,Rwy,,,,
Rwy_01_02,8,35.558937,139.7697747,n8,Rwy,,,,
Rwy_01_007,9,35.5605779,139.7712016,n9,Rwy,,,,
Rwy_01_008,10,35.5613983,139.7718561,n10,Rwy,,,,
Rwy_01_009,11,35.5635562,139.7737666,n11,Rwy,,,,
Rwy_01_010,12,35.5672915,139.7769745,n12,Rwy,RW22,Entry,RW04,End
Rwy_02_001,13,35.5367347,139.7855603,n13,Rwy,RW34L,Entry,RW16R,End
Rwy_02_002,14,35.5405788,139.7828483,n14,Rwy,,,,
Rwy_02_003,15,35.5413558,139.7822582,n15,Rwy,,,,
Rwy_02_004,16,35.5447604,139.7798657,n16,Rwy,,,,
Rwy_02_005,17,35.5466984,139.7785139,n17,Rwy,,,,
Rwy_02_006,18,35.5482645,139.7773079,n18,Rwy,,,,
Rwy_02_007,19,35.5514157,139.7751299,n19,Rwy,,,,
Rwy_02_008,20,35.5521315,139.7746471,n20,Rwy,,,,
Rwy_02_009,21,35.5530895,139.7739417,n21,Rwy,,,,
Rwy_02_010,22,35.5551494,139.7724718,n22,Rwy,,,,
Rwy_02_011,23,35.5564238,139.7716242,n23,Rwy,,,,
Rwy_02_012,24,35.557253,139.7710127,n24,Rwy,,,,
Rwy_02_013,25,35.5599849,139.7690815,n25,Rwy,RW16R,Entry,RW34L,End
Gate_01_024,26,35.5527413,139.781922,n26,Gate,,,,
Gate_01_023,27,35.552342,139.7813668,n27,Gate,,,,
Gate_01_022,28,35.552072,139.7808605,n28,Gate,,,,
Gate_01_021,29,35.5519433,139.7802651,n29,Gate,,,,
Gate_01_020,30,35.5516858,139.7800452,n30,Gate,,,,
Gate_01_019,31,35.551341,139.7802758,n31,Gate,,,,
Gate_01_018,32,35.5509656,139.7807774,n32,Gate,,,,
Gate_01_017,33,35.5508216,139.7812736,n33,Gate,,,,
Gate_01_016,34,35.5503328,139.7820756,n34,Gate,,,,
Gate_01_015,35,35.5497043,139.7825021,n35,Gate,,,,
Gate_01_014,36,35.5488532,139.7826737,n36,Gate,,,,
Gate_01_013,37,35.5484407,139.7825557,n37,Gate,,,,
Gate_01_012,38,35.5479279,139.7828293,n38,Gate,,,,
Gate_01_011,39,35.5478465,139.7833904,n39,Gate,,,,
Gate_01_010,40,35.5473162,139.7842249,n40,Gate,,,,
Gate_01_009,41,35.5467117,139.7846755,n41,Gate,,,,
Gate_01_008,42,35.5459042,139.7849625,n42,Gate,,,,
Gate_01_007,43,35.5453674,139.7848016,n43,Gate,,,,
Gate_01_006,44,35.5449222,139.7848498,n44,Gate,,,,
Gate_01_005,45,35.5446472,139.7852683,n45,Gate,,,,
Gate_01_004,46,35.5448261,139.7857511,n46,Gate,,,,
Gate_01_003,47,35.5451349,139.7863856,n47,Gate,,,,
Gate_01_002,48,35.5454438,139.7870684,n48,Gate,,,,
Gate_01_001,49,35.5457515,139.7876639,n49,Gate,,,,
Gate_02_073,50,35.5476765,139.7912799,n50,Gate,,,,
Gate_02_072,51,35.5479711,139.7919915,n51,Gate,,,,
Gate_02_071,52,35.5482395,139.7927211,n52,Gate,,,,
Gate_02_070,53,35.5484217,139.7932515,n53,Gate,,,,
Gate_02_069,54,35.5487057,139.7938003,n54,Gate,,,,
Gate_02_068,55,35.549703,139.7930627,n55,Gate,,,,
Gate_02_067,56,35.5493626,139.7924995,n56,Gate,,,,
Gate_02_066,57,35.5492054,139.7914856,n57,Gate,,,,
Gate_02_065,58,35.5498514,139.7904556,n58,Gate,,,,
Gate_02_064,59,35.5503969,139.7901042,n59,Gate,,,,
Gate_02_063,60,35.5509665,139.7897448,n60,Gate,,,,
Gate_02_062,61,35.5514903,139.7893371,n61,Gate,,,,
Gate_02_061,62,35.5520741,139.7890119,n62,Gate,,,,
Gate_02_060,63,35.5526,139.7885747,n63,Gate,,,,
Gate_02_065,64,35.5531433,139.7882045,n64,Gate,,,,
Gate_02_058,65,35.554134,139.7876922,n65,Gate,,,,
Gate_02_057,66,35.5547778,139.7886739,n66,Gate,,,,
Gate_02_056,67,35.5550593,139.7892989,n67,Gate,,,,
Gate_02_055,68,35.5559607,139.7886609,n68,Gate,,,,
Gate_02_054,69,35.5557708,139.7880306,n69,Gate,,,,
Gate_02_053,70,35.5553388,139.7875116,n70,Gate,,,,
Gate_02_052,71,35.5550877,139.7867867,n71,Gate,,,,
Gate_02_051,72,35.5548586,139.7861295,n72,Gate,,,,
Gate_01_031,73,35.5536581,139.7800915,n73,Gate,,,,
Gate_01_032,74,35.5540465,139.7797991,n74,Gate,,,,
Gate_01_033,75,35.5545866,139.7794102,n75,Gate,,,,
Gate_01_034,76,35.5551299,139.7790231,n76,Gate,,,,
Gate_01_035,77,35.5556667,139.7786235,n77,Gate,,,,
Gate_01_036,78,35.556222,139.7782533,n78,Gate,,,,
Gate_01_037,79,35.5567763,139.7778805,n79,Gate,,,,
Gate_01_038,80,35.5573239,139.7774862,n80,Gate,,,,
Gate_01_039,81,35.5578462,139.7770708,n81,Gate,,,,
Gate_01_040,82,35.5583867,139.7766797,n82,Gate,,,,
Gate_01_041,83,35.5589136,139.7762311,n83,Gate,,,,
Parking_01_509,84,35.5574807,139.7877381,n84,Park,,,,
Parking_01_508,85,35.558028,139.7873653,n85,Park,,,,
Parking_01_507,86,35.5585653,139.7869505,n86,Park,,,,
Parking_01_506,87,35.5590999,139.7865388,n87,Park,,,,
Parking_01_505,88,35.5596007,139.7861731,n88,Park,,,,
Parking_01_504,89,35.560982,139.7852091,n89,Park,,,,
Parking_01_503,90,35.5615264,139.7848296,n90,Park,,,,
Parking_01_502,91,35.5620654,139.7844259,n91,Park,,,,
Parking_01_501,92,35.5625754,139.7840718,n92,Park,,,,
Parking_01_401,93,35.5614088,139.78188,n93,Park,,,,
Parking_01_402,94,35.5608628,139.7822904,n94,Park,,,,
Parking_01_403,95,35.5603293,139.7826686,n95,Park,,,,
Parking_01_404,96,35.5597827,139.7830696,n96,Park,,,,
Parking_01_405,97,35.5592241,139.7834518,n97,Park,,,,
Parking_01_406,98,35.5587877,139.7842659,n98,Park,,,,
Parking_01_407,99,35.5582215,139.7846239,n99,Park,,,,
Parking_01_408,100,35.5576895,139.785045,n100,Park,,,,
Gate_V_001,101,35.5563644,139.7854875,n101,Gate,,,,
Gate_V_002,102,35.5569448,139.7850647,n102,Gate,,,,
Rwy_03_001,103,35.5398282,139.8050352,n103,Rwy,RW34R,Entry,RW16L,End
Rwy_03_002,104,35.542517,139.8031147,n104,Rwy,,,,
Rwy_03_003,105,35.5434162,139.8024817,n105,Rwy,,,,
Rwy_03_004,106,35.5464999,139.8003145,n106,Rwy,,,,
Rwy_03_005,107,35.5483909,139.7989829,n107,Rwy,,,,
Rwy_03_006,108,35.5508438,139.7972341,n108,Rwy,,,,
Rwy_03_007,109,35.5533053,139.7954638,n109,Rwy,,,,
Rwy_03_008,110,35.5547193,139.7944767,n110,Rwy,,,,
Rwy_03_009,111,35.5566396,139.7930927,n111,Rwy,,,,
Rwy_03_010,112,35.5600959,139.7906251,n112,Rwy,,,,
Rwy_03_011,113,35.5620248,139.7892733,n113,Rwy,,,,
Rwy_03_012,114,35.5649398,139.7871919,n114,Rwy,,,,
Rwy_03_013,115,35.5657479,139.7866734,n115,Rwy,RW16L,Entry,RW34R,End
Rwy_04_001,116,35.5241707,139.8036041,n116,Rwy,RW05,Entry,RW23,End
Rwy_04_002,117,35.5247994,139.8043551,n117,Rwy,,,,
Rwy_04_003,118,35.5277011,139.8076489,n118,Rwy,,,,
Rwy_04_004,119,35.5300062,139.8102023,n119,Rwy,,,,
Rwy_04_005,120,35.537279,139.8183777,n120,Rwy,,,,
Rwy_04_006,121,35.5404082,139.8218886,n121,Rwy,RW23,Entry,RW05,End
Txy_A1_A,122,35.537615,139.7874688,n122,Txy,,,,
Txy_A2_A,123,35.5414977,139.7847372,n123,Txy,,,,
Txy_A3_A,124,35.5422878,139.7841686,n124,Txy,,,,
Txy_A3_001,125,35.5419386,139.783439,n125,Txy,,,,
Txy_A4_001,126,35.5453514,139.7810654,n126,Txy,,,,
Txy_A4_A,127,35.5456788,139.7817735,n127,Txy,,,,
Txy_W4_W,128,35.5461109,139.7827365,n128,Txy,,,,
Txy_H_W,129,35.542727,139.785145,n129,Txy,,,,
Txy_G_W,130,35.5419501,139.7856814,n130,Txy,,,,
Txy_W1_W,131,35.5380674,139.7884899,n131,Txy,,,,
Txy_A7_A,132,35.5530628,139.7765321,n132,Txy,,,,
Txy_A6_A,133,35.5534338,139.7762478,n133,Txy,,,,
Txy_A6_001,134,35.5516487,139.7762961,n134,Txy,,,,
Txy_A6B_A,135,35.5521201,139.7771866,n135,Txy,,,,
Txy_A8_A,136,35.5562706,139.7742737,n136,Txy,,,,
Txy_A9_A,137,35.5572736,139.7735227,n137,Txy,,,,
Txy_A9B_A,138,35.5559993,139.7744346,n138,Txy,,,,
Txy_A9_W,139,35.5564658,139.7753742,n139,Txy,,,,
Txy_A7_W,140,35.5535079,139.7774555,n140,Txy,,,,
Txy_A6_W,141,35.5525739,139.7781368,n141,Txy,,,,
Txy_A10_A,142,35.5580051,139.7730234,n142,Txy,,,,
Txy_A11_A,143,35.5588561,139.7724065,n143,Txy,,,,
Txy_T8_U,144,35.5620636,139.7701213,n144,Txy,,,,
Txy_U_001,145,35.5604882,139.7685525,n145,Txy,,,,
Txy_A8_A9,146,35.555588,139.7735079,n146,Txy,,,,
Txy_A_001,147,35.5482277,139.7799492,n147,Txy,,,,
Txy_L2_L,148,35.5397097,139.780971,n148,Txy,,,,
Txy_L3_L,149,35.5404692,139.7803487,n149,Txy,,,,
Txy_P2_P,150,35.5393954,139.7800268,n150,Txy,,,,
Txy_P3_P,151,35.5400676,139.7793724,n151,Txy,,,,
Txy_L4_L,152,35.5438477,139.7779562,n152,Txy,,,,
Txy_P4_P,153,35.5446373,139.7761074,n153,Txy,,,,
Txy_P4_L,154,35.5450564,139.7771105,n154,Txy,,,,
Txy_L6_L,155,35.5502134,139.7734631,n155,Txy,,,,
Txy_L6_001,156,35.5492358,139.7755069,n156,Txy,,,,
Txy_L6B_L,157,35.548939,139.7743536,n157,Txy,,,,
Txy_L7_L,158,35.5512749,139.7727269,n158,Txy,,,,
Txy_L8B_L,159,35.5525668,139.771772,n159,Txy,,,,
Txy_L8_001,160,35.5529247,139.7729468,n160,Txy,,,,
Txy_L8_L,161,35.553444,139.7711658,n161,Txy,,,,
Txy_L9_L,162,35.5556,139.7696128,n162,Txy,,,,
Txy_L10_L,163,35.5546704,139.7702619,n163,Txy,,,,
Txy_P_001,164,35.5457128,139.7753579,n164,Txy,,,,
Txy_P_002,165,35.547568,139.7740464,n165,Txy,,,,
Txy_P_003,166,35.5484802,139.7733759,n166,Txy,,,,
Txy_P_004,167,35.5515004,139.7712516,n167,Txy,,,,
Txy_P_M,168,35.5529669,139.7701894,n168,Txy,,,,
Txy_P_B,169,35.5548348,139.7689556,n169,Txy,,,,
Txy_L9_L10,170,35.5554221,139.7708225,n170,Txy,,,,
Txy_W_J,171,35.5586902,139.7738707,n171,Txy,,,,
Txy_W_K,172,35.5596677,139.7731143,n172,Txy,,,,
Txy_W_001,173,35.54865,139.7809198,n173,Txy,,,,
Txy_D1_D,174,35.5253238,139.8019483,n174,Txy,,,,
Txy_D2_D,175,35.5259787,139.8027101,n175,Txy,,,,
Txy_D3_D,176,35.5269916,139.8038152,n176,Txy,,,,
Txy_D3_001,177,35.5268082,139.8046949,n177,Txy,,,,
Txy_D4_D,178,35.5289387,139.8059985,n178,Txy,,,,
Txy_D5_001,179,35.528895,139.8071465,n179,Txy,,,,
Txy_D6_D,180,35.5385251,139.8167596,n180,Txy,,,,
Txy_D7_D,181,35.5415196,139.8203966,n181,Txy,,,,
Txy_E_S,182,35.5303833,139.8062411,n182,Txy,,,,
Txy_E_D,183,35.5297634,139.8069171,n183,Txy,,,,
Txy_Y_S,184,35.5297459,139.8054154,n184,Txy,,,,
Txy_S3_S,185,35.5276269,139.803056,n185,Txy,,,,
Txy_S2_S,186,35.5266131,139.8019391,n186,Txy,,,,
Txy_S1_S,187,35.5259364,139.801349,n187,Txy,,,,
Txy_C1_C,188,35.5389149,139.8031487,n188,Txy,,,,
Txy_E1_E,189,35.5384435,139.8021617,n189,Txy,,,,
Txy_E2_E,190,35.5412502,139.8001768,n190,Txy,,,,
Txy_C2_C,191,35.5417129,139.8011478,n191,Txy,,,,
Txy_C3_C,192,35.5424942,139.8005899,n192,Txy,,,,
Txy_E3_E,193,35.5420316,139.7996243,n193,Txy,,,,
Txy_C4_C4B,194,35.5460048,139.7991629,n194,Txy,,,,
Txy_C4_C,195,35.5456164,139.7983797,n195,Txy,,,,
Txy_E4_E,196,35.5451947,139.7974177,n196,Txy,,,,
Txy_C5_C5B,197,35.5486411,139.7974712,n197,Txy,,,,
Txy_H_C,198,35.5481566,139.7965861,n198,Txy,,,,
Txy_H_E,199,35.5477027,139.7956258,n199,Txy,,,,
Txy_G_C,200,35.547371,139.7971386,n200,Txy,,,,
Txy_G_E,201,35.546917,139.7961891,n201,Txy,,,,
Txy_K_C,202,35.564881,139.784728,n202,Txy,,,,
Txy_K_E,203,35.5644185,139.7837303,n203,Txy,,,,
Txy_J_C,204,35.5641015,139.7852859,n204,Txy,,,,
Txy_J_E,205,35.5636303,139.7842989,n205,Txy,,,,
Txy_C9_C9B,206,35.5615021,139.7881679,n206,Txy,,,,
Txy_C9_C,207,35.5611161,139.7873898,n207,Txy,,,,
Txy_C8_C8B,208,35.5579519,139.790917,n208,Txy,,,,
Txy_C8_C,209,35.5588727,139.7889911,n209,Txy,,,,
Txy_C_001,210,35.5576159,139.7898709,n210,Txy,,,,
Txy_C6_C7,211,35.5539498,139.794761,n211,Txy,,,,
Txy_C6_001,212,35.55206,139.7950238,n212,Txy,,,,
Txy_C7_001,213,35.5551063,139.7927755,n213,Txy,,,,
Txy_C7_C,214,35.5550932,139.7916543,n214,Txy,,,,
Txy_C6_C,215,35.5513617,139.7943043,n215,Txy,,,,
Txy_C_002,216,35.5531773,139.7930215,n216,Txy,,,,
Txy_E7_E,217,35.5546266,139.7906875,n217,Txy,,,,
Txy_E_Z,218,35.5527543,139.7920003,n218,Txy,,,,
Txy_E6_E,219,35.5509125,139.7933521,n219,Txy,,,,
Txy_E_001,220,35.5606443,139.7863831,n220,Txy,,,,
Txy_E_002,221,35.5571562,139.7889178,n221,Txy,,,,
Txy_T1_T,222,35.5505395,139.7589301,n222,Txy,,,,
Txy_T2_T,223,35.5513251,139.7596274,n223,Txy,,,,
Txy_T2_T3,224,35.5505482,139.7610329,n224,Txy,,,,
Txy_T4_T,225,35.552198,139.7603785,n225,Txy,,,,
Txy_T4_001,226,35.5515521,139.7610436,n226,Txy,,,,
Txy_T5_T5B,227,35.5541707,139.764273,n227,Txy,,,,
Txy_T5B_T,228,35.5550348,139.7628246,n228,Txy,,,,
Txy_T5_001,229,35.5535161,139.7627173,n229,Txy,,,,
Txy_T5_T,230,35.5541969,139.7620629,n230,Txy,,,,
Txy_T6_T7,231,35.5574632,139.7671207,n231,Txy,,,,
Txy_T6_T,232,35.5578996,139.7663053,n232,Txy,,,,
Txy_B1_B,233,35.548238,139.7631404,n233,Txy,,,,
Txy_B2_B3,234,35.5493422,139.7630653,n234,Txy,,,,
Txy_B2_B,235,35.548897,139.7638646,n235,Txy,,,,
Txy_B4_001,236,35.5512088,139.7644922,n236,Txy,,,,
