n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,35.5491435,139.7613633,Rwy_01_002,3,35.5499116,139.7620607
Rwy_01_003,4,35.5517098,139.7635734,Rwy_01_002,3,35.5499116,139.7620607
Rwy_01_003,4,35.5517098,139.7635734,Rwy_01_004,5,35.5535254,139.7651506
Rwy_01_005,6,35.5554632,139.7668028,Rwy_01_004,5,35.5535254,139.7651506
Rwy_01_005,6,35.5554632,139.7668028,Rwy_01_006,7,35.5568772,139.7680366
Rwy_01_02,8,35.558937,139.7697747,Rwy_01_006,7,35.5568772,139.7680366
Rwy_01_02,8,35.558937,139.7697747,Rwy_01_007,9,35.5605779,139.7712016
Rwy_01_008,10,35.5613983,139.7718561,Rwy_01_007,9,35.5605779,139.7712016
Rwy_01_008,10,35.5613983,139.7718561,Rwy_01_009,11,35.5635562,139.7737666
Rwy_01_009,11,35.5635562,139.7737666,Rwy_01_010,12,35.5672915,139.7769745
Rwy_02_001,13,35.5367347,139.7855603,Rwy_02_002,14,35.5405788,139.7828483
Rwy_02_003,15,35.5413558,139.7822582,Rwy_02_002,14,35.5405788,139.7828483
Rwy_02_004,16,35.5447604,139.7798657,Rwy_02_003,15,35.5413558,139.7822582
Rwy_02_005,17,35.5466984,139.7785139,Rwy_02_004,16,35.5447604,139.7798657
Rwy_02_006,18,35.5482645,139.7773079,Rwy_02_005,17,35.5466984,139.7785139
Rwy_02_007,19,35.5514157,139.7751299,Rwy_02_006,18,35.5482645,139.7773079
Rwy_02_008,20,35.5521315,139.7746471,Rwy_02_007,19,35.5514157,139.7751299
Rwy_02_009,21,35.5530895,139.7739417,Rwy_02_008,20,35.5521315,139.7746471
Rwy_02_010,22,35.5551494,139.7724718,Rwy_02_009,21,35.5530895,139.7739417
Rwy_02_011,23,35.5564238,139.7716242,Rwy_02_010,22,35.5551494,139.7724718
Rwy_02_012,24,35.557253,139.7710127,Rwy_02_011,23,35.5564238,139.7716242
Rwy_02_012,24,35.557253,139.7710127,Rwy_01_02,8,35.558937,139.7697747
Rwy_01_02,8,35.558937,139.7697747,Rwy_02_013,25,35.5599849,139.7690815
Rwy_03_001,103,35.5398282,139.8050352,Rwy_03_002,104,35.542517,139.8031147
Rwy_03_002,104,35.542517,139.8031147,Rwy_03_003,104,35.5434162,139.8024817
Rwy_03_003,105,35.5434162,139.8024817,Rwy_03_004,106,35.5464999,139.8003145
Rwy_03_004,106,35.5464999,139.8003145,Rwy_03_005,107,35.5483909,139.7989829
Rwy_03_005,107,35.5483909,139.7989829,Rwy_03_006,108,35.5508438,139.7972341
Rwy_03_007,109,35.5533053,139.7954638,Rwy_03_006,108,35.5508438,139.7972341
Rwy_03_008,110,35.5547193,139.7944767,Rwy_03_007,109,35.5533053,139.7954638
Rwy_03_009,111,35.5566396,139.7930927,Rwy_03_008,110,35.5547193,139.7944767
