id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_01_001,0,37.4497084,126.4559493,n0,Gate,,,,
Gate_01_002,1,37.4498085,126.4564669,n1,Gate,,,,
Gate_01_003,2,37.4500831,126.4566765,n2,Gate,,,,
Gate_01_004,3,37.4504979,126.4566904,n3,Gate,,,,
Gate_01_005,4,37.4508155,126.4563777,n4,Gate,,,,
Gate_01_006,5,37.4509392,126.4557832,n5,Gate,,,,
Gate_01_007,6,37.4510542,126.4550376,n6,Gate,,,,
Gate_01_008,7,37.4511352,126.4542452,n7,Gate,,,,
Gate_01_009,8,37.4510373,126.4534244,n8,Gate,,,,
Gate_01_010,9,37.4518254,126.4525313,n9,Gate,,,,
Gate_01_011,10,37.4524918,126.4521557,n10,Gate,,,,
Gate_01_012,11,37.4531275,126.4519454,n11,Gate,,,,
Gate_01_013,12,37.4536485,126.4519732,n12,Gate,,,,
Gate_01_014,13,37.454027,126.4516095,n13,Gate,,,,
Gate_01_015,14,37.4541442,126.45125,n14,Gate,,,,
Gate_01_016,15,37.4538248,126.4507071,n15,Gate,,,,
Gate_01_017,16,37.453655,126.4502278,n16,Gate,,,,
Gate_01_018,17,37.4531679,126.4504006,n17,Gate,,,,
Gate_01_019,18,37.4527586,126.4506659,n18,Gate,,,,
Gate_01_020,19,37.4521075,126.450767,n19,Gate,,,,
Gate_01_021,20,37.4514878,126.451239,n20,Gate,,,,
Gate_01_022,21,37.4505388,126.4507724,n21,Gate,,,,
Gate_01_023,22,37.4501577,126.4500369,n22,Gate,,,,
Gate_01_024,23,37.4497128,126.4493441,n23,Gate,,,,
Gate_01_026,24,37.4497086,126.44807,n24,Gate,,,,
Gate_01_027,25,37.4501858,126.4474188,n25,Gate,,,,
Gate_01_028,26,37.4506611,126.4468218,n26,Gate,,,,
Gate_01_030,27,37.451001,126.4462335,n27,Gate,,,,
Gate_01_031,28,37.4513224,126.4457602,n28,Gate,,,,
Gate_01_032,29,37.4509276,126.4452885,n29,Gate,,,,
Gate_01_033,30,37.4506197,126.4448406,n30,Gate,,,,
Gate_01_034,31,37.4500554,126.4449827,n31,Gate,,,,
Gate_01_035,32,37.4497872,126.4451732,n32,Gate,,,,
Gate_01_036,33,37.4497042,126.4458545,n33,Gate,,,,
Gate_01_037,34,37.4493571,126.4465465,n34,Gate,,,,
Gate_01_038,35,37.4489462,126.4473401,n35,Gate,,,,
Gate_01_039,36,37.447959,126.4477234,n36,Gate,,,,
Gate_01_040,37,37.447348,126.4474686,n37,Gate,,,,
Gate_01_041,38,37.44674,126.4472888,n38,Gate,,,,
Gate_01_042,39,37.4460997,126.4472271,n39,Gate,,,,
Gate_01_043,40,37.4455812,126.4471947,n40,Gate,,,,
Gate_01_044,41,37.4452256,126.4476105,n41,Gate,,,,
Gate_01_045,42,37.4452046,126.4481171,n42,Gate,,,,
Gate_01_046,43,37.4455922,126.4487447,n43,Gate,,,,
Txy_R6_001,44,37.4425284,126.4482971,n44,Txy,,,,
Txy_R6_M5,45,37.4457312,126.4455613,n45,Txy,,,,
Txy_R6_M6,46,37.4464978,126.4448854,n46,Txy,,,,
Txy_R6_R7,47,37.4500753,126.4415058,n47,Txy,,,,
Txy_R4_R7,48,37.450434,126.442098,n48,Txy,,,,
Txy_R4_001,49,37.4492672,126.4441472,n49,Txy,,,,
Txy_R4_002,50,37.4488072,126.4449572,n50,Txy,,,,
Txy_R4_003,51,37.4484026,126.4456278,n51,Txy,,,,
Txy_R4_004,52,37.4480066,126.4460784,n52,Txy,,,,
Txy_R4_005,53,37.4476744,126.4460837,n53,Txy,,,,
Txy_R4_006,54,37.4470568,126.4458531,n54,Txy,,,,
Txy_R4_007,55,37.4441309,126.4478057,n55,Txy,,,,
Txy_R4_008,56,37.4442843,126.4489054,n56,Txy,,,,
Txy_R7_R3,57,37.4526125,126.445928,n57,Txy,,,,
Txy_R7_R2,58,37.454086,126.4485619,n58,Txy,,,,
Txy_R7_R1,59,37.4559908,126.4523242,n59,Txy,,,,
Txy_R1_001,60,37.4548198,126.4528675,n60,Txy,,,,
Txy_R1_A6,61,37.4537978,126.453243,n61,Txy,,,,
Txy_R1_002,62,37.4529333,126.4536024,n62,Txy,,,,
Txy_R1_003,63,37.4524095,126.4539189,n63,Txy,,,,
Txy_R1_004,64,37.4522775,126.4544929,n64,Txy,,,,
Txy_R1_005,65,37.4522051,126.4552815,n65,Txy,,,,
Txy_R1_006,66,37.4521199,126.4561881,n66,Txy,,,,
Txy_R1_007,67,37.4516514,126.4573897,n67,Txy,,,,
Txy_R1_008,68,37.4506975,126.4581086,n68,Txy,,,,
Txy_R1_009,69,37.4496158,126.4578779,n69,Txy,,,,
Txy_R1_010,70,37.4491217,126.4570249,n70,Txy,,,,
Txy_R4_R6,71,37.444565,126.4463269,n71,Txy,,,,
Txy_R7_001,72,37.4516075,126.4440762,n72,Txy,,,,
Txy_R7_002,73,37.4552103,126.4506315,n73,Txy,,,,
Txy_R3_001,74,37.4521331,126.4467191,n74,Txy,,,,
Txy_R3_002,75,37.4516093,126.4475774,n75,Txy,,,,
Txy_R3_003,76,37.4511281,126.4483553,n76,Txy,,,,
Txy_R3_004,77,37.4512218,126.4493434,n77,Txy,,,,
Txy_R2_001,78,37.4527956,126.4490238,n78,Txy,,,,
Txy_R2_002,79,37.4518971,126.449394,n79,Txy,,,,
Txy_R4_R8,80,37.4511802,126.4414736,n80,Txy,,,,
Txy_R3_R8,81,37.453318,126.445218,n81,Txy,,,,
