n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_R6_001,44,37.4425284,126.4482971,Txy_R4_008,56,37.4442843,126.4489054
Txy_R4_008,56,37.4442843,126.4489054,Txy_R4_007,138,37.452766,126.4394652
Txy_R4_R6,71,37.444565,126.4463269,Txy_R4_007,138,37.452766,126.4394652
Txy_R6_M5,45,37.4457312,126.4455613,Txy_R4_R6,71,37.444565,126.4463269
Txy_R6_M5,45,37.4457312,126.4455613,Txy_R6_M6,46,37.4464978,126.4448854
Txy_R6_M5,45,37.4457312,126.4455613,Txy_R4_006,54,37.4470568,126.4458531
Txy_R6_M6,46,37.4464978,126.4448854,Txy_R4_006,54,37.4470568,126.4458531
Txy_R4_005,53,37.4476744,126.4460837,Txy_R4_006,54,37.4470568,126.4458531
Txy_R4_005,53,37.4476744,126.4460837,Txy_R4_004,52,37.4480066,126.4460784
Txy_R4_004,52,37.4480066,126.4460784,Txy_R4_003,51,37.4484026,126.4456278
Txy_R4_003,51,37.4484026,126.4456278,Txy_R4_002,50,37.4488072,126.4449572
Txy_R4_002,50,37.4488072,126.4449572,Txy_R4_001,49,37.4492672,126.4441472
Txy_R4_R7,48,37.450434,126.442098,Txy_R4_001,49,37.4492672,126.4441472
Txy_R6_R7,47,37.4500753,126.4415058,Txy_R4_R7,48,37.450434,126.442098
Txy_R4_R7,48,37.450434,126.442098,Txy_R7_001,72,37.4516075,126.4440762
Txy_R7_001,72,37.4516075,126.4440762,Txy_R7_R3,57,37.4526125,126.445928
Txy_R7_R3,57,37.4526125,126.445928,Txy_R3_001,74,37.4521331,126.4467191
Txy_R3_002,75,37.4516093,126.4475774,Txy_R3_001,74,37.4521331,126.4467191
Txy_R3_002,75,37.4516093,126.4475774,Txy_R3_003,76,37.4511281,126.4483553
Txy_R3_004,77,37.4512218,126.4493434,Txy_R3_003,76,37.4511281,126.4483553
Txy_R2_002,79,37.4518971,126.449394,Txy_R3_004,77,37.4512218,126.4493434
Txy_R2_002,79,37.4518971,126.449394,Txy_R2_001,78,37.4527956,126.4490238
Txy_R7_R2,58,37.454086,126.4485619,Txy_R2_001,78,37.4527956,126.4490238
Txy_R7_R3,57,37.4526125,126.445928,Txy_R7_R2,58,37.454086,126.4485619
Txy_R7_R2,58,37.454086,126.4485619,Txy_R7_002,73,37.4552103,126.4506315
Txy_R7_R1,59,37.4559908,126.4523242,Txy_R7_002,73,37.4552103,126.4506315
Txy_R7_R1,59,37.4559908,126.4523242,Txy_R1_001,60,37.4548198,126.4528675
Txy_R1_001,60,37.4548198,126.4528675,Txy_R1_A6,61,37.4537978,126.453243
Txy_R1_A6,61,37.4537978,126.453243,Txy_R1_002,62,37.4529333,126.4536024
Txy_R1_002,62,37.4529333,126.4536024,Txy_R1_003,63,37.4524095,126.4539189
Txy_R1_003,63,37.4524095,126.4539189,Txy_R1_004,64,37.4522775,126.4544929
Txy_R1_004,64,37.4522775,126.4544929,Txy_R1_005,65,37.4522051,126.4552815
Txy_R1_005,65,37.4522051,126.4552815,Txy_R1_006,66,37.4521199,126.4561881
Txy_R1_007,67,37.4516514,126.4573897,Txy_R1_006,66,37.4521199,126.4561881
Txy_R1_008,68,37.4506975,126.4581086,Txy_R1_007,67,37.4516514,126.4573897
Txy_R1_009,69,37.4496158,126.4578779,Txy_R1_008,68,37.4506975,126.4581086
Txy_R1_010,70,37.4491217,126.4570249,Txy_R1_009,69,37.4496158,126.4578779
Txy_R6_M6,46,37.4464978,126.4448854,Txy_R6_R7,47,37.4500753,126.4415058
Txy_R4_R6,71,37.444565,126.4463269,Txy_R6_001,44,37.4425284,126.4482971
Txy_R4_008,56,37.4442843,126.4489054,Gate_01_046,43,37.4455922,126.4487447
Txy_R4_007,138,37.452766,126.4394652,Gate_01_045,42,37.4452046,126.4481171
Txy_R4_R6,71,37.444565,126.4463269,Gate_01_044,41,37.4452256,126.4476105
Txy_R6_M5,45,37.4457312,126.4455613,Gate_01_043,40,37.4455812,126.4471947
Txy_R6_M5,45,37.4457312,126.4455613,Gate_01_042,39,37.4460997,126.4472271
Txy_R4_006,54,37.4470568,126.4458531,Gate_01_041,38,37.44674,126.4472888
Txy_R4_005,53,37.4476744,126.4460837,Gate_01_040,37,37.447348,126.4474686
Txy_R4_004,52,37.4480066,126.4460784,Gate_01_039,36,37.447959,126.4477234
Txy_R4_004,52,37.4480066,126.4460784,Gate_01_038,35,37.4489462,126.4473401
Txy_R4_003,51,37.4484026,126.4456278,Gate_01_037,34,37.4493571,126.4465465
Txy_R4_002,50,37.4488072,126.4449572,Gate_01_036,33,37.4497042,126.4458545
Txy_R4_001,49,37.4492672,126.4441472,Gate_01_035,32,37.4497872,126.4451732
Txy_R4_R7,48,37.450434,126.442098,Gate_01_034,31,37.4500554,126.4449827
Txy_R4_R7,48,37.450434,126.442098,Gate_01_033,30,37.4506197,126.4448406
Txy_R7_001,72,37.4516075,126.4440762,Gate_01_032,29,37.4509276,126.4452885
Txy_R7_R3,57,37.4526125,126.445928,Gate_01_031,28,37.4513224,126.4457602
Txy_R3_001,74,37.4521331,126.4467191,Gate_01_030,27,37.451001,126.4462335
Txy_R3_002,75,37.4516093,126.4475774,Gate_01_028,26,37.4506611,126.4468218
Txy_R3_003,76,37.4511281,126.4483553,Gate_01_027,25,37.4501858,126.4474188
Txy_R3_003,76,37.4511281,126.4483553,Gate_01_024,23,37.4497128,126.4493441
Txy_R3_004,77,37.4512218,126.4493434,Gate_01_023,22,37.4501577,126.4500369
Txy_R3_004,77,37.4512218,126.4493434,Gate_01_022,21,37.4505388,126.4507724
Txy_R3_004,77,37.4512218,126.4493434,Gate_01_021,20,37.4514878,126.451239
Txy_R3_002,75,37.4516093,126.4475774,Gate_01_020,19,37.4521075,126.450767
Txy_R2_001,78,37.4527956,126.4490238,Gate_01_019,18,37.4527586,126.4506659
