id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,41.2650724,28.7074085,n0,Rwy,RW34L,Entry,RW16R,End
Rwy_01_002,1,41.265903,28.7073656,n1,Rwy,,,,
Txy_B1A_B,2,41.2620356,28.7227341,n2,Txy,,,,
Rwy_01_003,3,41.2669352,28.7073227,n3,Rwy,,,,
Rwy_01_004,4,41.2778914,28.7070008,n4,Rwy,,,,
Rwy_01_005,5,41.2817615,28.7070223,n5,Rwy,,,,
Rwy_01_006,6,41.2846801,28.7069901,n6,Rwy,,,,
Rwy_01_007,7,41.288875,28.7069005,n7,Rwy,,,,
Rwy_01_008,8,41.2966263,28.7067815,n8,Rwy,,,,
Rwy_01_009,9,41.2976822,28.7067922,n9,Rwy,,,,
Rwy_01_010,10,41.2985608,28.7067674,n10,Rwy,RW16R,Entry,RW34L,End
Rwy_02_001,11,41.2650893,28.709882,n11,Rwy,RW34R,Entry,RW16L,End
Rwy_02_002,12,41.2659521,28.7098284,n12,Rwy,,,,
Rwy_02_003,13,41.2669279,28.709764,n13,Rwy,,,,
Rwy_02_004,14,41.2678069,28.7097332,n14,Rwy,,,,
Rwy_02_005,15,41.2744248,28.7095293,n15,Rwy,,,,
Rwy_02_006,16,41.2780545,28.7094871,n16,Rwy,,,,
Rwy_02_007,17,41.2850619,28.709507,n17,Rwy,,,,
Rwy_02_008,18,41.2882867,28.7094533,n18,Rwy,,,,
Rwy_02_009,19,41.2922609,28.7094154,n19,Rwy,,,,
Rwy_02_010,20,41.2966622,28.7092974,n20,Rwy,,,,
Rwy_02_011,21,41.2977342,28.7092866,n21,Rwy,,,,
Rwy_02_012,22,41.2986047,28.709233,n22,Rwy,RW16L,Entry,RW34R,End
Rwy_03_001,23,41.2620806,28.725163,n23,Rwy,RW35L,Entry,RW17R,End
Rwy_03_002,24,41.2629919,28.7250879,n24,Rwy,,,,
Rwy_03_003,25,41.2658387,28.7249913,n25,Rwy,,,,
Rwy_03_004,26,41.2670674,28.7249464,n26,Rwy,,,,
Rwy_03_005,27,41.2728889,28.7248786,n27,Rwy,,,,
Rwy_03_006,28,41.2765899,28.7249859,n28,Rwy,,,,
Rwy_03_007,29,41.2822344,28.7249287,n29,Rwy,,,,
Rwy_03_008,30,41.2843548,28.7247785,n30,Rwy,,,,
Rwy_03_009,31,41.2852255,28.7247463,n31,Rwy,,,,
Rwy_03_010,32,41.2861445,28.7247356,n32,Rwy,,,,
Rwy_03_011,33,41.2948596,28.7245687,n33,Rwy,,,,
Rwy_03_012,34,41.2968344,28.7245365,n34,Rwy,,,,
Rwy_03_013,35,41.2978648,28.7244978,n35,Rwy,,,,
Rwy_03_014,36,41.2987434,28.7244764,n36,Rwy,RW17R,Entry,RW35L,End
Txy_B2_A,37,41.2629389,28.722777,n37,Txy,,,,
Txy_B3A_B,38,41.2652514,28.7227449,n38,Txy,,,,
Txy_B4A_B,39,41.2670603,28.7227288,n39,Txy,,,,
Txy_B5A_B,40,41.2727945,28.7226037,n40,Txy,,,,
Txy_B6_B,41,41.2731534,28.7225984,n41,Txy,,,,
Txy_B7_B,42,41.285227,28.7224869,n42,Txy,,,,
Txy_B7_001,43,41.2844329,28.7233452,n43,Txy,,,,
Txy_B_001,44,41.2844127,28.7225083,n44,Txy,,,,
Txy_B9A_B,45,41.2948499,28.7222796,n45,Txy,,,,
Txy_B10_B,46,41.2968006,28.7222635,n46,Txy,,,,
Txy_B11_B,47,41.2978615,28.7222206,n47,Txy,,,,
Txy_B12_A,48,41.2986515,28.7223762,n48,Txy,,,,
Txy_B3A_B_Rwy_03_003,49,41.2652514,28.7227449,n49,Txy,,,,
Txy_B_002,50,41.267954,28.7226807,n50,Txy,,,,
Txy_E1C_E1,51,41.2620223,28.7215444,n51,Txy,,,,
Txy_E1D_E1,52,41.2651749,28.721591,n52,Txy,,,,
Txy_B4A_E1,53,41.2670478,28.7215964,n53,Txy,,,,
Txy_E1_001,54,41.267931,28.7215588,n54,Txy,,,,
Rwy_04_001,55,41.262113,28.7275705,n55,Rwy,RW35R,Entry,RW17L,End
Rwy_04_002,56,41.262976,28.7275384,n56,Rwy,,,,
Rwy_04_003,57,41.263855,28.7275062,n57,Rwy,,,,
Rwy_04_004,58,41.2658873,28.7274847,n58,Rwy,,,,
Rwy_04_005,59,41.2670955,28.7274828,n59,Rwy,,,,
Rwy_04_006,60,41.2729123,28.7274242,n60,Rwy,,,,
Rwy_04_007,61,41.2765085,28.72751,n61,Rwy,,,,
Rwy_04_008,62,41.2791612,28.7274671,n62,Rwy,,,,
Rwy_04_009,63,41.2823379,28.7274671,n63,Rwy,,,,
