n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,41.2650724,28.7074085,Rwy_01_002,1,41.265903,28.7073656
Rwy_01_003,3,41.2669352,28.7073227,Rwy_01_002,1,41.265903,28.7073656
Rwy_01_004,4,41.2778914,28.7070008,Rwy_01_003,3,41.2669352,28.7073227
Rwy_01_005,5,41.2817615,28.7070223,Rwy_01_004,4,41.2778914,28.7070008
Rwy_01_005,5,41.2817615,28.7070223,Rwy_01_006,6,41.2846801,28.7069901
Rwy_01_007,7,41.288875,28.7069005,Rwy_01_006,6,41.2846801,28.7069901
Rwy_01_008,8,41.2966263,28.7067815,Rwy_01_007,7,41.288875,28.7069005
Rwy_01_009,9,41.2976822,28.7067922,Rwy_01_008,8,41.2966263,28.7067815
Rwy_01_010,10,41.2985608,28.7067674,Rwy_01_009,9,41.2976822,28.7067922
Rwy_02_001,11,41.2650893,28.709882,Rwy_02_002,12,41.2659521,28.7098284
Rwy_02_003,13,41.2669279,28.709764,Rwy_02_002,12,41.2659521,28.7098284
Rwy_02_004,14,41.2678069,28.7097332,Rwy_02_003,13,41.2669279,28.709764
Rwy_02_005,15,41.2744248,28.7095293,Rwy_02_004,14,41.2678069,28.7097332
Rwy_02_006,16,41.2780545,28.7094871,Rwy_02_005,15,41.2744248,28.7095293
Rwy_02_007,17,41.2850619,28.709507,Rwy_02_006,16,41.2780545,28.7094871
Rwy_02_008,18,41.2882867,28.7094533,Rwy_02_007,17,41.2850619,28.709507
Rwy_02_009,19,41.2922609,28.7094154,Rwy_02_008,18,41.2882867,28.7094533
Rwy_02_010,20,41.2966622,28.7092974,Rwy_02_009,19,41.2922609,28.7094154
Rwy_02_010,20,41.2966622,28.7092974,Rwy_02_011,21,41.2977342,28.7092866
Rwy_02_012,22,41.2986047,28.709233,Rwy_02_011,21,41.2977342,28.7092866
Rwy_01_001,0,41.2650724,28.7074085,Rwy_02_001,11,41.2650893,28.709882
Rwy_01_002,1,41.265903,28.7073656,Rwy_02_002,12,41.2659521,28.7098284
Rwy_01_003,3,41.2669352,28.7073227,Rwy_02_003,13,41.2669279,28.709764
Rwy_01_004,4,41.2778914,28.7070008,Rwy_02_005,15,41.2744248,28.7095293
Rwy_01_005,5,41.2817615,28.7070223,Rwy_02_006,16,41.2780545,28.7094871
Rwy_01_005,5,41.2817615,28.7070223,Rwy_02_007,17,41.2850619,28.709507
Rwy_01_006,6,41.2846801,28.7069901,Rwy_02_008,18,41.2882867,28.7094533
Rwy_01_007,7,41.288875,28.7069005,Rwy_02_009,19,41.2922609,28.7094154
Rwy_01_008,8,41.2966263,28.7067815,Rwy_02_010,20,41.2966622,28.7092974
Rwy_01_009,9,41.2976822,28.7067922,Rwy_02_011,21,41.2977342,28.7092866
Rwy_01_010,10,41.2985608,28.7067674,Rwy_02_012,22,41.2986047,28.709233
Rwy_03_001,23,41.2620806,28.725163,Rwy_03_002,24,41.2629919,28.7250879
Rwy_03_003,25,41.2658387,28.7249913,Rwy_03_002,24,41.2629919,28.7250879
Rwy_03_004,26,41.2670674,28.7249464,Rwy_03_003,25,41.2658387,28.7249913
Rwy_03_005,27,41.2728889,28.7248786,Rwy_03_004,26,41.2670674,28.7249464
Rwy_03_005,27,41.2728889,28.7248786,Rwy_03_006,28,41.2765899,28.7249859
Rwy_03_007,29,41.2822344,28.7249287,Rwy_03_006,28,41.2765899,28.7249859
Rwy_03_008,30,41.2843548,28.7247785,Rwy_03_007,29,41.2822344,28.7249287
Rwy_03_009,31,41.2852255,28.7247463,Rwy_03_008,30,41.2843548,28.7247785
Rwy_03_010,32,41.2861445,28.7247356,Rwy_03_009,31,41.2852255,28.7247463
Rwy_03_011,33,41.2948596,28.7245687,Rwy_03_010,32,41.2861445,28.7247356
Rwy_03_011,33,41.2948596,28.7245687,Rwy_03_012,34,41.2968344,28.7245365
Rwy_03_013,35,41.2978648,28.7244978,Rwy_03_012,34,41.2968344,28.7245365
Rwy_03_014,36,41.2987434,28.7244764,Rwy_03_013,35,41.2978648,28.7244978
Rwy_03_001,23,41.2620806,28.725163,Txy_B1A_B,2,41.2620356,28.7227341
Txy_B2_A,37,41.2629389,28.722777,Rwy_03_002,24,41.2629919,28.7250879
Txy_B2_A,37,41.2629389,28.722777,Txy_B1A_B,2,41.2620356,28.7227341
Rwy_03_004,26,41.2670674,28.7249464,Txy_B4A_B,39,41.2670603,28.7227288
Txy_B5A_B,40,41.2727945,28.7226037,Rwy_03_005,27,41.2728889,28.7248786
Txy_B5A_B,40,41.2727945,28.7226037,Txy_B6_B,41,41.2731534,28.7225984
Txy_B7_001,43,41.2844329,28.7233452,Rwy_03_007,29,41.2822344,28.7249287
Txy_B7_001,43,41.2844329,28.7233452,Txy_B_001,44,41.2844127,28.7225083
Txy_B7_B,42,41.285227,28.7224869,Rwy_03_009,31,41.2852255,28.7247463
Txy_B9A_B,45,41.2948499,28.7222796,Rwy_03_011,33,41.2948596,28.7245687
Rwy_03_012,34,41.2968344,28.7245365,Txy_B10_B,46,41.2968006,28.7222635
Txy_B11_B,47,41.2978615,28.7222206,Rwy_03_013,35,41.2978648,28.7244978
Txy_B12_A,48,41.2986515,28.7223762,Rwy_03_014,36,41.2987434,28.7244764
Txy_B2_A,37,41.2629389,28.722777,Txy_B3A_B,38,41.2652514,28.7227449
Txy_B3A_B,38,41.2652514,28.7227449,Txy_B4A_B,39,41.2670603,28.7227288
Txy_B4A_B,39,41.2670603,28.7227288,Txy_B_002,125,41.2536822,28.72232
Txy_B_002,125,41.2536822,28.72232,Txy_B5A_B,40,41.2727945,28.7226037
Txy_B6_B,41,41.2731534,28.7225984,Rwy_03_006,28,41.2765899,28.7249859
Txy_B_001,44,41.2844127,28.7225083,Txy_B6_B,41,41.2731534,28.7225984
Txy_B7_B,42,41.285227,28.7224869,Txy_B_001,44,41.2844127,28.7225083
Txy_B7_B,42,41.285227,28.7224869,Txy_B7_001,43,41.2844329,28.7233452
Txy_B7_B,42,41.285227,28.7224869,Txy_B9A_B,45,41.2948499,28.7222796
