id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_C_003,0,-26.1367762,28.2310545,n0,Gate,,,,
Gate_C_007,1,-26.136603,28.2294196,n1,Gate,,,,
Gate_C_008,2,-26.1365669,28.2290132,n2,Gate,,,,
Gate_C_005,3,-26.1366775,28.2302351,n3,Gate,,,,
Gate_C_004,4,-26.136728,28.2306414,n4,Gate,,,,
Gate_C_006,5,-26.1366499,28.2298152,n5,Gate,,,,
Gate_C_024,6,-26.1385577,28.2323573,n6,Gate,,,,
Gate_C_002,7,-26.1368099,28.2314756,n7,Gate,,,,
Gate_C_001,8,-26.1368484,28.2319048,n8,Gate,,,,
Gate_C_018,9,-26.1381115,28.2295208,n9,Gate,,,,
Gate_C_019,10,-26.1382969,28.230025,n10,Gate,,,,
Gate_C_022,11,-26.1384277,28.2314413,n11,Gate,,,,
Gate_C_020,12,-26.1383304,28.2304899,n12,Gate,,,,
Gate_C_021,13,-26.1383966,28.2309754,n13,Gate,,,,
Gate_C_023,14,-26.1384939,28.2318933,n14,Gate,,,,
Ramp_01_001,15,-26.1375076,28.2318192,n15,Ramp,,,,
Ramp_01_002,16,-26.1374691,28.2313954,n16,Ramp,,,,
Ramp_01_003,17,-26.1374209,28.2309609,n17,Ramp,,,,
Ramp_01_004,18,-26.1373631,28.2303493,n18,Ramp,,,,
Ramp_01_005,19,-26.1373005,28.22977,n19,Ramp,,,,
Ramp_01_006,20,-26.1372572,28.229137,n20,Ramp,,,,
Ramp_02_001,21,-26.1379748,28.2324146,n21,Ramp,,,,
Ramp_02_002,22,-26.1379314,28.2319587,n22,Ramp,,,,
Ramp_02_003,23,-26.1378736,28.231508,n23,Ramp,,,,
Ramp_02_004,24,-26.1378336,28.231053,n24,Ramp,,,,
Ramp_02_005,25,-26.1377854,28.2305648,n25,Ramp,,,,
Ramp_02_006,26,-26.1377324,28.2298943,n26,Ramp,,,,
Ramp_03_001,27,-26.1366529,28.2334399,n27,Ramp,,,,
Ramp_03_002,28,-26.1360331,28.2335417,n28,Ramp,,,,
Ramp_03_003,29,-26.1355323,28.2336114,n29,Ramp,,,,
Ramp_03_004,30,-26.1349327,28.2336677,n30,Ramp,,,,
Ramp_03_005,31,-26.1342127,28.2337509,n31,Ramp,,,,
Ramp_03_006,32,-26.1334975,28.2338796,n32,Ramp,,,,
Ramp_03_007,33,-26.13304,28.2339574,n33,Ramp,,,,
Ramp_03_008,34,-26.1324163,28.2340164,n34,Ramp,,,,
Ramp_03_009,35,-26.13173,28.2340808,n35,Ramp,,,,
Ramp_03_010,36,-26.1310967,28.2344509,n36,Ramp,,,,
Ramp_03_011,37,-26.1311834,28.235328,n37,Ramp,,,,
Ramp_03_012,38,-26.1312557,28.2360415,n38,Ramp,,,,
Gate_A_013,39,-26.136535,28.2323432,n39,Gate,,,,
Gate_A_012,40,-26.1359426,28.2324894,n40,Gate,,,,
Gate_A_011,41,-26.135337,28.2325524,n41,Gate,,,,
Gate_A_010,42,-26.134738,28.2326463,n42,Gate,,,,
Gate_A_009,43,-26.1341396,28.2327227,n43,Gate,,,,
Gate_A_008,44,-26.1334625,28.2328135,n44,Gate,,,,
Gate_A_007,45,-26.1328508,28.2328966,n45,Gate,,,,
Gate_A_006,46,-26.1322464,28.2329516,n46,Gate,,,,
Gate_A_005,47,-26.131595,28.233046,n47,Gate,,,,
