id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_002,0,2.7096628,101.6966196,n0,Rwy,RW33,Entry,RW15,End
Rwy_01_001,1,2.7087197,101.6972473,n1,Rwy,,,,
Rwy_01_004,2,2.7218102,101.6884712,n2,Rwy,,,,
Rwy_01_003,3,2.7184487,101.6907279,n3,Rwy,,,,
Rwy_01_005,4,2.7245881,101.6865726,n4,Rwy,,,,
Rwy_01_006,5,2.7281675,101.684223,n5,Rwy,,,,
Rwy_01_007,6,2.7339973,101.6803392,n6,Rwy,,,,
Rwy_01_008,7,2.7355095,101.6793038,n7,Rwy,,,,
Rwy_01_009,8,2.7381193,101.6775676,n8,Rwy,RW15,Entry,RW33,End
Txy_Y9_Y,9,2.7095756,101.698559,n9,Txy,,,,
Txy_Y8_Y,10,2.7104758,101.6981084,n10,Txy,,,,
Txy_Y7_Y,11,2.7178411,101.6932197,n11,Txy,,,,
Txy_Y7_001,12,2.7175303,101.6925169,n12,Txy,,,,
Txy_Z8_Z,13,2.7185538,101.6939868,n13,Txy,,,,
Txy_Y6_Y,14,2.7211938,101.6909379,n14,Txy,,,,
Txy_Y6_001,15,2.7208938,101.6903103,n15,Txy,,,,
Txy_Z7_Z,16,2.7218047,101.6918552,n16,Txy,,,,
Txy_Y5_Y,17,2.7285911,101.6859716,n17,Txy,,,,
Txy_Y5_001,18,2.7269247,101.6861969,n18,Txy,,,,
Txy_Y_001,19,2.7274176,101.6867816,n19,Txy,,,,
Txy_Z6_Z,20,2.7280071,101.6876721,n20,Txy,,,,
Txy_Y4_Y,21,2.7319102,101.683759,n21,Txy,,,,
Txy_Y4_001,22,2.7303724,101.683936,n22,Txy,,,,
Txy_Y_002,23,2.7307796,101.6845261,n23,Txy,,,,
Txy_Z5_Y,24,2.7326604,101.6832655,n24,Txy,,,,
Txy_Z5_Z,25,2.7332498,101.6841935,n25,Txy,,,,
Txy_Z4_Y,26,2.7334481,101.6827451,n26,Txy,,,,
Txy_Z4_Z,27,2.7340321,101.6836517,n27,Txy,,,,
Txy_Y3_Y,28,2.7349645,101.6817259,n28,Txy,,,,
Txy_Z3_Z,29,2.7355485,101.6826217,n29,Txy,,,,
Txy_Y2_Y,30,2.7364755,101.6807227,n30,Txy,,,,
Txy_Z2_Z,31,2.7370756,101.6816025,n31,Txy,,,,
Txy_U4_Z,32,2.7367434,101.6818332,n32,Txy,,,,
Txy_Y1_Y,33,2.739064,101.6789931,n33,Txy,,,,
Txy_Z1_Z,34,2.739557,101.6798407,n34,Txy,,,,
Txy_U8_Z,35,2.739273,101.6801357,n35,Txy,,,,
Txy_U7_Z,36,2.7382013,101.6808814,n36,Txy,,,,
Rwy_03_001,37,2.7476577,101.722513,n37,Rwy,RW32R,Entry,RW14L,End
Rwy_03_002,38,2.7484507,101.7220409,n38,Rwy,,,,
Rwy_03_003,39,2.7508008,101.7203994,n39,Rwy,,,,
Rwy_03_004,40,2.7563652,101.7166618,n40,Rwy,,,,
Rwy_03_005,41,2.7583209,101.7153743,n41,Rwy,,,,
Rwy_03_006,42,2.7621681,101.7127726,n42,Rwy,,,,
Rwy_03_007,43,2.764799,101.7110291,n43,Rwy,,,,
Rwy_03_008,44,2.7680835,101.7088136,n44,Rwy,,,,
Rwy_03_009,45,2.7699178,101.707578,n45,Rwy,,,,
Rwy_03_010,46,2.7757111,101.7037089,n46,Rwy,,,,
Rwy_03_011,47,2.7783312,101.7019601,n47,Rwy,RW14L,Entry,RW32R,End
Txy_A11_A,48,2.7465767,101.7209752,n48,Txy,,,,
Txy_A10_A,49,2.7473644,101.7204495,n49,Txy,,,,
Txy_A9_A,50,2.7497542,101.7188401,n50,Txy,,,,
Txy_A8_A7,51,2.7557854,101.7156835,n51,Txy,,,,
Txy_A8_A,52,2.7542155,101.7158337,n52,Txy,,,,
Txy_A7_A,53,2.7553568,101.7150612,n53,Txy,,,,
