n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,1,2.7087197,101.6972473,Rwy_01_002,0,2.7096628,101.6966196
Rwy_01_003,3,2.7184487,101.6907279,Rwy_01_002,0,2.7096628,101.6966196
Rwy_01_004,2,2.7218102,101.6884712,Rwy_01_003,3,2.7184487,101.6907279
Rwy_01_005,4,2.7245881,101.6865726,Rwy_01_004,2,2.7218102,101.6884712
Rwy_01_005,4,2.7245881,101.6865726,Rwy_01_006,5,2.7281675,101.684223
Rwy_01_007,6,2.7339973,101.6803392,Rwy_01_006,5,2.7281675,101.684223
Rwy_01_008,7,2.7355095,101.6793038,Rwy_01_007,6,2.7339973,101.6803392
Rwy_01_009,8,2.7381193,101.6775676,Rwy_01_008,7,2.7355095,101.6793038
Rwy_01_001,1,2.7087197,101.6972473,Txy_Y9_Y,9,2.7095756,101.698559
Rwy_01_002,0,2.7096628,101.6966196,Txy_Y8_Y,10,2.7104758,101.6981084
Txy_Y8_Y,10,2.7104758,101.6981084,Txy_Y9_Y,9,2.7095756,101.698559
Txy_Y8_Y,10,2.7104758,101.6981084,Txy_Y7_Y,11,2.7178411,101.6932197
Txy_Y7_Y,11,2.7178411,101.6932197,Txy_Y7_001,12,2.7175303,101.6925169
Rwy_01_003,3,2.7184487,101.6907279,Txy_Y7_001,12,2.7175303,101.6925169
Txy_Y7_Y,11,2.7178411,101.6932197,Txy_Z8_Z,13,2.7185538,101.6939868
Txy_Y7_Y,11,2.7178411,101.6932197,Txy_Y6_Y,14,2.7211938,101.6909379
Txy_Y6_Y,14,2.7211938,101.6909379,Txy_Z7_Z,16,2.7218047,101.6918552
Txy_Z7_Z,16,2.7218047,101.6918552,Txy_Z8_Z,13,2.7185538,101.6939868
Txy_Y6_001,15,2.7208938,101.6903103,Txy_Y6_Y,14,2.7211938,101.6909379
Rwy_01_004,2,2.7218102,101.6884712,Txy_Y6_001,15,2.7208938,101.6903103
Txy_Y6_Y,14,2.7211938,101.6909379,Txy_Y_001,19,2.7274176,101.6867816
Txy_Z7_Z,16,2.7218047,101.6918552,Txy_Z6_Z,20,2.7280071,101.6876721
Txy_Y_001,19,2.7274176,101.6867816,Txy_Z6_Z,20,2.7280071,101.6876721
Txy_Y_001,19,2.7274176,101.6867816,Txy_Y5_001,18,2.7269247,101.6861969
Txy_Y5_001,18,2.7269247,101.6861969,Rwy_01_005,4,2.7245881,101.6865726
Txy_Y_001,19,2.7274176,101.6867816,Txy_Y5_Y,17,2.7285911,101.6859716
Txy_Y5_Y,17,2.7285911,101.6859716,Txy_Y5_001,18,2.7269247,101.6861969
Rwy_01_006,5,2.7281675,101.684223,Txy_Y4_001,22,2.7303724,101.683936
Txy_Y5_Y,17,2.7285911,101.6859716,Txy_Y_002,23,2.7307796,101.6845261
Txy_Y4_001,22,2.7303724,101.683936,Txy_Y_002,23,2.7307796,101.6845261
Txy_Y4_Y,21,2.7319102,101.683759,Txy_Y_002,23,2.7307796,101.6845261
Txy_Y4_Y,21,2.7319102,101.683759,Txy_Y4_001,22,2.7303724,101.683936
Txy_Y4_Y,21,2.7319102,101.683759,Txy_Z5_Y,24,2.7326604,101.6832655
Txy_Z5_Y,24,2.7326604,101.6832655,Txy_Z5_Z,25,2.7332498,101.6841935
Txy_Z5_Z,25,2.7332498,101.6841935,Txy_Z6_Z,20,2.7280071,101.6876721
Txy_Z5_Z,25,2.7332498,101.6841935,Txy_Z4_Z,27,2.7340321,101.6836517
Txy_Z4_Z,27,2.7340321,101.6836517,Txy_Z4_Y,26,2.7334481,101.6827451
Txy_Z4_Y,26,2.7334481,101.6827451,Txy_Z5_Y,24,2.7326604,101.6832655
Txy_Z3_Z,29,2.7355485,101.6826217,Txy_Z4_Z,27,2.7340321,101.6836517
Txy_Y3_Y,28,2.7349645,101.6817259,Txy_Z4_Y,26,2.7334481,101.6827451
Txy_Y3_Y,28,2.7349645,101.6817259,Txy_Z3_Z,29,2.7355485,101.6826217
Txy_Y3_Y,28,2.7349645,101.6817259,Rwy_01_007,6,2.7339973,101.6803392
Rwy_01_008,7,2.7355095,101.6793038,Txy_Y2_Y,30,2.7364755,101.6807227
Txy_Y2_Y,30,2.7364755,101.6807227,Txy_Y3_Y,28,2.7349645,101.6817259
Txy_Y2_Y,30,2.7364755,101.6807227,Txy_Z2_Z,31,2.7370756,101.6816025
Txy_Z2_Z,31,2.7370756,101.6816025,Txy_U4_Z,32,2.7367434,101.6818332
Txy_U4_Z,32,2.7367434,101.6818332,Txy_Z3_Z,29,2.7355485,101.6826217
Rwy_01_009,8,2.7381193,101.6775676,Txy_Y1_Y,33,2.739064,101.6789931
Txy_Y1_Y,33,2.739064,101.6789931,Txy_Y2_Y,30,2.7364755,101.6807227
Txy_Y1_Y,33,2.739064,101.6789931,Txy_Z1_Z,34,2.739557,101.6798407
Txy_Z1_Z,34,2.739557,101.6798407,Txy_U8_Z,35,2.739273,101.6801357
Txy_U8_Z,35,2.739273,101.6801357,Txy_U7_Z,36,2.7382013,101.6808814
Txy_U7_Z,36,2.7382013,101.6808814,Txy_Z2_Z,31,2.7370756,101.6816025
Rwy_03_001,37,2.7476577,101.722513,Rwy_03_002,38,2.7484507,101.7220409
Rwy_03_003,39,2.7508008,101.7203994,Rwy_03_002,38,2.7484507,101.7220409
Rwy_03_004,40,2.7563652,101.7166618,Rwy_03_003,39,2.7508008,101.7203994
Rwy_03_005,41,2.7583209,101.7153743,Rwy_03_004,40,2.7563652,101.7166618
Rwy_03_005,41,2.7583209,101.7153743,Rwy_03_006,42,2.7621681,101.7127726
Rwy_03_007,43,2.764799,101.7110291,Rwy_03_006,42,2.7621681,101.7127726
Rwy_03_008,44,2.7680835,101.7088136,Rwy_03_007,43,2.764799,101.7110291
Rwy_03_009,45,2.7699178,101.707578,Rwy_03_008,44,2.7680835,101.7088136
Rwy_03_010,46,2.7757111,101.7037089,Rwy_03_009,45,2.7699178,101.707578
Rwy_03_011,47,2.7783312,101.7019601,Rwy_03_010,46,2.7757111,101.7037089
Txy_A11_A,48,2.7465767,101.7209752,Rwy_03_001,37,2.7476577,101.722513
Txy_A10_A,49,2.7473644,101.7204495,Rwy_03_002,38,2.7484507,101.7220409
Txy_A10_A,49,2.7473644,101.7204495,Txy_A11_A,48,2.7465767,101.7209752
Txy_B13_B,66,2.7460897,101.7201819,Txy_A11_A,48,2.7465767,101.7209752
Txy_B12_B,67,2.7468291,101.7196455,Txy_A10_A,49,2.7473644,101.7204495
Txy_B12_B,67,2.7468291,101.7196455,Txy_B13_B,66,2.7460897,101.7201819
Txy_B11_B,68,2.7492142,101.7180507,Txy_B12_B,67,2.7468291,101.7196455
Txy_B11_B,68,2.7492142,101.7180507,Txy_A9_A,50,2.7497542,101.7188401
Txy_A9_A,50,2.7497542,101.7188401,Rwy_03_003,39,2.7508008,101.7203994
Txy_B10_A,69,2.7521505,101.7172031,Txy_B10_B,70,2.751679,101.7164199
Txy_B10_B,70,2.751679,101.7164199,Txy_B11_B,68,2.7492142,101.7180507
Txy_B10_A,69,2.7521505,101.7172031,Txy_A9_A,50,2.7497542,101.7188401
Txy_A8_A,52,2.7542155,101.7158337,Txy_B10_A,69,2.7521505,101.7172031
Txy_B9_B,71,2.7540413,101.714819,Txy_B10_B,70,2.751679,101.7164199
Txy_B9_B,71,2.7540413,101.714819,Txy_B8_B,72,2.7548236,101.7142933
Txy_B8_B,72,2.7548236,101.7142933,Txy_A7_A,53,2.7553568,101.7150612
Txy_A7_A,53,2.7553568,101.7150612,Txy_A8_A,52,2.7542155,101.7158337
Txy_B9_B,71,2.7540413,101.714819,Txy_A8_A,52,2.7542155,101.7158337
Txy_A7_A,53,2.7553568,101.7150612,Txy_A8_A7,51,2.7557854,101.7156835
Txy_A8_A7,51,2.7557854,101.7156835,Txy_A8_A,52,2.7542155,101.7158337
Txy_A8_A7,51,2.7557854,101.7156835,Rwy_03_004,40,2.7563652,101.7166618
Txy_A8_A7,51,2.7557854,101.7156835,Rwy_03_005,41,2.7583209,101.7153743
Txy_B7_A,54,2.7568361,101.7140682,Txy_A7_A,53,2.7553568,101.7150612
Txy_B7_B,73,2.7562542,101.713317,Txy_B8_B,72,2.7548236,101.7142933
Txy_B7_B,73,2.7562542,101.713317,Txy_B7_A,54,2.7568361,101.7140682
Txy_B7_A,54,2.7568361,101.7140682,Txy_A6_A,55,2.7579506,101.7133655
Txy_B6_B,74,2.7586493,101.7117291,Txy_B7_B,73,2.7562542,101.713317
Txy_B6_B,74,2.7586493,101.7117291,Txy_B6_A,57,2.7591776,101.7125126
Txy_B6_A,57,2.7591776,101.7125126,Txy_A6_A,55,2.7579506,101.7133655
Txy_B6_A,57,2.7591776,101.7125126,Txy_A6_001,56,2.7596813,101.7131187
Txy_A6_001,56,2.7596813,101.7131187,Txy_A6_A,55,2.7579506,101.7133655
Rwy_03_006,42,2.7621681,101.7127726,Txy_A6_001,56,2.7596813,101.7131187
Txy_B6_B,74,2.7586493,101.7117291,Txy_B_001,75,2.7607015,101.7105221
Txy_B6_A,57,2.7591776,101.7125126,Txy_B5_A,58,2.7628104,101.7100532
Txy_B5_A,58,2.7628104,101.7100532,Txy_B_001,75,2.7607015,101.7105221
Txy_B5_A,58,2.7628104,101.7100532,Txy_A5_A,59,2.7655465,101.7082584
Txy_A5_001,60,2.7658091,101.7091006,Rwy_03_007,43,2.764799,101.7110291
Txy_A4_A3,61,2.7693026,101.7066061,Rwy_03_008,44,2.7680835,101.7088136
Txy_A4_A3,61,2.7693026,101.7066061,Rwy_03_009,45,2.7699178,101.707578
Txy_A4_A3,61,2.7693026,101.7066061,Txy_A4_A,62,2.7689168,101.7059731
Txy_A4_A,62,2.7689168,101.7059731,Txy_A5_A,59,2.7655465,101.7082584
Txy_A2_A,63,2.7746677,101.7021221,Txy_A4_A,62,2.7689168,101.7059731
Txy_A2_A,63,2.7746677,101.7021221,Rwy_03_010,46,2.7757111,101.7037089
Txy_A2_A,63,2.7746677,101.7021221,Txy_A1_A,64,2.777336,101.7005342
Txy_A1_A,64,2.777336,101.7005342,Rwy_03_011,47,2.7783312,101.7019601
Rwy_02_001,79,2.713407,101.7179614,Rwy_02_002,80,2.7159683,101.7162448
Rwy_02_003,81,2.7218197,101.7123287,Rwy_02_002,80,2.7159683,101.7162448
Rwy_02_004,82,2.7234593,101.7112559,Rwy_02_003,81,2.7218197,101.7123287
Rwy_02_005,83,2.7268407,101.7089702,Rwy_02_004,82,2.7234593,101.7112559
Rwy_02_005,83,2.7268407,101.7089702,Rwy_02_006,84,2.7296284,101.7071382
Rwy_02_006,84,2.7296284,101.7071382,Rwy_02_007,85,2.7328541,101.7049174
Rwy_02_008,86,2.7348581,101.7036084,Rwy_02_007,85,2.7328541,101.7049174
Rwy_02_009,87,2.7367978,101.702321,Rwy_02_008,86,2.7348581,101.7036084
Rwy_02_010,88,2.7403343,101.6999023,Rwy_02_009,87,2.7367978,101.702321
Rwy_02_010,88,2.7403343,101.6999023,Rwy_02_011,89,2.7427457,101.6983143
Rwy_02_012,90,2.7435387,101.6977724,Rwy_02_011,89,2.7427457,101.6983143
Rwy_02_011,89,2.7427457,101.6983143,Txy_C11_C,91,2.7144065,101.7195861
Txy_C10_C,92,2.7170146,101.717832,Txy_C11_C,91,2.7144065,101.7195861
Rwy_02_002,80,2.7159683,101.7162448,Txy_C10_C,92,2.7170146,101.717832
Txy_C10_C,92,2.7170146,101.717832,Txy_C9_C,94,2.722807,101.7139481
Txy_C9_C,94,2.722807,101.7139481,Txy_C8_C9,93,2.7224265,101.7133795
Rwy_02_003,81,2.7218197,101.7123287,Txy_C8_C9,93,2.7224265,101.7133795
