n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_Y,29,51.4664857,-0.487487,Txy_B_Y,28,51.4673947,-0.4874951
Txy_B_Y,28,51.4673947,-0.4874951,Txy_Y_003,26,51.468767,-0.4875296
Txy_Y_003,26,51.468767,-0.4875296,Txy_Y_004,27,51.4687637,-0.488581
Txy_Y_003,26,51.468767,-0.4875296,Txy_Y_002,25,51.4687679,-0.4864762
Txy_Y_001,24,51.4687696,-0.4857305,Txy_Y_002,25,51.4687679,-0.4864762
Txy_A_Y,29,51.4664857,-0.487487,Txy_Y_001,24,51.4687696,-0.4857305
Txy_A_Y,29,51.4664857,-0.487487,Txy_A_L54,38,51.4705099,-0.4847169
Txy_A_L54,38,51.4705099,-0.4847169,Txy_A_005,37,51.4713101,-0.4847182
Txy_A_004,36,51.4718815,-0.4847289,Txy_A_005,37,51.4713101,-0.4847182
Txy_A_004,36,51.4718815,-0.4847289,Txy_A_L55,35,51.4726901,-0.484745
Txy_A_003,34,51.4731512,-0.4847504,Txy_A_L55,35,51.4726901,-0.484745
Txy_A_003,34,51.4731512,-0.4847504,Txy_A_002,33,51.4736056,-0.4847396
Txy_A_002,33,51.4736056,-0.4847396,Txy_A_001,42,51.4757744,-0.4835777
Txy_A_001,42,51.4757744,-0.4835777,Txy_A_L56,31,51.474872,-0.4847611
Txy_A_L56,31,51.474872,-0.4847611,Txy_A_L57,30,51.4757708,-0.4847933
Txy_A_L56,31,51.474872,-0.4847611,Txy_L56_001,39,51.4748677,-0.4879628
Txy_L56_001,39,51.4748677,-0.4879628,Txy_L56_002,40,51.4749646,-0.4891376
Txy_L57_001,41,51.4757739,-0.4899744,Txy_L56_002,40,51.4749646,-0.4891376
Txy_A_L57,30,51.4757708,-0.4847933,Txy_L57_001,41,51.4757739,-0.4899744
Txy_Y_004,27,51.4687637,-0.488581,Gate_05_524,19,51.4681376,-0.4888098
Txy_Y_004,27,51.4687637,-0.488581,Gate_05_525,20,51.4681526,-0.4881661
Txy_Y_004,27,51.4687637,-0.488581,Gate_05_523,18,51.4694224,-0.4885899
Txy_Y_003,26,51.468767,-0.4875296,Gate_05_522,17,51.4693857,-0.4878496
Txy_Y_003,26,51.468767,-0.4875296,Gate_05_521,16,51.4694291,-0.4871603
Txy_Y_002,25,51.4687679,-0.4864762,Gate_05_520,15,51.4694258,-0.4864736
Txy_Y_002,25,51.4687679,-0.4864762,Gate_05_526,21,51.4681593,-0.4867767
Txy_Y_002,25,51.4687679,-0.4864762,Gate_05_527,22,51.4682061,-0.4861947
Txy_Y_001,24,51.4687696,-0.4857305,Gate_05_519,14,51.4693991,-0.4857092
Txy_A_L54,38,51.4705099,-0.4847169,Gate_05_516,12,51.4705997,-0.4862892
Txy_A_L54,38,51.4705099,-0.4847169,Gate_05_518,13,51.4699363,-0.4862083
Txy_A_005,37,51.4713101,-0.4847182,Gate_05_513,10,51.4713415,-0.4862195
Txy_A_005,37,51.4713101,-0.4847182,Gate_05_515,11,51.4708703,-0.4860639
Txy_A_004,36,51.4718815,-0.4847289,Gate_05_512,9,51.4718761,-0.4861632
Txy_A_L55,35,51.4726901,-0.484745,Gate_05_511,8,51.4723255,-0.4860425
Txy_A_L55,35,51.4726901,-0.484745,Gate_05_509,7,51.4727115,-0.486021
Txy_A_003,34,51.4731512,-0.4847504,Gate_05_508,6,51.4731576,-0.4861015
Txy_A_002,33,51.4736056,-0.4847396,Gate_05_507,5,51.4736062,-0.4860586
Txy_A_001,42,51.4757744,-0.4835777,Gate_05_506,4,51.4739955,-0.4859942
Txy_L56_001,39,51.4748677,-0.4879628,Gate_05_505,3,51.4739235,-0.4875576
Txy_L56_001,39,51.4748677,-0.4879628,Gate_05_503,2,51.4739535,-0.4882737
Txy_L56_002,40,51.4749646,-0.4891376,Gate_05_502,1,51.4739736,-0.4888853
Txy_L56_002,40,51.4749646,-0.4891376,Gate_05_501,0,51.4740922,-0.4895209
Txy_B_009,51,51.4687687,-0.483544,Txy_A_Y,29,51.4664857,-0.487487
Txy_B_008,50,51.469818,-0.483544,Txy_B_009,51,51.4687687,-0.483544
Txy_B_008,50,51.469818,-0.483544,Txy_B_007,49,51.470507,-0.4835387
Txy_B_006,48,51.4711475,-0.4835709,Txy_B_007,49,51.470507,-0.4835387
Txy_B_006,48,51.4711475,-0.4835709,Txy_B_005,47,51.4718116,-0.4835777
Txy_A_L56,31,51.474872,-0.4847611,Txy_B_001,43,51.4748856,-0.4835991
Txy_A_L57,30,51.4757708,-0.4847933,Txy_A_001,42,51.4757744,-0.4835777
Txy_A_001,42,51.4757744,-0.4835777,Txy_B_001,43,51.4748856,-0.4835991
Txy_B_009,51,51.4687687,-0.483544,Gate_05_539,53,51.4684906,-0.4820443
Txy_B_009,51,51.4687687,-0.483544,Gate_05_538,54,51.4691556,-0.4820523
Txy_B_008,50,51.469818,-0.483544,Gate_05_537,55,51.4698206,-0.4820461
Txy_B_007,49,51.470507,-0.4835387,Gate_05_536,56,51.4704856,-0.481971
Txy_B_006,48,51.4711475,-0.4835709,Gate_05_535,57,51.4711506,-0.4820997
