id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,40.4922729,-3.574608,n0,Rwy,RW36L,Entry,RW18R,End
Rwy_01_002,1,40.4934423,-3.5746188,n1,Rwy,,,,
Rwy_01_003,2,40.4956642,-3.5746402,n2,Rwy,,,,
Rwy_01_004,3,40.5007228,-3.5746618,n3,Rwy,,,,
Rwy_01_005,4,40.5043738,-3.5746886,n4,Rwy,,,,
Rwy_03_001,5,40.4845427,-3.5756691,n5,Rwy,RW14R,Entry,RW32L,End
Rwy_01_006,6,40.5217529,-3.5747849,n6,Rwy,,,,
Rwy_01_007,7,40.5316489,-3.5748351,n7,Rwy,RW18R,Entry,RW36L,End
Txy_Z2_R5,8,40.491759,-3.5762757,n8,Txy,,,,
Txy_Z2_R6,9,40.4917358,-3.5772843,n9,Txy,,,,
Txy_R8_R7,10,40.4917399,-3.578325,n10,Txy,,,,
Txy_Z4_ZW1,11,40.4924594,-3.5768349,n11,Txy,,,,
Txy_Z6_ZW2,12,40.495108,-3.5768992,n12,Txy,,,,
Txy_Z8_ZW3,13,40.4974336,-3.5769004,n13,Txy,,,,
Txy_Z10_ZW4,14,40.5012041,-3.5769099,n14,Txy,,,,
Txy_Z12_ZW5,15,40.5229505,-3.5770236,n15,Txy,,,,
Txy_Z14_ZW6,16,40.5323713,-3.5771168,n16,Txy,,,,
Gate_04_394,17,40.4887508,-3.591776,n17,Gate,,,,
Gate_04_392,18,40.4883663,-3.5917545,n18,Gate,,,,
Gate_04_390,19,40.4879791,-3.5916928,n19,Gate,,,,
Gate_04_388,20,40.4875841,-3.5917645,n20,Gate,,,,
Gate_04_386,21,40.4871832,-3.5916183,n21,Gate,,,,
Gate_04_384,22,40.4868028,-3.5916156,n22,Gate,,,,
Gate_04_382,23,40.486404,-3.5916137,n23,Gate,,,,
Gate_04_380,24,40.4860071,-3.591611,n24,Gate,,,,
Gate_04_378,25,40.4860821,-3.5898243,n25,Gate,,,,
