n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,40.4922729,-3.574608,Rwy_01_002,1,40.4934423,-3.5746188
Rwy_01_003,2,40.4956642,-3.5746402,Rwy_01_002,1,40.4934423,-3.5746188
Rwy_01_004,3,40.5007228,-3.5746618,Rwy_01_003,2,40.4956642,-3.5746402
Rwy_01_005,4,40.5043738,-3.5746886,Rwy_01_004,3,40.5007228,-3.5746618
Rwy_01_006,6,40.5217529,-3.5747849,Rwy_01_005,4,40.5043738,-3.5746886
Rwy_01_007,7,40.5316489,-3.5748351,Rwy_01_006,6,40.5217529,-3.5747849
Rwy_01_001,0,40.4922729,-3.574608,Txy_Z2_R5,8,40.491759,-3.5762757
Txy_Z4_ZW1,11,40.4924594,-3.5768349,Rwy_01_002,1,40.4934423,-3.5746188
Txy_Z6_ZW2,12,40.495108,-3.5768992,Rwy_01_003,2,40.4956642,-3.5746402
Rwy_01_004,3,40.5007228,-3.5746618,Txy_Z8_ZW3,13,40.4974336,-3.5769004
Rwy_01_005,4,40.5043738,-3.5746886,Txy_Z10_ZW4,14,40.5012041,-3.5769099
Txy_Z12_ZW5,15,40.5229505,-3.5770236,Rwy_01_006,6,40.5217529,-3.5747849
Rwy_01_007,7,40.5316489,-3.5748351,Txy_Z14_ZW6,16,40.5323713,-3.5771168
Txy_Z6_ZW2,12,40.495108,-3.5768992,Txy_Z4_ZW1,11,40.4924594,-3.5768349
Txy_Z8_ZW3,13,40.4974336,-3.5769004,Txy_Z6_ZW2,12,40.495108,-3.5768992
Txy_Z8_ZW3,13,40.4974336,-3.5769004,Txy_Z10_ZW4,14,40.5012041,-3.5769099
Txy_Z10_ZW4,14,40.5012041,-3.5769099,Txy_Z12_ZW5,15,40.5229505,-3.5770236
Txy_Z12_ZW5,15,40.5229505,-3.5770236,Txy_Z14_ZW6,16,40.5323713,-3.5771168
Txy_Z2_R6,9,40.4917358,-3.5772843,Txy_Z2_R5,8,40.491759,-3.5762757
Txy_R8_R7,10,40.4917399,-3.578325,Txy_Z2_R6,9,40.4917358,-3.5772843
Rwy_02_001,99,40.5002372,-3.5591576,Rwy_02_002,100,40.5010449,-3.5592059
Rwy_02_003,101,40.5018403,-3.559222,Rwy_02_002,100,40.5010449,-3.5592059
Rwy_02_004,102,40.505318,-3.5592268,Rwy_02_003,101,40.5018403,-3.559222
Rwy_02_005,103,40.5104126,-3.5592575,Rwy_02_004,102,40.505318,-3.5592268
Rwy_02_006,104,40.5293015,-3.5593534,Rwy_02_005,103,40.5104126,-3.5592575
Rwy_02_007,105,40.5330199,-3.5593855,Rwy_02_006,104,40.5293015,-3.5593534
Rwy_02_006,104,40.5293015,-3.5593534,Txy_Y7_001,111,40.5313162,-3.5615452
