id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,19.4277028,-99.0903198,n0,Rwy,RW05L,Entry,RW23R,End
Rwy_01_002,1,19.4280266,-99.0897566,n1,Rwy,,,,
Rwy_01_003,2,19.4293824,-99.0873265,n2,Rwy,,,,
Rwy_01_004,3,19.4295038,-99.0871387,n3,Rwy,,,,
Rwy_01_005,4,19.4302474,-99.085803,n4,Rwy,,,,
Rwy_01_006,5,19.4326657,-99.0814742,n5,Rwy,,,,
Rwy_01_007,6,19.4332323,-99.0804818,n6,Rwy,,,,
Rwy_01_008,7,19.4351682,-99.0770308,n7,Rwy,,,,
Rwy_01_009,8,19.4379808,-99.0720043,n8,Rwy,,,,
Rwy_01_010,9,19.4395841,-99.0691573,n9,Rwy,,,,
Rwy_01_011,10,19.4400596,-99.0683043,n10,Rwy,,,,
Rwy_01_012,11,19.4406717,-99.0672207,n11,Rwy,,,,
Rwy_01_013,12,19.4430533,-99.0629673,n12,Rwy,,,,
Rwy_01_014,13,19.4437284,-99.0617708,n13,Rwy,,,,
Rwy_01_015,14,19.4451773,-99.0592424,n14,Rwy,,,,
Rwy_01_016,15,19.4456377,-99.058368,n15,Rwy,RW23R,Entry,RW05L,End
Rwy_02_001,16,19.4266444,-99.0864528,n16,Rwy,RW05R,Entry,RW23L,End
Rwy_02_002,17,19.427125,-99.0856749,n17,Rwy,,,,
Rwy_02_003,18,19.4278723,-99.0843729,n18,Rwy,,,,
Rwy_02_004,19,19.4296938,-99.0811513,n19,Rwy,,,,
Rwy_02_005,20,19.4300656,-99.0804594,n20,Rwy,,,,
Rwy_02_006,21,19.4324618,-99.0761617,n21,Rwy,,,,
Rwy_02_007,22,19.4335899,-99.0741554,n22,Rwy,,,,
Rwy_02_008,23,19.4359122,-99.0700315,n23,Rwy,,,,
Rwy_02_009,24,19.4384942,-99.065382,n24,Rwy,,,,
Rwy_02_010,25,19.4396721,-99.063308,n25,Rwy,,,,
Rwy_02_011,26,19.441773,-99.059559,n26,Rwy,,,,
Rwy_02_012,27,19.4424812,-99.0582823,n27,Rwy,,,,
Rwy_02_013,28,19.4448746,-99.0540221,n28,Rwy,,,,
Rwy_02_014,29,19.4452236,-99.0533676,n29,Rwy,RW23L,Entry,RW05R,End
Txy_A2_001,30,19.4285439,-99.0900996,n30,Txy,,,,
Txy_A2_B,31,19.4290953,-99.0901479,n31,Txy,,,,
Txy_B1_001,32,19.4297546,-99.0880531,n32,Txy,,,,
Txy_B1_B,33,19.4299435,-99.0886804,n33,Txy,,,,
Txy_B2_001,34,19.4302521,-99.0872588,n34,Txy,,,,
Txy_B2_B,35,19.4307377,-99.0872695,n35,Txy,,,,
Txy_B3_001,36,19.4308375,-99.0861486,n36,Txy,,,,
Txy_B3_B,37,19.4312423,-99.08639,n37,Txy,,,,
Txy_B_001,38,19.4314232,-99.0860356,n38,Txy,,,,
Txy_B_002,39,19.4316155,-99.0856923,n39,Txy,,,,
Txy_B_003,40,19.4319544,-99.0851451,n40,Txy,,,,
Txy_B_004,41,19.4321618,-99.0847482,n41,Txy,,,,
Txy_B_005,42,19.4324185,-99.0842882,n42,Txy,,,,
Txy_B_006,43,19.4326614,-99.0838269,n43,Txy,,,,
Txy_B_007,44,19.4328991,-99.0833816,n44,Txy,,,,
Txy_B_008,45,19.4331318,-99.0830007,n45,Txy,,,,
Txy_B_009,46,19.4333487,-99.0825913,n46,Txy,,,,
Txy_B5_B,47,19.433637,-99.082071,n47,Txy,,,,
Txy_B_010,48,19.4339203,-99.0816097,n48,Txy,,,,
Txy_B6_B,49,19.4342036,-99.0811108,n49,Txy,,,,
Txy_B_011,50,19.4344616,-99.0806333,n50,Txy,,,,
Txy_B_012,51,19.4347757,-99.0800379,n51,Txy,,,,
Txy_B_013,52,19.4351047,-99.0794696,n52,Txy,,,,
Txy_B_014,53,19.4354082,-99.0789064,n53,Txy,,,,
Txy_B7_B,54,19.4358028,-99.0782144,n54,Txy,,,,
Txy_B7_001,55,19.43556,-99.0777262,n55,Txy,,,,
Txy_B6_001,56,19.433759,-99.0808268,n56,Txy,,,,
Txy_B5_001,57,19.4332279,-99.0818193,n57,Txy,,,,
Txy_B_015,58,19.4362786,-99.0773785,n58,Txy,,,,
Txy_B_016,59,19.4366378,-99.0767294,n59,Txy,,,,
Txy_B_017,60,19.4371487,-99.0758267,n60,Txy,,,,
Txy_E2_B,61,19.4388385,-99.0728191,n61,Txy,,,,
Txy_E2_001,62,19.4385046,-99.0724973,n62,Txy,,,,
Txy_C_001,63,19.4378185,-99.0760929,n63,Txy,,,,
Txy_E2_C,64,19.4393463,-99.0734145,n64,Txy,,,,
Txy_C1_C,65,19.4403196,-99.0716499,n65,Txy,,,,
Txy_C1_B,66,19.4397278,-99.0712529,n66,Txy,,,,
Txy_C2_001,67,19.4406538,-99.0686562,n67,Txy,,,,
Txy_C2_B,68,19.4410383,-99.0688976,n68,Txy,,,,
Txy_B8_001,69,19.4417617,-99.0666714,n69,Txy,,,,
Txy_B8_B,70,19.4425457,-99.0662315,n70,Txy,,,,
Txy_B9_001,71,19.4436312,-99.0629048,n71,Txy,,,,
Txy_B9_B,72,19.4441624,-99.063232,n72,Txy,,,,
Txy_C2_C,73,19.4416587,-99.0692892,n73,Txy,,,,
Txy_C3_C,74,19.4425592,-99.0677013,n74,Txy,,,,
Txy_B_018,75,19.4419383,-99.0673197,n75,Txy,,,,
Txy_B_H1,76,19.4431435,-99.0600632,n76,Txy,,,,
Txy_H1_H,77,19.4441249,-99.0581696,n77,Txy,,,,
Txy_A_001,78,19.4272831,-99.0909737,n78,Txy,,,,
Txy_A1_A,79,19.4270554,-99.0908289,n79,Txy,,,,
Txy_A_001,80,19.4258817,-99.0878784,n80,Txy,,,,
Txy_B3_A,81,19.4249915,-99.0853305,n81,Txy,,,,
Txy_A1_001,82,19.4269052,-99.0887862,n82,Txy,,,,
Txy_B3_E,83,19.4254652,-99.0829292,n83,Txy,,,,
Txy_B3_001,84,19.426816,-99.0837393,n84,Txy,,,,
Txy_A4_001,85,19.4276621,-99.0823047,n85,Txy,,,,
Txy_A4_E,86,19.4262659,-99.0815751,n86,Txy,,,,
Txy_B2_001,87,19.4283183,-99.086501,n87,Txy,,,,
Txy_B3_001,88,19.4290872,-99.085104,n88,Txy,,,,
Txy_B4_001,89,19.4302204,-99.0831299,n89,Txy,,,,
Txy_A4_B6,90,19.4332456,-99.0789456,n90,Txy,,,,
Txy_B7_001,91,19.4344205,-99.0756519,n91,Txy,,,,
Txy_E2_001,92,19.4369499,-99.0710117,n92,Txy,,,,
Txy_E_G,93,19.4396446,-99.0647782,n93,Txy,,,,
Txy_F_001,94,19.4417996,-99.06186,n94,Txy,,,,
Ramp_01_002,95,19.4317281,-99.0876648,n95,Ramp,,,,
Ramp_01_001,96,19.4328006,-99.0878084,n96,Ramp,,,,
Ramp_02_001,97,19.4368088,-99.0784854,n97,Ramp,,,,
Txy_A_L,98,19.423694,-99.0820354,n98,Txy,,,,
Ramp_03_001,99,19.422151,-99.0819924,n99,Ramp,,,,
Ramp_03_002,100,19.4214758,-99.0808465,n100,Ramp,,,,
Ramp_03_003,101,19.4208839,-99.0797843,n101,Ramp,,,,
Txy_A4_L,102,19.4247713,-99.0806628,n102,Txy,,,,
Txy_A4_J,103,19.4255352,-99.0811402,n103,Txy,,,,
Txy_B3_J,104,19.4247522,-99.0825942,n104,Txy,,,,
Txy_PH_L,105,19.4255044,-99.0793155,n105,Txy,,,,
Txy_PH_E,106,19.426243,-99.0797983,n106,Txy,,,,
Txy_A5_E,107,19.4277051,-99.0788998,n107,Txy,,,,
Txy_B4_A5,108,19.4294656,-99.0778269,n108,Txy,,,,
Txy_E1_D,109,19.4312261,-99.0747584,n109,Txy,,,,
Txy_B7_D,110,19.4327184,-99.0722586,n110,Txy,,,,
Txy_E2_D,111,19.4341653,-99.0683824,n111,Txy,,,,
Txy_E2_E,112,19.4337201,-99.0679211,n112,Txy,,,,
Txy_E_D,113,19.4358043,-99.0668589,n113,Txy,,,,
Txy_G_D,114,19.4396709,-99.0599495,n114,Txy,,,,
Txy_H_D,115,19.4405055,-99.0584047,n115,Txy,,,,
Txy_B_D,116,19.4416487,-99.0562053,n116,Txy,,,,
Txy_D1_D,117,19.4434939,-99.0531905,n117,Txy,,,,
Txy_D_001,118,19.4440503,-99.0525253,n118,Txy,,,,
Ramp_04_001,119,19.4239075,-99.0801752,n119,Ramp,,,,
Ramp_04_002,120,19.4230879,-99.079215,n120,Ramp,,,,
Ramp_05_001,121,19.4261639,-99.0779329,n121,Ramp,,,,
Ramp_05_002,122,19.4251419,-99.0772838,n122,Ramp,,,,
Txy_B7_E,123,19.4320394,-99.0707994,n123,Txy,,,,
Txy_E1_E,124,19.4299683,-99.0748813,n124,Txy,,,,
Txy_B4_E,125,19.4290274,-99.0765229,n125,Txy,,,,
Txy_B_017_Txy_E2_B,126,19.4371487,-99.0758267,n126,Txy,,,,
Txy_C_002,127,19.4445702,-99.0641471,n127,Txy,,,,
Txy_PH_J,128,19.4270033,-99.0784372,n128,Txy,,,,
Gate_01_001,129,19.4328542,-99.0868362,n129,Gate,,,,
Gate_01_002,130,19.4326873,-99.0871527,n130,Gate,,,,
Gate_01_003,131,19.4324672,-99.0873056,n131,Gate,,,,
Gate_01_004,132,19.4322623,-99.0872788,n132,Gate,,,,
Gate_01_005,133,19.4320537,-99.0870978,n133,Gate,,,,
Gate_01_006,134,19.4321498,-99.0868215,n134,Gate,,,,
Gate_01_008,135,19.4323926,-99.0863039,n135,Gate,,,,
Gate_01_009,136,19.4323268,-99.0858372,n136,Gate,,,,
Gate_01_010,137,19.4328378,-99.0858103,n137,Gate,,,,
Gate_01_011,138,19.4330604,-99.0852417,n138,Gate,,,,
Gate_01_012,139,19.4333083,-99.0848072,n139,Gate,,,,
Gate_01_013,140,19.4335348,-99.084372,n140,Gate,,,,
Gate_01_015,141,19.4337169,-99.0838919,n141,Gate,,,,
Gate_01_016,142,19.4339518,-99.0835211,n142,Gate,,,,
Gate_01_017,143,19.4341819,-99.0830973,n143,Gate,,,,
Gate_01_018,144,19.4344753,-99.0827137,n144,Gate,,,,
Gate_01_020,145,19.4346314,-99.0817023,n145,Gate,,,,
Gate_01_021,146,19.4350988,-99.0816865,n146,Gate,,,,
Gate_01_022,147,19.4353568,-99.0812145,n147,Gate,,,,
Gate_01_023,148,19.4356597,-99.0806058,n148,Gate,,,,
Gate_01_024,149,19.4360163,-99.0800645,n149,Gate,,,,
Gate_01_025,150,19.4362668,-99.07944,n150,Gate,,,,
Gate_01_026,151,19.4364236,-99.0790243,n151,Gate,,,,
Gate_01_027,152,19.4366507,-99.0791597,n152,Gate,,,,
Gate_01_028,153,19.4369757,-99.0793917,n153,Gate,,,,
Gate_01_029,154,19.437698,-99.0781982,n154,Gate,,,,
Gate_01_030,155,19.4373292,-99.078013,n155,Gate,,,,
Gate_01_031,156,19.4370067,-99.077848,n156,Gate,,,,
Gate_01_032,157,19.4370931,-99.0775949,n157,Gate,,,,
Gate_01_033,158,19.4371867,-99.0772677,n158,Gate,,,,
Gate_01_034,159,19.4374637,-99.0771497,n159,Gate,,,,
Gate_01_035,160,19.4377609,-99.0773589,n160,Gate,,,,
Gate_01_036,161,19.438115,-99.0775856,n161,Gate,,,,
Gate_02_075,162,19.4203585,-99.0800938,n162,Gate,,,,
Gate_02_076,163,19.4205078,-99.0804693,n163,Gate,,,,
Gate_02_077,164,19.4207177,-99.0807912,n164,Gate,,,,
Gate_02_078,165,19.4208822,-99.0811452,n165,Gate,,,,
Gate_02_079,166,19.4210921,-99.0814832,n166,Gate,,,,
Gate_02_080,167,19.4213375,-99.0817702,n167,Gate,,,,
Gate_02_081,168,19.4215196,-99.0821108,n168,Gate,,,,
Gate_02_074,169,19.421421,-99.0794206,n169,Gate,,,,
Gate_02_073,170,19.4216056,-99.0797961,n170,Gate,,,,
Gate_02_072,171,19.4218169,-99.0801435,n171,Gate,,,,
Gate_02_071,172,19.4219968,-99.0805169,n172,Gate,,,,
Gate_02_070,173,19.4221311,-99.0808238,n173,Gate,,,,
Gate_02_069,174,19.4223638,-99.0812047,n174,Gate,,,,
Gate_02_068,175,19.4228217,-99.0808372,n175,Gate,,,,
Gate_02_067,176,19.4229734,-99.0804402,n176,Gate,,,,
Gate_02_066,177,19.422723,-99.0801345,n177,Gate,,,,
Gate_02_065,178,19.4225409,-99.0796973,n178,Gate,,,,
Gate_02_064,179,19.4222803,-99.0793539,n179,Gate,,,,
Gate_02_063,180,19.4221033,-99.0790267,n180,Gate,,,,
Gate_02_062,181,19.4230392,-99.0782569,n181,Gate,,,,
Gate_02_061,182,19.4233959,-99.0784715,n182,Gate,,,,
Gate_02_060,183,19.4237298,-99.0787236,n183,Gate,,,,
Gate_02_059,184,19.424089,-99.0789167,n184,Gate,,,,
Gate_02_058,185,19.424386,-99.0791072,n185,Gate,,,,
Gate_02_057,186,19.4246111,-99.0790106,n186,Gate,,,,
Gate_02_056,187,19.4247098,-99.0787263,n187,Gate,,,,
Gate_02_054,188,19.4244467,-99.0781282,n188,Gate,,,,
Gate_02_053,189,19.4241533,-99.0779216,n189,Gate,,,,
Gate_02_052,190,19.4238244,-99.077699,n190,Gate,,,,
Gate_02_055,191,19.424798,-99.078493,n191,Gate,,,,
