n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,19.4277028,-99.0903198,Rwy_01_002,1,19.4280266,-99.0897566
Rwy_01_002,1,19.4280266,-99.0897566,Rwy_01_003,2,19.4293824,-99.0873265
Rwy_01_003,2,19.4293824,-99.0873265,Rwy_01_004,3,19.4295038,-99.0871387
Rwy_01_004,3,19.4295038,-99.0871387,Rwy_01_005,4,19.4302474,-99.085803
Rwy_01_005,4,19.4302474,-99.085803,Rwy_01_006,5,19.4326657,-99.0814742
Rwy_01_006,5,19.4326657,-99.0814742,Rwy_01_007,6,19.4332323,-99.0804818
Rwy_01_007,6,19.4332323,-99.0804818,Rwy_01_008,7,19.4351682,-99.0770308
Rwy_01_008,7,19.4351682,-99.0770308,Rwy_01_009,8,19.4379808,-99.0720043
Rwy_01_009,8,19.4379808,-99.0720043,Rwy_01_010,9,19.4395841,-99.0691573
Rwy_01_010,9,19.4395841,-99.0691573,Rwy_01_011,10,19.4400596,-99.0683043
Rwy_01_011,10,19.4400596,-99.0683043,Rwy_01_012,11,19.4406717,-99.0672207
Rwy_01_012,11,19.4406717,-99.0672207,Rwy_01_013,12,19.4430533,-99.0629673
Rwy_01_013,12,19.4430533,-99.0629673,Rwy_01_014,13,19.4437284,-99.0617708
Rwy_01_014,13,19.4437284,-99.0617708,Rwy_01_015,14,19.4451773,-99.0592424
Rwy_01_015,14,19.4451773,-99.0592424,Rwy_01_016,15,19.4456377,-99.058368
Rwy_02_001,16,19.4266444,-99.0864528,Rwy_02_002,17,19.427125,-99.0856749
Rwy_02_002,17,19.427125,-99.0856749,Rwy_02_003,18,19.4278723,-99.0843729
Rwy_02_003,18,19.4278723,-99.0843729,Rwy_02_004,19,19.4296938,-99.0811513
Rwy_02_004,19,19.4296938,-99.0811513,Rwy_02_005,20,19.4300656,-99.0804594
Rwy_02_005,20,19.4300656,-99.0804594,Rwy_02_006,21,19.4324618,-99.0761617
Rwy_02_006,21,19.4324618,-99.0761617,Rwy_02_007,22,19.4335899,-99.0741554
Rwy_02_007,22,19.4335899,-99.0741554,Rwy_02_008,23,19.4359122,-99.0700315
Rwy_02_008,23,19.4359122,-99.0700315,Rwy_02_009,24,19.4384942,-99.065382
Rwy_02_009,24,19.4384942,-99.065382,Rwy_02_010,25,19.4396721,-99.063308
Rwy_02_010,25,19.4396721,-99.063308,Rwy_02_011,26,19.441773,-99.059559
Rwy_02_011,26,19.441773,-99.059559,Rwy_02_012,27,19.4424812,-99.0582823
Rwy_02_012,27,19.4424812,-99.0582823,Rwy_02_013,28,19.4448746,-99.0540221
Rwy_02_013,28,19.4448746,-99.0540221,Rwy_02_014,29,19.4452236,-99.0533676
Txy_A_001,80,19.4258817,-99.0878784,Rwy_01_001,0,19.4277028,-99.0903198
Txy_A_001,80,19.4258817,-99.0878784,Txy_A2_B,31,19.4290953,-99.0901479
Txy_A2_B,31,19.4290953,-99.0901479,Txy_A2_001,30,19.4285439,-99.0900996
Txy_A2_001,30,19.4285439,-99.0900996,Rwy_01_002,1,19.4280266,-99.0897566
Txy_A2_B,31,19.4290953,-99.0901479,Txy_B1_B,33,19.4299435,-99.0886804
Txy_B1_B,33,19.4299435,-99.0886804,Txy_B1_001,32,19.4297546,-99.0880531
Txy_B1_001,32,19.4297546,-99.0880531,Rwy_01_003,2,19.4293824,-99.0873265
Txy_B2_001,87,19.4283183,-99.086501,Rwy_01_004,3,19.4295038,-99.0871387
Txy_B2_B,35,19.4307377,-99.0872695,Txy_B2_001,87,19.4283183,-99.086501
Txy_B2_B,35,19.4307377,-99.0872695,Txy_B1_B,33,19.4299435,-99.0886804
Txy_B2_B,35,19.4307377,-99.0872695,Txy_B3_B,37,19.4312423,-99.08639
Txy_B3_B,37,19.4312423,-99.08639,Txy_B3_001,88,19.4290872,-99.085104
Txy_B3_001,88,19.4290872,-99.085104,Rwy_01_005,4,19.4302474,-99.085803
Txy_B3_B,37,19.4312423,-99.08639,Txy_B_001,38,19.4314232,-99.0860356
Txy_B_001,38,19.4314232,-99.0860356,Txy_B_002,39,19.4316155,-99.0856923
Txy_B_002,39,19.4316155,-99.0856923,Txy_B_003,40,19.4319544,-99.0851451
Txy_B_003,40,19.4319544,-99.0851451,Txy_B_004,41,19.4321618,-99.0847482
Txy_B_004,41,19.4321618,-99.0847482,Txy_B_005,42,19.4324185,-99.0842882
Txy_B_005,42,19.4324185,-99.0842882,Txy_B_006,43,19.4326614,-99.0838269
Txy_B_006,43,19.4326614,-99.0838269,Txy_B_007,44,19.4328991,-99.0833816
Txy_B_007,44,19.4328991,-99.0833816,Txy_B_008,45,19.4331318,-99.0830007
Txy_B_008,45,19.4331318,-99.0830007,Txy_B_009,46,19.4333487,-99.0825913
Txy_B_009,46,19.4333487,-99.0825913,Txy_B5_B,47,19.433637,-99.082071
Txy_B5_B,47,19.433637,-99.082071,Txy_B5_001,57,19.4332279,-99.0818193
Txy_B5_001,57,19.4332279,-99.0818193,Rwy_01_006,5,19.4326657,-99.0814742
Txy_B5_B,47,19.433637,-99.082071,Txy_B_010,48,19.4339203,-99.0816097
Txy_B6_B,49,19.4342036,-99.0811108,Txy_B_010,48,19.4339203,-99.0816097
Txy_B6_B,49,19.4342036,-99.0811108,Txy_B6_001,56,19.433759,-99.0808268
Txy_B6_001,56,19.433759,-99.0808268,Rwy_01_007,6,19.4332323,-99.0804818
Txy_B6_B,49,19.4342036,-99.0811108,Txy_B_011,50,19.4344616,-99.0806333
Txy_B_011,50,19.4344616,-99.0806333,Txy_B_012,51,19.4347757,-99.0800379
Txy_B_012,51,19.4347757,-99.0800379,Txy_B_013,52,19.4351047,-99.0794696
Txy_B_013,52,19.4351047,-99.0794696,Txy_B_014,53,19.4354082,-99.0789064
Txy_B_014,53,19.4354082,-99.0789064,Txy_B7_B,54,19.4358028,-99.0782144
Txy_B7_B,54,19.4358028,-99.0782144,Txy_B7_001,91,19.4344205,-99.0756519
Rwy_01_008,7,19.4351682,-99.0770308,Txy_B7_001,91,19.4344205,-99.0756519
Txy_B7_B,54,19.4358028,-99.0782144,Txy_B_015,58,19.4362786,-99.0773785
Txy_B_015,58,19.4362786,-99.0773785,Txy_B_016,59,19.4366378,-99.0767294
Txy_B_016,59,19.4366378,-99.0767294,Txy_B_017,60,19.4371487,-99.0758267
Txy_C_001,63,19.4378185,-99.0760929,Txy_B_017,60,19.4371487,-99.0758267
Txy_E2_B,61,19.4388385,-99.0728191,Txy_E2_C,64,19.4393463,-99.0734145
Txy_E2_C,64,19.4393463,-99.0734145,Txy_C_001,63,19.4378185,-99.0760929
Txy_E2_B,61,19.4388385,-99.0728191,Txy_E2_001,92,19.4369499,-99.0710117
Txy_E2_001,92,19.4369499,-99.0710117,Rwy_01_009,8,19.4379808,-99.0720043
Txy_E2_B,61,19.4388385,-99.0728191,Txy_C1_B,66,19.4397278,-99.0712529
Txy_C1_B,66,19.4397278,-99.0712529,Txy_C1_C,65,19.4403196,-99.0716499
Txy_E2_C,64,19.4393463,-99.0734145,Txy_C1_C,65,19.4403196,-99.0716499
Txy_C1_C,65,19.4403196,-99.0716499,Txy_C2_C,73,19.4416587,-99.0692892
Txy_C1_B,66,19.4397278,-99.0712529,Txy_C2_B,68,19.4410383,-99.0688976
Txy_C2_C,73,19.4416587,-99.0692892,Txy_C2_B,68,19.4410383,-99.0688976
Txy_C2_B,68,19.4410383,-99.0688976,Txy_C2_001,67,19.4406538,-99.0686562
Rwy_01_011,10,19.4400596,-99.0683043,Txy_C2_001,67,19.4406538,-99.0686562
Txy_C2_C,73,19.4416587,-99.0692892,Txy_C3_C,74,19.4425592,-99.0677013
Txy_C3_C,74,19.4425592,-99.0677013,Txy_B_018,75,19.4419383,-99.0673197
Txy_C2_B,68,19.4410383,-99.0688976,Txy_B_018,75,19.4419383,-99.0673197
Txy_B_018,75,19.4419383,-99.0673197,Txy_B8_B,70,19.4425457,-99.0662315
Txy_B8_001,69,19.4417617,-99.0666714,Txy_B8_B,70,19.4425457,-99.0662315
Txy_B8_001,69,19.4417617,-99.0666714,Rwy_01_012,11,19.4406717,-99.0672207
Txy_C3_C,74,19.4425592,-99.0677013,Txy_C_002,127,19.4445702,-99.0641471
Txy_B8_B,70,19.4425457,-99.0662315,Txy_B9_B,72,19.4441624,-99.063232
Txy_C_002,127,19.4445702,-99.0641471,Txy_B9_B,72,19.4441624,-99.063232
Txy_B9_B,72,19.4441624,-99.063232,Txy_B9_001,71,19.4436312,-99.0629048
Txy_B9_001,71,19.4436312,-99.0629048,Rwy_01_013,12,19.4430533,-99.0629673
Rwy_01_014,13,19.4437284,-99.0617708,Txy_B9_B,72,19.4441624,-99.063232
Txy_A1_A,79,19.4270554,-99.0908289,Txy_A_001,80,19.4258817,-99.0878784
Txy_A1_A,79,19.4270554,-99.0908289,Txy_A1_001,82,19.4269052,-99.0887862
Txy_B2_001,87,19.4283183,-99.086501,Rwy_01_004,3,19.4295038,-99.0871387
Txy_A1_001,82,19.4269052,-99.0887862,Rwy_02_001,16,19.4266444,-99.0864528
Txy_B2_001,87,19.4283183,-99.086501,Rwy_02_002,17,19.427125,-99.0856749
Rwy_01_005,4,19.4302474,-99.085803,Txy_B3_001,88,19.4290872,-99.085104
Txy_B3_001,88,19.4290872,-99.085104,Rwy_02_003,18,19.4278723,-99.0843729
Rwy_01_005,4,19.4302474,-99.085803,Txy_B4_001,89,19.4302204,-99.0831299
Txy_B4_001,89,19.4302204,-99.0831299,Rwy_02_005,20,19.4300656,-99.0804594
Rwy_02_004,19,19.4296938,-99.0811513,Txy_A4_B6,90,19.4332456,-99.0789456
Rwy_01_007,6,19.4332323,-99.0804818,Txy_A4_B6,90,19.4332456,-99.0789456
Txy_A4_B6,90,19.4332456,-99.0789456,Rwy_02_007,22,19.4335899,-99.0741554
Rwy_01_008,7,19.4351682,-99.0770308,Txy_B7_001,91,19.4344205,-99.0756519
Rwy_02_007,22,19.4335899,-99.0741554,Txy_B7_001,91,19.4344205,-99.0756519
Rwy_01_009,8,19.4379808,-99.0720043,Txy_E2_001,92,19.4369499,-99.0710117
Txy_E2_001,92,19.4369499,-99.0710117,Rwy_02_008,23,19.4359122,-99.0700315
Rwy_01_010,9,19.4395841,-99.0691573,Txy_E_G,93,19.4396446,-99.0647782
Txy_E_G,93,19.4396446,-99.0647782,Rwy_01_013,12,19.4430533,-99.0629673
Txy_E_G,93,19.4396446,-99.0647782,Rwy_02_010,25,19.4396721,-99.063308
Rwy_02_009,24,19.4384942,-99.065382,Txy_E_G,93,19.4396446,-99.0647782
Rwy_01_014,13,19.4437284,-99.0617708,Txy_F_001,94,19.4417996,-99.06186
Txy_F_001,94,19.4417996,-99.06186,Rwy_02_010,25,19.4396721,-99.063308
