id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_Y1_H,0,40.0762945,116.6003637,n0,Txy,,,,
Gate_02_208,1,40.07515,116.5874221,n1,Gate,,,,
Gate_02_205,2,40.0761996,116.5872951,n2,Gate,,,,
Gate_02_206,3,40.0758322,116.5869424,n3,Gate,,,,
Gate_02_207,4,40.0754618,116.5870282,n4,Gate,,,,
Gate_02_209,5,40.0750084,116.5877922,n5,Gate,,,,
Gate_02_227,6,40.0818744,116.5907619,n6,Gate,,,,
Gate_02_212,7,40.0755048,116.5902051,n7,Gate,,,,
Gate_02_210,8,40.0752048,116.5885281,n8,Gate,,,,
Gate_02_211,9,40.0753054,116.5893646,n9,Gate,,,,
Gate_02_215,10,40.0759042,116.5916687,n10,Gate,,,,
Gate_02_213,11,40.0753911,116.5910729,n11,Gate,,,,
Gate_02_217,12,40.0766348,116.5912342,n12,Gate,,,,
Gate_02_214,13,40.0755327,116.5915373,n13,Gate,,,,
Gate_02_216,14,40.0763187,116.5916204,n14,Gate,,,,
Gate_02_218,15,40.0766492,116.5904537,n15,Gate,,,,
Gate_02_219,16,40.0774118,116.589638,n16,Gate,,,,
Gate_02_220,17,40.0780695,116.5896112,n17,Gate,,,,
Gate_02_223,18,40.0800171,116.589292,n18,Gate,,,,
Gate_02_224,19,40.0806492,116.5891713,n19,Gate,,,,
Gate_02_221,20,40.0788042,116.5895361,n20,Gate,,,,
Gate_02_226,21,40.0815686,116.5905339,n21,Gate,,,,
Gate_02_225,22,40.0814804,116.5894315,n22,Gate,,,,
Gate_02_230,23,40.0826691,116.5901611,n23,Gate,,,,
Gate_02_228,24,40.0822828,116.5907713,n24,Gate,,,,
Gate_02_229,25,40.0826584,116.5905808,n25,Gate,,,,
Gate_02_238,26,40.081649,116.5859951,n26,Gate,,,,
Gate_02_234,27,40.0823365,116.5875637,n27,Gate,,,,
Gate_02_235,28,40.0824411,116.5868879,n28,Gate,,,,
Gate_02_232,29,40.0824955,116.5888653,n29,Gate,,,,
Gate_02_231,30,40.0826535,116.5894875,n30,Gate,,,,
Gate_02_233,31,40.082395,116.5882188,n31,Gate,,,,
Gate_02_236,32,40.0823694,116.5862982,n32,Gate,,,,
Gate_02_251,33,40.0751351,116.5855214,n33,Gate,,,,
Gate_02_239,34,40.0813412,116.5862284,n34,Gate,,,,
Gate_02_237,35,40.0820225,116.5859549,n35,Gate,,,,
Gate_02_252,36,40.0750776,116.5850896,n36,Gate,,,,
Gate_02_240,37,40.0811437,116.5865592,n37,Gate,,,,
Gate_02_254,38,40.0749032,116.5837136,n38,Gate,,,,
Txy_Y1_001,39,40.0759415,116.601855,n39,Txy,,,,
Txy_W5_F,40,40.0769944,116.593811,n40,Txy,,,,
Gate_02_253,41,40.0749791,116.5844754,n41,Gate,,,,
Txy_Z3_002,42,40.0807922,116.5908974,n42,Txy,,,,
Txy_Z3_M6,43,40.0759887,116.5927703,n43,Txy,,,,
Txy_Z3_M5,44,40.0776675,116.5924752,n44,Txy,,,,
Txy_Z3_001,45,40.0786727,116.5911998,n45,Txy,,,,
Txy_Z18_001,46,40.0794582,116.592158,n46,Txy,,,,
Txy_Z3_M3,47,40.0828573,116.5917028,n47,Txy,,,,
Txy_Z4_Z3,48,40.0836001,116.5915097,n48,Txy,,,,
Txy_Z18_M4,49,40.0808702,116.5919649,n49,Txy,,,,
Txy_M_Z3,50,40.0844124,116.5913863,n50,Txy,,,,
Txy_Z1_002,51,40.0763729,116.5861378,n51,Txy,,,,
Txy_Z6_Z3,52,40.0852169,116.5912898,n52,Txy,,,,
Txy_Z2_Z3,53,40.0746363,116.5928174,n53,Txy,,,,
Txy_Z2_001,54,40.0744496,116.5913251,n54,Txy,,,,
