n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Z2_003,59,40.0739307,116.5844146,Gate_02_253,41,40.0749791,116.5844754
Txy_Z2_003,59,40.0739307,116.5844146,Gate_02_252,36,40.0750776,116.5850896
Txy_Z2_003,59,40.0739307,116.5844146,Gate_02_254,38,40.0749032,116.5837136
Txy_E0_G,310,40.0554339,116.602484,Txy_Y1_G,321,40.0762182,116.5992345
Txy_Y1_H,0,40.0762945,116.6003637,Txy_Y1_001,39,40.0759415,116.601855
Txy_Y1_001,39,40.0759415,116.601855,Txy_Y1_002,58,40.0755698,116.6025631
Txy_Y1_003,61,40.0751922,116.6029401,Txy_Y1_002,58,40.0755698,116.6025631
Txy_Y1_004,62,40.0747128,116.6031864,Txy_Y1_003,61,40.0751922,116.6029401
Txy_Y1_004,62,40.0747128,116.6031864,Txy_Y1_005,63,40.0741367,116.6033474
Txy_Y1_005,63,40.0741367,116.6033474,Txy_Y1_006,64,40.0733404,116.6034976
Txy_Y1_006,64,40.0733404,116.6034976,Txy_Y1_007,65,40.0726097,116.6036156
Txy_Y1_007,65,40.0726097,116.6036156,Txy_Y1_008,66,40.0719836,116.6036968
Txy_Y1_008,66,40.0719836,116.6036968,Txy_Y1_009,67,40.0713748,116.6038165
Txy_Y1_010,68,40.0706346,116.6039147,Txy_Y1_009,67,40.0713748,116.6038165
Txy_Y1_011,69,40.0699696,116.6040113,Txy_Y1_010,68,40.0706346,116.6039147
Txy_Y1_011,69,40.0699696,116.6040113,Txy_Y1_T4,70,40.0688082,116.6041578
Txy_Y1_T4,70,40.0688082,116.6041578,Txy_Y1_T3,71,40.0679379,116.604308
Txy_Y1_T3,71,40.0679379,116.604308,Txy_Y1_012,72,40.0669913,116.604472
Txy_Y1_013,73,40.0662852,116.6045364,Txy_Y1_012,72,40.0669913,116.604472
Txy_Y1_014,74,40.0656037,116.6046651,Txy_Y1_013,73,40.0662852,116.6045364
Txy_Y1_015,75,40.064955,116.6047831,Txy_Y1_014,74,40.0656037,116.6046651
Txy_Y1_015,75,40.064955,116.6047831,Txy_Y1_016,76,40.0643885,116.6048636
Txy_Y1_017,77,40.0636002,116.6049923,Txy_Y1_016,76,40.0643885,116.6048636
Txy_Y1_T2,78,40.0628462,116.6051062,Txy_Y1_017,77,40.0636002,116.6049923
Txy_Y1_T2,78,40.0628462,116.6051062,Txy_Y1_T1,79,40.0619759,116.6052349
Txy_Y1_T1,79,40.0619759,116.6052349,Txy_Y1_018,80,40.061112,116.6054088
Txy_Y1_019,81,40.0602662,116.605516,Txy_Y1_018,80,40.061112,116.6054088
Txy_Y1_020,82,40.0595764,116.6056019,Txy_Y1_019,81,40.0602662,116.605516
Txy_Y1_021,83,40.0588867,116.6057413,Txy_Y1_020,82,40.0595764,116.6056019
Txy_Y1_022,84,40.0584782,116.6058244,Txy_Y1_021,83,40.0588867,116.6057413
Txy_Y1_022,84,40.0584782,116.6058244,Txy_Y1_023,85,40.0576653,116.6059639
Txy_Y1_024,86,40.0567932,116.606086,Txy_Y1_023,85,40.0576653,116.6059639
Txy_Y1_025,87,40.055822,116.6060645,Txy_Y1_024,86,40.0567932,116.606086
Txy_Y1_025,87,40.055822,116.6060645,Txy_Y1_026,88,40.0553267,116.6058772
Txy_Y1_027,89,40.0549736,116.6055767,Txy_Y1_026,88,40.0553267,116.6058772
Txy_Y1_028,90,40.0545537,116.6050296,Txy_Y1_027,89,40.0549736,116.6055767
Txy_Y1_029,91,40.0541659,116.6043597,Txy_Y1_028,90,40.0545537,116.6050296
Txy_Y1_G,321,40.0762182,116.5992345,Txy_Y1_029,91,40.0541659,116.6043597
Txy_Y1_001,39,40.0759415,116.601855,Gate_03_525,93,40.0771949,116.6016617
Txy_Y1_001,39,40.0759415,116.601855,Gate_03_526,94,40.076906,116.6024751
Txy_Y1_002,58,40.0755698,116.6025631,Gate_03_526,94,40.076906,116.6024751
Txy_Y1_003,61,40.0751922,116.6029401,Gate_03_528,96,40.0758039,116.6042024
Txy_Y1_004,62,40.0747128,116.6031864,Gate_03_529,97,40.0751409,116.6046932
Txy_Y1_005,63,40.0741367,116.6033474,Gate_03_530,98,40.0743035,116.6049668
Txy_Y1_006,64,40.0733404,116.6034976,Gate_03_531,99,40.073499,116.6051036
Txy_Y1_007,65,40.0726097,116.6036156,Gate_03_532,100,40.0727416,116.6051251
Txy_Y1_008,66,40.0719836,116.6036968,Gate_03_533,101,40.0721197,116.6052538
Txy_Y1_009,67,40.0713748,116.6038165,Gate_03_534,102,40.0715676,116.6052967
Txy_Y1_008,66,40.0719836,116.6036968,Gate_03_554,108,40.0716544,116.6024295
Txy_Y1_010,68,40.0706346,116.6039147,Gate_03_535,103,40.0708307,116.6053745
Txy_Y1_010,68,40.0706346,116.6039147,Gate_03_553,107,40.070624,116.6025555
Txy_Y1_011,69,40.0699696,116.6040113,Gate_03_536,104,40.0700918,116.6055596
Txy_Y1_011,69,40.0699696,116.6040113,Gate_03_552,106,40.070061,116.6026119
Txy_Y1_011,69,40.0699696,116.6040113,Gate_03_551,105,40.0695191,116.6027942
Txy_Y1_012,72,40.0669913,116.604472,Gate_03_408,109,40.0670995,116.6060114
Txy_Y1_013,73,40.0662852,116.6045364,Gate_03_409,110,40.0664324,116.6060865
Txy_Y1_014,74,40.0656037,116.6046651,Gate_03_410,111,40.0657571,116.6062099
Txy_Y1_015,75,40.064955,116.6047831,Gate_03_411,112,40.0649298,116.6061777
Txy_Y1_016,76,40.0643885,116.6048636,Gate_03_412,113,40.0647503,116.6064245
Txy_Y1_017,77,40.0636002,116.6049923,Gate_03_413,114,40.0642084,116.6061938
Txy_Y1_017,77,40.0636002,116.6049923,Gate_03_414,115,40.064035,116.6065608
Txy_Y1_012,72,40.0669913,116.604472,Gate_03_458,123,40.0670589,116.6031003
Txy_Y1_012,72,40.0669913,116.604472,Gate_03_457,122,40.0666094,116.6031432
Txy_Y1_013,73,40.0662852,116.6045364,Gate_03_456,121,40.0660818,116.6032397
Txy_Y1_014,74,40.0656037,116.6046651,Gate_03_455,120,40.0655132,116.603347
Txy_Y1_014,74,40.0656037,116.6046651,Gate_03_454,119,40.0647106,116.6033739
Txy_Y1_016,76,40.0643885,116.6048636,Gate_03_453,118,40.0642505,116.6035269
Txy_Y1_017,77,40.0636002,116.6049923,Gate_03_452,117,40.0638666,116.6035836
Txy_Y1_017,77,40.0636002,116.6049923,Gate_03_451,116,40.0634766,116.6036399
Txy_Y1_018,80,40.061112,116.6054088,Gate_03_319,124,40.0612218,116.6067008
Txy_Y1_018,80,40.061112,116.6054088,Gate_03_320,125,40.0609734,116.6070441
Txy_Y1_019,81,40.0602662,116.605516,Gate_03_321,126,40.0603924,116.6067813
Txy_Y1_019,81,40.0602662,116.605516,Gate_03_322,127,40.0601388,116.6071864
Txy_Y1_021,83,40.0588867,116.6057413,Gate_03_323,128,40.0593846,116.6070169
Txy_Y1_021,83,40.0588867,116.6057413,Gate_03_324,129,40.0591573,116.6073215
Txy_Y1_022,84,40.0584782,116.6058244,Gate_03_325,130,40.0585825,116.6071525
Txy_Y1_022,84,40.0584782,116.6058244,Gate_03_326,131,40.0583525,116.6074482
Txy_Y1_023,85,40.0576653,116.6059639,Gate_03_327,132,40.057788,116.6072497
Txy_Y1_023,85,40.0576653,116.6059639,Gate_03_328,133,40.0575519,116.6075743
Txy_Y1_024,86,40.0567932,116.606086,Gate_03_329,134,40.0569894,116.6073704
Txy_Y1_024,86,40.0567932,116.606086,Gate_03_330,135,40.0567389,116.6077107
Txy_Y1_025,87,40.055822,116.6060645,Gate_03_332,137,40.05531,116.6074223
Txy_Y1_025,87,40.055822,116.6060645,Gate_03_331,136,40.0559341,116.6076302
Txy_Y1_026,88,40.0553267,116.6058772,Gate_03_333,138,40.0547906,116.6070816
Txy_Y1_027,89,40.0549736,116.6055767,Gate_03_334,139,40.054224,116.6067222
Txy_Y1_028,90,40.0545537,116.6050296,Gate_03_335,140,40.0536553,116.6059041
Txy_Y1_029,91,40.0541659,116.6043597,Gate_03_336,141,40.0532734,116.6052006
