n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_001,2,31.1555647,121.7973825,Gate_01_005,211,31.1550057,121.7965854
Rwy_01_001,0,31.1277951,121.8283459,Rwy_01_002,3,31.1330482,121.8263503
Rwy_01_003,4,31.1375205,121.8246551,Rwy_01_002,3,31.1330482,121.8263503
Rwy_01_004,5,31.1412191,121.8232629,Rwy_01_003,4,31.1375205,121.8246551
Rwy_01_005,6,31.1426568,121.8227096,Rwy_01_004,5,31.1412191,121.8232629
Rwy_01_006,7,31.1448698,121.8218728,Rwy_01_005,6,31.1426568,121.8227096
Rwy_01_007,8,31.1465697,121.8212505,Rwy_01_006,7,31.1448698,121.8218728
Rwy_01_008,9,31.1499303,121.8199738,Rwy_01_007,8,31.1465697,121.8212505
Rwy_01_009,10,31.1554758,121.8178497,Rwy_01_008,9,31.1499303,121.8199738
Rwy_01_010,11,31.1592401,121.8164871,Rwy_01_009,10,31.1554758,121.8178497
Rwy_01_011,12,31.1600205,121.8161867,Rwy_01_010,11,31.1592401,121.8164871
Rwy_01_001,0,31.1277951,121.8283459,Txy_R1_H,13,31.1282435,121.8301497
Txy_R1_H,13,31.1282435,121.8301497,Txy_J1_H,14,31.1290517,121.8298708
Rwy_01_002,3,31.1330482,121.8263503,Txy_R2_H,15,31.1335579,121.828205
Txy_R2_H,15,31.1335579,121.828205,Txy_J1_H,14,31.1290517,121.8298708
Txy_R2_H,15,31.1335579,121.828205,Txy_H1_H,16,31.135446,121.8274847
Rwy_01_003,4,31.1375205,121.8246551,Txy_H1_H,16,31.135446,121.8274847
Txy_H2_H,17,31.1390726,121.8260868,Txy_H1_H,16,31.135446,121.8274847
Rwy_01_004,5,31.1412191,121.8232629,Txy_H2_H,17,31.1390726,121.8260868
Txy_H2_H,17,31.1390726,121.8260868,Txy_H3_H,18,31.1425324,121.8246879
Txy_H3_H4,20,31.1440292,121.8228103,Txy_H3_H,18,31.1425324,121.8246879
Txy_H3_H4,20,31.1440292,121.8228103,Txy_H4_H,19,31.1461503,121.8233682
Txy_H4_H,19,31.1461503,121.8233682,Txy_H3_H,18,31.1425324,121.8246879
Txy_H3_H,18,31.1425324,121.8246879,Rwy_01_006,7,31.1448698,121.8218728
Txy_H3_H4,20,31.1440292,121.8228103,Rwy_01_005,6,31.1426568,121.8227096
Txy_H5_H,21,31.149771,121.822063,Txy_H4_H,19,31.1461503,121.8233682
Rwy_01_007,8,31.1465697,121.8212505,Txy_H5_H,21,31.149771,121.822063
Rwy_01_008,9,31.1499303,121.8199738,Txy_H6_H,22,31.1531591,121.8207649
Txy_H6_H,22,31.1531591,121.8207649,Txy_H5_H,21,31.149771,121.822063
Txy_R5_H,23,31.1559657,121.819751,Txy_H6_H,22,31.1531591,121.8207649
Rwy_01_009,10,31.1554758,121.8178497,Txy_R5_H,23,31.1559657,121.819751
Txy_R5_H,23,31.1559657,121.819751,Txy_J2_H,24,31.1597421,121.818324
Txy_R6_H,25,31.1605408,121.8179968,Txy_J2_H,24,31.1597421,121.818324
Rwy_01_010,11,31.1592401,121.8164871,Txy_J2_H,24,31.1597421,121.818324
Rwy_01_011,12,31.1600205,121.8161867,Txy_R6_H,25,31.1605408,121.8179968
Txy_R1_G,39,31.127005,121.8258684,Rwy_01_001,0,31.1277951,121.8283459
Txy_R1_G,39,31.127005,121.8258684,Txy_R2_G,38,31.132148,121.8239425
Txy_R2_G,38,31.132148,121.8239425,Rwy_01_002,3,31.1330482,121.8263503
Txy_R2_G,38,31.132148,121.8239425,Txy_G1_G,37,31.1344255,121.8237494
Txy_G1_G,37,31.1344255,121.8237494,Rwy_01_003,4,31.1375205,121.8246551
Txy_G1_G,37,31.1344255,121.8237494,Txy_R3_G,36,31.136758,121.8228482
Txy_G2_G,35,31.1378064,121.82253,Txy_R3_G,36,31.136758,121.8228482
Txy_G2_G,35,31.1378064,121.82253,Rwy_01_004,5,31.1412191,121.8232629
Txy_G3_G,33,31.1410468,121.8212375,Txy_G2_G,35,31.1378064,121.82253
Txy_G3_G,33,31.1410468,121.8212375,Txy_G4_G3,34,31.14374,121.821731
Txy_G4_G3,34,31.14374,121.821731,Rwy_01_006,7,31.1448698,121.8218728
Txy_G4_G3,34,31.14374,121.821731,Rwy_01_005,6,31.1426568,121.8227096
Txy_R6_G,26,31.1593819,121.8136482,Rwy_01_011,12,31.1600205,121.8161867
Txy_R6_G,26,31.1593819,121.8136482,Txy_R5_G,27,31.1548554,121.8153755
Txy_R5_G,27,31.1548554,121.8153755,Rwy_01_009,10,31.1554758,121.8178497
Txy_G6_G,28,31.1525199,121.8167958,Txy_R5_G,27,31.1548554,121.8153755
Txy_G6_001,29,31.1513906,121.8181959,Txy_G6_G,28,31.1525199,121.8167958
Txy_G6_001,29,31.1513906,121.8181959,Rwy_01_008,9,31.1499303,121.8199738
Txy_G6_G,28,31.1525199,121.8167958,Txy_R4_G,30,31.1499261,121.817874
Txy_R4_G,30,31.1499261,121.817874,Txy_G5_G,31,31.1490125,121.8182334
