id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_F_050,0,1.3530375,103.9891106,n0,Gate,,,,
Gate_F_052,1,1.3524207,103.9888746,n1,Gate,,,,
Gate_D_044,2,1.3625808,103.9930205,n2,Gate,,,,
Gate_F_054,3,1.3517825,103.9885996,n3,Gate,,,,
Gate_F_056,4,1.3511832,103.9883229,n4,Gate,,,,
Gate_D_046,5,1.3632833,103.993384,n5,Gate,,,,
Gate_F_058,6,1.3505272,103.9880284,n6,Gate,,,,
Gate_F_059,7,1.3500573,103.987821,n7,Gate,,,,
Gate_F_060,8,1.3492073,103.9874627,n8,Gate,,,,
Gate_F_061,9,1.3485541,103.9871931,n9,Gate,,,,
Gate_F_062,10,1.3479427,103.9868954,n10,Gate,,,,
Gate_F_063,11,1.3472844,103.9866416,n11,Gate,,,,
Gate_F_064,12,1.3467015,103.986397,n12,Gate,,,,
Gate_F_040,13,1.3515738,103.9904494,n13,Gate,,,,
Gate_F_041,14,1.350894,103.9905084,n14,Gate,,,,
Gate_F_042,15,1.3501905,103.9907513,n15,Gate,,,,
Gate_F_037,16,1.3500068,103.9911201,n16,Gate,,,,
Gate_F_036,17,1.3511586,103.9914266,n17,Gate,,,,
Gate_F_035,18,1.3518376,103.9913261,n18,Gate,,,,
Gate_F_034,19,1.3524677,103.9913314,n19,Gate,,,,
Gate_F_033,20,1.3530471,103.9912043,n20,Gate,,,,
Gate_F_032,21,1.3535446,103.9908891,n21,Gate,,,,
Gate_F_031,22,1.3538207,103.9903567,n22,Gate,,,,
Gate_F_030,23,1.3539816,103.9898015,n23,Gate,,,,
Gate_E_001,24,1.3556502,103.9905098,n24,Gate,,,,
Gate_E_002,25,1.3555028,103.9910141,n25,Gate,,,,
Gate_E_003,26,1.3552829,103.9915398,n26,Gate,,,,
Gate_E_004,27,1.3552158,103.9922023,n27,Gate,,,,
Gate_E_005,28,1.3556214,103.9927238,n28,Gate,,,,
Gate_E_006,29,1.3560424,103.9933151,n29,Gate,,,,
Gate_E_007,30,1.3563615,103.9937094,n30,Gate,,,,
Gate_E_008,31,1.3575562,103.9939679,n31,Gate,,,,
Gate_E_012,32,1.35741,103.9935368,n32,Gate,,,,
Gate_E_011,33,1.3570107,103.9929792,n33,Gate,,,,
Gate_E_010,34,1.3566648,103.9924696,n34,Gate,,,,
Gate_E_020,35,1.3568404,103.9906913,n35,Gate,,,,
Gate_E_022,36,1.3574599,103.9909783,n36,Gate,,,,
Gate_E_024,37,1.3581365,103.9912948,n37,Gate,,,,
Gate_E_026,38,1.3587398,103.9914718,n38,Gate,,,,
Gate_E_027,39,1.3593439,103.9918017,n39,Gate,,,,
Gate_E_028,40,1.3600116,103.9920378,n40,Gate,,,,
Gate_D_040,41,1.3606585,103.9923242,n41,Gate,,,,
Gate_D_041,42,1.3612605,103.9925603,n42,Gate,,,,
Gate_D_042,43,1.3619461,103.9927832,n43,Gate,,,,
Gate_D_047,44,1.3638103,103.9940285,n44,Gate,,,,
Gate_D_048,45,1.3641942,103.994566,n45,Gate,,,,
Gate_D_049,46,1.3646078,103.9949023,n46,Gate,,,,
Txy_SC1_C6,47,1.3450955,103.9868658,n47,Txy,,,,
Txy_C6_001,48,1.3462771,103.987355,n48,Txy,,,,
Txy_C6_002,49,1.3468756,103.9875884,n49,Txy,,,,
Txy_C6_003,50,1.3475104,103.9878787,n50,Txy,,,,
Txy_C1_C6,51,1.3485326,103.9884074,n51,Txy,,,,
Txy_C2_C6,52,1.3494013,103.9888392,n52,Txy,,,,
Txy_C6_004,53,1.3501621,103.9891522,n53,Txy,,,,
Txy_C6_005,54,1.3507634,103.9893629,n54,Txy,,,,
Txy_C6_006,55,1.3520612,103.9897786,n55,Txy,,,,
Txy_C6_007,56,1.3500795,103.9897786,n56,Txy,,,,
Txy_C1_C2,57,1.3487602,103.9901917,n57,Txy,,,,
Txy_C3_C7,58,1.3477892,103.9901013,n58,Txy,,,,
