n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_L5_007,265,1.3361076,103.9844759,Txy_L5_008,266,1.3354105,103.9841862
Txy_E8_001,259,1.3364348,103.9852698,Txy_E8_EP,101,1.336078,103.9860897
Txy_SC1_EP,61,1.3440102,103.9894461,Txy_SC1_C7,62,1.3443665,103.9885982
Txy_SC1_C6,47,1.3450955,103.9868658,Txy_SC1_C7,62,1.3443665,103.9885982
Txy_SC1_C6,47,1.3450955,103.9868658,Txy_C6_001,48,1.3462771,103.987355
Txy_C6_001,48,1.3462771,103.987355,Txy_C6_002,49,1.3468756,103.9875884
Txy_C6_002,49,1.3468756,103.9875884,Txy_C6_003,50,1.3475104,103.9878787
Txy_C6_003,50,1.3475104,103.9878787,Txy_C1_C6,51,1.3485326,103.9884074
Txy_C1_C6,51,1.3485326,103.9884074,Txy_C2_C6,52,1.3494013,103.9888392
Txy_C6_004,53,1.3501621,103.9891522,Txy_C2_C6,52,1.3494013,103.9888392
Txy_C6_004,53,1.3501621,103.9891522,Txy_C6_005,54,1.3507634,103.9893629
Txy_C6_005,54,1.3507634,103.9893629,Txy_C6_006,55,1.3520612,103.9897786
Txy_C1_C6,51,1.3485326,103.9884074,Txy_C3_C7,58,1.3477892,103.9901013
Txy_C3_C7,58,1.3477892,103.9901013,Txy_C3_EP,60,1.3474336,103.9908738
Txy_C1_EP,59,1.3483416,103.9912493,Txy_C3_EP,60,1.3474336,103.9908738
Txy_C1_C2,57,1.3487602,103.9901917,Txy_C3_C7,58,1.3477892,103.9901013
Txy_C1_C2,57,1.3487602,103.9901917,Txy_C1_EP,59,1.3483416,103.9912493
Txy_C2_C6,52,1.3494013,103.9888392,Txy_C1_C2,57,1.3487602,103.9901917
Txy_C1_C2,57,1.3487602,103.9901917,Txy_C6_007,56,1.3500795,103.9897786
Txy_C6_004,53,1.3501621,103.9891522,Txy_C6_007,56,1.3500795,103.9897786
Txy_C6_005,54,1.3507634,103.9893629,Txy_C6_007,56,1.3500795,103.9897786
Txy_SC1_C7,62,1.3443665,103.9885982,Txy_C7_001,78,1.3454513,103.9890755
Txy_C7_001,78,1.3454513,103.9890755,Txy_C7_002,79,1.3465614,103.9895797
Txy_C7_002,79,1.3465614,103.9895797,Txy_C7_003,80,1.3471996,103.9898533
Txy_C7_003,80,1.3471996,103.9898533,Txy_C3_C7,58,1.3477892,103.9901013
Txy_SC1_EP,61,1.3440102,103.9894461,Txy_C3_EP,60,1.3474336,103.9908738
Txy_C1_EP,59,1.3483416,103.9912493,Txy_B3_EP,68,1.3511727,103.9924444
Txy_B3_001,67,1.352906,103.9922942,Txy_B3_EP,68,1.3511727,103.9924444
Txy_B3_EP,68,1.3511727,103.9924444,Txy_B2_EP,72,1.3533754,103.9934422
Txy_B2_EP,72,1.3533754,103.9934422,Txy_B2_B3,66,1.3539652,103.9921655
Txy_B2_B3,66,1.3539652,103.9921655,Txy_B3_001,67,1.352906,103.9922942
Txy_B2_001,63,1.3548152,103.9902021,Txy_B2_002,64,1.3545819,103.9907412
Txy_B2_003,65,1.354362,103.9912509,Txy_B2_002,64,1.3545819,103.9907412
Txy_B2_B3,66,1.3539652,103.9921655,Txy_B2_003,65,1.354362,103.9912509
Txy_B2_B3,66,1.3539652,103.9921655,Txy_B1_001,71,1.3547698,103.9933188
Txy_B1_001,71,1.3547698,103.9933188,Txy_E4_EP,69,1.3547215,103.993984
Txy_B2_EP,72,1.3533754,103.9934422,Txy_E4_EP,69,1.3547215,103.993984
Txy_E4_EP,69,1.3547215,103.993984,Txy_B1_EP,70,1.3557458,103.9943595
Txy_B1_EP,70,1.3557458,103.9943595,Txy_A4_EP,81,1.3583368,103.9954736
Txy_A4_EP,81,1.3583368,103.9954736,Txy_A4_A3,83,1.35868,103.9945885
Txy_A4_EP,81,1.3583368,103.9954736,Txy_A3_EP,82,1.3591573,103.9958491
Txy_A3_A7,84,1.3595005,103.9950069,Txy_A3_EP,82,1.3591573,103.9958491
Txy_A4_A3,83,1.35868,103.9945885,Txy_A3_A7,84,1.3595005,103.9950069
Txy_A4_001,89,1.3582687,103.9929789,Txy_A4_A3,83,1.35868,103.9945885
Txy_A4_A6,92,1.3593971,103.9929521,Txy_A4_A3,83,1.35868,103.9945885
Txy_A4_A6,92,1.3593971,103.9929521,Txy_A4_002,90,1.3574213,103.9921742
Txy_A4_001,89,1.3582687,103.9929789,Txy_A4_002,90,1.3574213,103.9921742
Txy_A4_A6,92,1.3593971,103.9929521,Txy_A3_A6,91,1.3602122,103.9933007
Txy_A3_A6,91,1.3602122,103.9933007,Txy_A3_A7,84,1.3595005,103.9950069
Txy_A3_EP,82,1.3591573,103.9958491,Txy_A2_EP,87,1.3615133,103.9968198
Txy_A2_A7,88,1.3618672,103.9960581,Txy_A2_EP,87,1.3615133,103.9968198
Txy_A2_A7,88,1.3618672,103.9960581,Txy_A3_A7,84,1.3595005,103.9950069
Txy_A2_EP,87,1.3615133,103.9968198,Txy_E1_EP,86,1.3625966,103.9972811
Txy_A2_A7,88,1.3618672,103.9960581,Txy_A1_A7,85,1.3629757,103.996466
Txy_A1_A7,85,1.3629757,103.996466,Txy_E1_EP,86,1.3625966,103.9972811
Txy_A3_A6,91,1.3602122,103.9933007,Txy_A6_001,93,1.3612721,103.9937021
Txy_A6_001,93,1.3612721,103.9937021,Txy_A6_002,94,1.3624204,103.9941807
Txy_A6_002,94,1.3624204,103.9941807,Txy_A6_003,95,1.3633536,103.9951355
Txy_A6_003,95,1.3633536,103.9951355,Txy_A1_A7,85,1.3629757,103.996466
Txy_E1_EP,86,1.3625966,103.9972811,Txy_A7_E1,97,1.3641188,103.9979184
Txy_E11_EP,98,1.3297327,103.9835373,Txy_E10_EP,99,1.3307034,103.9838324
Txy_E10_EP,99,1.3307034,103.9838324,Txy_E9_EP,100,1.3349782,103.9856123
Txy_E9_EP,100,1.3349782,103.9856123,Txy_E8_EP,101,1.336078,103.9860897
Txy_E7_EP,102,1.3389714,103.9873227,Txy_L7_E7,104,1.3399904,103.9886852
Txy_L7_EP,103,1.3402478,103.9878537,Txy_L7_E7,104,1.3399904,103.9886852
Txy_E7_EP,102,1.3389714,103.9873227,Txy_L7_EP,103,1.3402478,103.9878537
Txy_L7_EP,103,1.3402478,103.9878537,Txy_E6_EP,105,1.342642,103.9888783
Txy_SC2_EP,106,1.3431086,103.9890715,Txy_E6_EP,105,1.342642,103.9888783
Txy_SC2_EP,106,1.3431086,103.9890715,Txy_SC1_EP,61,1.3440102,103.9894461
Txy_SC1_EP,61,1.3440102,103.9894461,Txy_E6_001,107,1.3437253,103.9902784
Txy_SC2_EP,106,1.3431086,103.9890715,Txy_E6_001,107,1.3437253,103.9902784
Txy_A6_003,95,1.3633536,103.9951355,Txy_A6_N3,96,1.3648469,103.9962425
Txy_A7_001,108,1.3644866,103.9971043,Txy_A1_A7,85,1.3629757,103.996466
Txy_A7_001,108,1.3644866,103.9971043,Txy_A7_E1,97,1.3641188,103.9979184
Txy_A6_N3,96,1.3648469,103.9962425,Txy_A7_001,108,1.3644866,103.9971043
Txy_C7_001,78,1.3454513,103.9890755,Parking_01_285,73,1.3456149,103.9878803
Txy_C7_001,78,1.3454513,103.9890755,Parking_01_286,74,1.3462021,103.9880921
Txy_C7_002,79,1.3465614,103.9895797,Parking_01_287,75,1.3466888,103.9884449
Txy_C7_002,79,1.3465614,103.9895797,Parking_01_288,76,1.3471433,103.9886246
Txy_C7_003,80,1.3471996,103.9898533,Parking_01_289,77,1.3475911,103.9888606
Txy_C6_001,48,1.3462771,103.987355,Gate_F_064,12,1.3467015,103.986397
Txy_C6_002,49,1.3468756,103.9875884,Gate_F_063,11,1.3472844,103.9866416
Txy_C6_003,50,1.3475104,103.9878787,Gate_F_062,10,1.3479427,103.9868954
Txy_C1_C6,51,1.3485326,103.9884074,Gate_F_061,9,1.3485541,103.9871931
Txy_C1_C6,51,1.3485326,103.9884074,Gate_F_060,8,1.3492073,103.9874627
Txy_C2_C6,52,1.3494013,103.9888392,Gate_F_059,7,1.3500573,103.987821
Txy_C6_004,53,1.3501621,103.9891522,Gate_F_058,6,1.3505272,103.9880284
Txy_C6_005,54,1.3507634,103.9893629,Gate_F_056,4,1.3511832,103.9883229
Txy_C6_006,55,1.3520612,103.9897786,Gate_F_054,3,1.3517825,103.9885996
Txy_C6_006,55,1.3520612,103.9897786,Gate_F_052,1,1.3524207,103.9888746
Txy_C6_006,55,1.3520612,103.9897786,Gate_F_050,0,1.3530375,103.9891106
Txy_C6_006,55,1.3520612,103.9897786,Gate_F_040,13,1.3515738,103.9904494
Txy_C6_005,54,1.3507634,103.9893629,Gate_F_041,14,1.350894,103.9905084
Txy_C6_007,56,1.3500795,103.9897786,Gate_F_042,15,1.3501905,103.9907513
Txy_C1_C2,57,1.3487602,103.9901917,Gate_F_037,16,1.3500068,103.9911201
Txy_B2_001,63,1.3548152,103.9902021,Gate_F_030,23,1.3539816,103.9898015
Txy_B2_001,63,1.3548152,103.9902021,Gate_E_001,24,1.3556502,103.9905098
Txy_B2_002,64,1.3545819,103.9907412,Gate_E_002,25,1.3555028,103.9910141
Txy_B2_003,65,1.354362,103.9912509,Gate_E_003,26,1.3552829,103.9915398
Txy_B2_002,64,1.3545819,103.9907412,Gate_F_031,22,1.3538207,103.9903567
Txy_B2_003,65,1.354362,103.9912509,Gate_F_032,21,1.3535446,103.9908891
Txy_B2_B3,66,1.3539652,103.9921655,Gate_F_033,20,1.3530471,103.9912043
Txy_B3_001,67,1.352906,103.9922942,Gate_F_034,19,1.3524677,103.9913314
Txy_B3_001,67,1.352906,103.9922942,Gate_F_035,18,1.3518376,103.9913261
Txy_B3_EP,68,1.3511727,103.9924444,Gate_F_036,17,1.3511586,103.9914266
Txy_B2_B3,66,1.3539652,103.9921655,Gate_E_004,27,1.3552158,103.9922023
Txy_B1_001,71,1.3547698,103.9933188,Gate_E_005,28,1.3556214,103.9927238
Txy_B1_001,71,1.3547698,103.9933188,Gate_E_006,29,1.3560424,103.9933151
Txy_B1_EP,70,1.3557458,103.9943595,Gate_E_007,30,1.3563615,103.9937094
Txy_B1_EP,70,1.3557458,103.9943595,Txy_B1_001,71,1.3547698,103.9933188
Txy_A4_A3,83,1.35868,103.9945885,Gate_E_008,31,1.3575562,103.9939679
Txy_A4_001,89,1.3582687,103.9929789,Gate_E_012,32,1.35741,103.9935368
Txy_A4_002,90,1.3574213,103.9921742,Gate_E_011,33,1.3570107,103.9929792
Txy_A4_002,90,1.3574213,103.9921742,Gate_E_010,34,1.3566648,103.9924696
Txy_A4_002,90,1.3574213,103.9921742,Gate_E_020,35,1.3568404,103.9906913
Txy_A4_002,90,1.3574213,103.9921742,Gate_E_022,36,1.3574599,103.9909783
Txy_A4_002,90,1.3574213,103.9921742,Gate_E_024,37,1.3581365,103.9912948
Txy_A4_A6,92,1.3593971,103.9929521,Gate_E_026,38,1.3587398,103.9914718
Txy_A4_A6,92,1.3593971,103.9929521,Gate_E_027,39,1.3593439,103.9918017
Txy_A4_A6,92,1.3593971,103.9929521,Gate_E_028,40,1.3600116,103.9920378
Txy_A3_A6,91,1.3602122,103.9933007,Gate_D_040,41,1.3606585,103.9923242
Txy_A6_001,93,1.3612721,103.9937021,Gate_D_041,42,1.3612605,103.9925603
Txy_A6_001,93,1.3612721,103.9937021,Gate_D_042,43,1.3619461,103.9927832
Txy_A6_001,93,1.3612721,103.9937021,Parking_02_400,109,1.3606788,103.99463
Txy_A6_001,93,1.3612721,103.9937021,Parking_02_401,110,1.3613143,103.9949049
Txy_A6_002,94,1.3624204,103.9941807,Parking_02_402,111,1.3618653,103.9950497
Txy_A6_002,94,1.3624204,103.9941807,Parking_02_403,112,1.3622957,103.9951919
Txy_A6_002,94,1.3624204,103.9941807,Parking_02_404,113,1.3625826,103.9953796
Txy_A6_002,94,1.3624204,103.9941807,Gate_D_044,2,1.3625808,103.9930205
Txy_A6_002,94,1.3624204,103.9941807,Gate_D_046,5,1.3632833,103.993384
Txy_A6_003,95,1.3633536,103.9951355,Gate_D_047,44,1.3638103,103.9940285
Txy_A6_003,95,1.3633536,103.9951355,Gate_D_048,45,1.3641942,103.994566
Txy_A6_N3,96,1.3648469,103.9962425,Gate_D_049,46,1.3646078,103.9949023
Txy_N2_002,132,1.3629426,103.9908959,Txy_N2_001,131,1.3634655,103.9911024
Txy_N2_001,131,1.3634655,103.9911024,Txy_N1_N3,130,1.3643289,103.9914645
Txy_N3_001,133,1.3650813,103.992437,Txy_N1_N3,130,1.3643289,103.9914645
Txy_N3_002,134,1.3655532,103.9930513,Txy_N3_001,133,1.3650813,103.992437
Txy_N1_N3,130,1.3643289,103.9914645,Txy_N1_003,129,1.3654685,103.9913546
Txy_N1_003,129,1.3654685,103.9913546,Txy_N1_002,128,1.366096,103.991317
Txy_N1_001,127,1.3664714,103.9912714,Txy_N1_002,128,1.366096,103.991317
Txy_NC3_N1,135,1.3670691,103.9911435,Txy_N1_001,127,1.3664714,103.9912714
Txy_N3_002,134,1.3655532,103.9930513,Txy_NC3_N3,136,1.3659858,103.9936165
Txy_NC3_N1,135,1.3670691,103.9911435,Txy_NC3_N3,136,1.3659858,103.9936165
Txy_A7_001,108,1.3644866,103.9971043,Txy_A7_NC2,142,1.3661368,103.9977251
Txy_A6_N3,96,1.3648469,103.9962425,Txy_A6_NC2,141,1.3665122,103.9969204
Txy_A6_NC2,141,1.3665122,103.9969204,Txy_A7_NC2,142,1.3661368,103.9977251
Txy_EA_NC2,143,1.3668917,103.9960513,Txy_A6_NC2,141,1.3665122,103.9969204
Txy_N3_NC2,140,1.3675826,103.994408,Txy_EA_NC2,143,1.3668917,103.9960513
Txy_N3_NC2,140,1.3675826,103.994408,Txy_NC3_N3,136,1.3659858,103.9936165
Txy_NC3_N3,136,1.3659858,103.9936165,Txy_A6_N3,96,1.3648469,103.9962425
Txy_EA_NC2,143,1.3668917,103.9960513,Txy_EA_NC1,144,1.3678892,103.9965234
Txy_N3_NC1,137,1.3686029,103.9948395,Txy_EA_NC1,144,1.3678892,103.9965234
Txy_N3_NC1,137,1.3686029,103.9948395,Txy_N3_NC2,140,1.3675826,103.994408
Txy_N3_NC2,140,1.3675826,103.994408,Txy_NC2_001,145,1.3681531,103.9931045
Txy_N1_NC2,139,1.3687162,103.9917496,Txy_NC2_001,145,1.3681531,103.9931045
Txy_N1_NC2,139,1.3687162,103.9917496,Txy_N1_NC2,139,1.3687162,103.9917496
Txy_N1_NC1,138,1.3697512,103.992152,Txy_N3_NC1,137,1.3686029,103.9948395
Txy_NC3_N1,135,1.3670691,103.9911435,Txy_N1_NC2,139,1.3687162,103.9917496
Txy_NC2_002,146,1.3692471,103.9904866,Txy_N1_NC2,139,1.3687162,103.9917496
Gate_C_011,114,1.3632098,103.9898556,Txy_N2_002,132,1.3629426,103.9908959
Gate_C_013,115,1.3638523,103.990033,Txy_N2_001,131,1.3634655,103.9911024
Gate_C_015,116,1.3644757,103.9902972,Txy_N1_N3,130,1.3643289,103.9914645
Gate_C_016,117,1.3648632,103.9904763,Txy_N1_003,129,1.3654685,103.9913546
Gate_C_017,118,1.365393,103.9904443,Txy_N1_003,129,1.3654685,103.9913546
Gate_C_018,119,1.3660513,103.9903625,Txy_N1_002,128,1.366096,103.991317
Gate_C_019,120,1.366617,103.990333,Txy_N1_001,127,1.3664714,103.9912714
Gate_D_032,121,1.3629225,103.9921219,Txy_N2_001,131,1.3634655,103.9911024
Gate_D_034,122,1.3635459,103.9924129,Txy_N1_N3,130,1.3643289,103.9914645
Gate_D_035,123,1.3640286,103.9925229,Txy_N3_001,133,1.3650813,103.992437
Gate_D_036,124,1.3643423,103.992995,Txy_N3_001,133,1.3650813,103.992437
Gate_D_037,125,1.3646802,103.993522,Txy_N3_002,134,1.3655532,103.9930513
Gate_D_038,126,1.3650998,103.9938881,Txy_N3_002,134,1.3655532,103.9930513
