id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_01_050,0,-33.9385605,151.1653275,n0,Gate,,,,
Gate_01_054,1,-33.9394951,151.1647468,n1,Gate,,,,
Gate_01_056,2,-33.9396375,151.1642085,n2,Gate,,,,
Gate_01_063,3,-33.9399449,151.1639993,n3,Gate,,,,
Gate_01_061,4,-33.9404457,151.1640316,n4,Gate,,,,
Gate_01_060,5,-33.9402317,151.1645206,n5,Gate,,,,
Gate_01_059,6,-33.9401063,151.1653213,n6,Gate,,,,
Gate_01_058,7,-33.9399055,151.166046,n7,Gate,,,,
Gate_01_057,8,-33.9396464,151.166561,n8,Gate,,,,
Gate_01_055,9,-33.9393504,151.1666066,n9,Gate,,,,
Gate_01_053,10,-33.9389354,151.1662256,n10,Gate,,,,
Gate_01_051,11,-33.9383081,151.1659958,n11,Gate,,,,
Gate_01_030,12,-33.9375863,151.1684257,n12,Gate,,,,
Gate_01_032,13,-33.9382139,151.1686537,n13,Gate,,,,
Gate_01_034,14,-33.9388428,151.1688597,n14,Gate,,,,
Gate_01_036,15,-33.9394855,151.1690741,n15,Gate,,,,
Gate_01_037,16,-33.9392997,151.1696218,n16,Gate,,,,
Gate_01_035,17,-33.9386669,151.169417,n17,Gate,,,,
Gate_01_033,18,-33.9380113,151.169335,n18,Gate,,,,
Gate_01_031,19,-33.9373593,151.1692143,n19,Gate,,,,
Gate_01_025,20,-33.9363457,151.1701754,n20,Gate,,,,
Gate_01_024,21,-33.9364804,151.1692031,n21,Gate,,,,
Gate_01_010,22,-33.9357482,151.1679344,n22,Gate,,,,
Gate_01_009,23,-33.9348388,151.1676311,n23,Gate,,,,
Gate_01_008,24,-33.9340554,151.1675171,n24,Gate,,,,
Ramp_01_001,25,-33.9386811,151.1642771,n25,Ramp,,,,
Ramp_01_002,26,-33.9391707,151.1630862,n26,Ramp,,,,
Ramp_01_003,27,-33.9407104,151.1627223,n27,Ramp,,,,
Txy_G1_G,28,-33.9418897,151.1630549,n28,Txy,,,,
Txy_G1_H,29,-33.9427486,151.1633553,n29,Txy,,,,
Txy_G2_G,30,-33.9415394,151.1644563,n30,Txy,,,,
Txy_G2_H,31,-33.9423894,151.1647728,n31,Txy,,,,
Txy_G_001,32,-33.941129,151.1661947,n32,Txy,,,,
Txy_G_Y,33,-33.9406617,151.1681903,n33,Txy,,,,
Ramp_02_001,34,-33.9380066,151.1672863,n34,Ramp,,,,
Ramp_02_002,35,-33.9386329,151.1674963,n35,Ramp,,,,
Ramp_02_003,36,-33.9392804,151.1677163,n36,Ramp,,,,
Txy_H_Y,37,-33.9415397,151.1684324,n37,Txy,,,,
Txy_G_A,38,-33.9397109,151.1722479,n38,Txy,,,,
Txy_G_002,39,-33.9399821,151.1710961,n39,Txy,,,,
Ramp_03_001,40,-33.9386358,151.1707555,n40,Ramp,,,,
Ramp_03_002,41,-33.9375588,151.1704658,n41,Ramp,,,,
Txy_A_F,42,-33.9346269,151.1709199,n42,Txy,,,,
Ramp_04_001,43,-33.9351319,151.1697747,n43,Ramp,,,,
Ramp_04_002,44,-33.9344866,151.1690559,n44,Ramp,,,,
Gate_02_049,45,-33.9341241,151.1772566,n45,Gate,,,,
Gate_02_053,46,-33.9346449,151.1771413,n46,Gate,,,,
Gate_02_055,47,-33.9351511,151.1770582,n47,Gate,,,,
Gate_02_057,48,-33.9356051,151.1770032,n48,Gate,,,,
Gate_02_059,49,-33.9359255,151.1771306,n49,Gate,,,,
Gate_02_058,50,-33.9359344,151.1774015,n50,Gate,,,,
Gate_02_056,51,-33.9356091,151.177486,n51,Gate,,,,
Gate_02_054,52,-33.9352227,151.1775638,n52,Gate,,,,
Gate_02_052,53,-33.9348321,151.1776255,n53,Gate,,,,
Gate_02_031,54,-33.9347486,151.1793582,n54,Gate,,,,
Gate_02_033,55,-33.9352471,151.179338,n55,Gate,,,,
Gate_02_035,56,-33.9357723,151.1791624,n56,Gate,,,,
Gate_02_039,57,-33.936273,151.1791141,n57,Gate,,,,
Gate_02_041,58,-33.9366079,151.1789786,n58,Gate,,,,
Gate_02_043,59,-33.9369951,151.1788606,n59,Gate,,,,
Gate_02_045,60,-33.9371675,151.179279,n60,Gate,,,,
Gate_02_042,61,-33.9367335,151.1796945,n61,Gate,,,,
Gate_02_040,62,-33.9363552,151.1797723,n62,Gate,,,,
Gate_02_038,63,-33.9359458,151.179716,n63,Gate,,,,
Gate_02_036,64,-33.9355363,151.1798461,n64,Gate,,,,
Gate_02_034,65,-33.935069,151.179944,n65,Gate,,,,
Gate_02_032,66,-33.9347641,151.180172,n66,Gate,,,,
Ramp_05_001,67,-33.9347845,151.1784919,n67,Ramp,,,,
Ramp_05_002,68,-33.9353364,151.1783765,n68,Ramp,,,,
Ramp_05_003,69,-33.935806,151.17828,n69,Ramp,,,,
Ramp_06_001,70,-33.9348731,151.1807878,n70,Ramp,,,,
Ramp_06_002,71,-33.9355852,151.1806403,n71,Ramp,,,,
Ramp_06_003,72,-33.9363285,151.1805625,n72,Ramp,,,,
Ramp_06_004,73,-33.9369716,151.1806323,n73,Ramp,,,,
Gate_F_006,74,-33.9365319,151.1813705,n74,Gate,,,,
Gate_F_005,75,-33.9362304,151.1813839,n75,Gate,,,,
Gate_F_004,76,-33.935871,151.181404,n76,Gate,,,,
Gate_F_003,77,-33.9355093,151.1812136,n77,Gate,,,,
Gate_F_002,78,-33.9351422,151.1812257,n78,Gate,,,,
Gate_01_001,79,-33.9286379,151.1682619,n79,Gate,,,,
Gate_01_002,80,-33.9298481,151.1673326,n80,Gate,,,,
Gate_01_003,81,-33.9304968,151.1674211,n81,Gate,,,,
Gate_01_004,82,-33.9311366,151.1675807,n82,Gate,,,,
Gate_01_005,83,-33.931839,151.1677957,n83,Gate,,,,
Gate_01_006,84,-33.9324574,151.1678644,n84,Gate,,,,
Txy_C2_C,85,-33.9364346,151.1763819,n85,Txy,,,,
Txy_B4_G,86,-33.9381084,151.1790476,n86,Txy,,,,
Txy_C2_001,87,-33.9367425,151.17806,n87,Txy,,,,
Txy_C_G,88,-33.9384159,151.1777274,n88,Txy,,,,
Txy_B4_001,89,-33.9375391,151.1779044,n89,Txy,,,,
Txy_B2_B,90,-33.9297521,151.1739728,n90,Txy,,,,
Txy_B1_B,91,-33.9289667,151.1738977,n91,Txy,,,,
