n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_001,25,-33.9386811,151.1642771,Gate_01_050,0,-33.9385605,151.1653275
Ramp_01_001,25,-33.9386811,151.1642771,Gate_01_054,1,-33.9394951,151.1647468
Ramp_01_001,25,-33.9386811,151.1642771,Ramp_01_002,26,-33.9391707,151.1630862
Ramp_01_002,26,-33.9391707,151.1630862,Gate_01_056,2,-33.9396375,151.1642085
Ramp_01_002,26,-33.9391707,151.1630862,Ramp_01_003,27,-33.9407104,151.1627223
Ramp_01_003,27,-33.9407104,151.1627223,Gate_01_063,3,-33.9399449,151.1639993
Ramp_01_003,27,-33.9407104,151.1627223,Txy_G1_G,28,-33.9418897,151.1630549
Txy_G1_G,28,-33.9418897,151.1630549,Gate_01_061,4,-33.9404457,151.1640316
Txy_G1_G,28,-33.9418897,151.1630549,Txy_G2_G,30,-33.9415394,151.1644563
Txy_G2_G,30,-33.9415394,151.1644563,Txy_G_001,32,-33.941129,151.1661947
Txy_G2_G,30,-33.9415394,151.1644563,Gate_01_060,5,-33.9402317,151.1645206
Txy_G_001,32,-33.941129,151.1661947,Gate_01_059,6,-33.9401063,151.1653213
Txy_G_001,32,-33.941129,151.1661947,Gate_01_058,7,-33.9399055,151.166046
Txy_G_001,32,-33.941129,151.1661947,Txy_G_Y,33,-33.9406617,151.1681903
Txy_G_Y,33,-33.9406617,151.1681903,Ramp_02_003,36,-33.9392804,151.1677163
Ramp_02_002,35,-33.9386329,151.1674963,Ramp_02_003,36,-33.9392804,151.1677163
Ramp_02_002,35,-33.9386329,151.1674963,Ramp_02_001,34,-33.9380066,151.1672863
Txy_G_Y,33,-33.9406617,151.1681903,Gate_01_057,8,-33.9396464,151.166561
Ramp_02_003,36,-33.9392804,151.1677163,Gate_01_055,9,-33.9393504,151.1666066
Ramp_02_003,36,-33.9392804,151.1677163,Gate_01_036,15,-33.9394855,151.1690741
Ramp_02_003,36,-33.9392804,151.1677163,Gate_01_034,14,-33.9388428,151.1688597
Ramp_02_002,35,-33.9386329,151.1674963,Gate_01_053,10,-33.9389354,151.1662256
Ramp_02_002,35,-33.9386329,151.1674963,Gate_01_032,13,-33.9382139,151.1686537
Ramp_02_001,34,-33.9380066,151.1672863,Gate_01_030,12,-33.9375863,151.1684257
Ramp_02_001,34,-33.9380066,151.1672863,Gate_01_051,11,-33.9383081,151.1659958
Txy_G_Y,33,-33.9406617,151.1681903,Txy_G_002,180,-33.9377252,151.180626
Txy_G_002,180,-33.9377252,151.180626,Ramp_03_001,40,-33.9386358,151.1707555
Ramp_03_001,40,-33.9386358,151.1707555,Gate_01_037,16,-33.9392997,151.1696218
Ramp_03_001,40,-33.9386358,151.1707555,Gate_01_035,17,-33.9386669,151.169417
Ramp_03_001,40,-33.9386358,151.1707555,Ramp_03_002,41,-33.9375588,151.1704658
Ramp_03_002,41,-33.9375588,151.1704658,Gate_01_033,18,-33.9380113,151.169335
Ramp_03_002,41,-33.9375588,151.1704658,Gate_01_031,19,-33.9373593,151.1692143
Ramp_04_001,43,-33.9351319,151.1697747,Gate_01_025,20,-33.9363457,151.1701754
Ramp_04_001,43,-33.9351319,151.1697747,Gate_01_024,21,-33.9364804,151.1692031
Ramp_04_001,43,-33.9351319,151.1697747,Gate_01_010,22,-33.9357482,151.1679344
Ramp_04_001,43,-33.9351319,151.1697747,Ramp_04_002,44,-33.9344866,151.1690559
Gate_01_009,23,-33.9348388,151.1676311,Ramp_04_002,44,-33.9344866,151.1690559
Ramp_04_002,44,-33.9344866,151.1690559,Gate_01_008,24,-33.9340554,151.1675171
Ramp_06_001,70,-33.9348731,151.1807878,Ramp_06_002,71,-33.9355852,151.1806403
Ramp_06_003,72,-33.9363285,151.1805625,Ramp_06_002,71,-33.9355852,151.1806403
Ramp_06_004,73,-33.9369716,151.1806323,Ramp_06_003,72,-33.9363285,151.1805625
Ramp_06_001,70,-33.9348731,151.1807878,Gate_02_032,66,-33.9347641,151.180172
Ramp_06_001,70,-33.9348731,151.1807878,Gate_F_002,78,-33.9351422,151.1812257
Ramp_06_002,71,-33.9355852,151.1806403,Gate_02_034,65,-33.935069,151.179944
Ramp_06_002,71,-33.9355852,151.1806403,Gate_F_003,77,-33.9355093,151.1812136
Ramp_06_002,71,-33.9355852,151.1806403,Gate_02_036,64,-33.9355363,151.1798461
Ramp_06_003,72,-33.9363285,151.1805625,Gate_02_038,63,-33.9359458,151.179716
Ramp_06_003,72,-33.9363285,151.1805625,Gate_F_004,76,-33.935871,151.181404
Ramp_06_003,72,-33.9363285,151.1805625,Gate_02_040,62,-33.9363552,151.1797723
