n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,31.9964001,34.886164,Rwy_01_002,1,31.9998849,34.8883956
Rwy_01_003,2,32.0005153,34.8887781,Rwy_01_002,1,31.9998849,34.8883956
Rwy_01_003,2,32.0005153,34.8887781,Rwy_01_02,3,32.0021621,34.8898509
Rwy_01_02,3,32.0021621,34.8898509,Rwy_01_004,4,32.0042956,34.8912242
Rwy_01_005,5,32.0095559,34.8946535,Rwy_01_004,4,32.0042956,34.8912242
Rwy_01_006,6,32.0178716,34.9000428,Rwy_01_005,5,32.0095559,34.8946535
Rwy_02_001,7,31.9996702,34.894687,Rwy_02_002,8,32.0012533,34.8916172
Rwy_01_02,3,32.0021621,34.8898509,Rwy_02_002,8,32.0012533,34.8916172
Rwy_01_02,3,32.0021621,34.8898509,Rwy_02_003,9,32.003074,34.8881493
Rwy_02_004,10,32.0045206,34.8853222,Rwy_02_003,9,32.003074,34.8881493
Rwy_02_005,11,32.0072617,34.8801216,Rwy_02_004,10,32.0045206,34.8853222
Rwy_02_006,12,32.0104415,34.8739717,Rwy_02_005,11,32.0072617,34.8801216
Rwy_02_007,13,32.0122358,34.8705309,Rwy_02_006,12,32.0104415,34.8739717
Rwy_02_007,13,32.0122358,34.8705309,Rwy_02_03,14,32.0138738,34.8673927
Rwy_03_001,15,32.0122497,34.8568376,Rwy_03_002,16,32.013587,34.8655923
Rwy_02_03,14,32.0138738,34.8673927,Rwy_03_002,16,32.013587,34.8655923
Rwy_02_03,14,32.0138738,34.8673927,Rwy_03_003,17,32.0145995,34.872378
Rwy_03_004,18,32.0160732,34.8818071,Rwy_03_003,17,32.0145995,34.872378
Rwy_03_005,19,32.0175014,34.8912163,Rwy_03_004,18,32.0160732,34.8818071
Rwy_03_006,20,32.0176697,34.8923321,Rwy_03_005,19,32.0175014,34.8912163
Rwy_03_007,21,32.0185521,34.8981149,Rwy_03_006,20,32.0176697,34.8923321
Rwy_03_001,15,32.0122497,34.8568376,Txy_S_001,22,32.0114695,34.8571417
Txy_S_001,22,32.0114695,34.8571417,Txy_S_002,23,32.0116151,34.8599741
Txy_S_002,23,32.0116151,34.8599741,Txy_S_003,24,32.0111238,34.8627099
Txy_S_003,24,32.0111238,34.8627099,Txy_S_K,25,32.011732,34.8672141
Rwy_03_002,16,32.013587,34.8655923,Txy_S_K,25,32.011732,34.8672141
Txy_S_K,25,32.011732,34.8672141,Txy_K_Z,26,32.0106523,34.8694269
Txy_K_Z,26,32.0106523,34.8694269,Rwy_02_007,13,32.0122358,34.8705309
Rwy_02_007,13,32.0122358,34.8705309,Rwy_03_003,17,32.0145995,34.872378
Rwy_03_007,21,32.0185521,34.8981149,Rwy_01_006,6,32.0178716,34.9000428
Rwy_03_007,21,32.0185521,34.8981149,Txy_E_R,27,32.0162542,34.8966075
Txy_E_R,27,32.0162542,34.8966075,Txy_W1_R,32,32.0156428,34.8927391
Txy_W1_R,32,32.0156428,34.8927391,Rwy_03_006,20,32.0176697,34.8923321
Rwy_03_005,19,32.0175014,34.8912163,Txy_W2_R,31,32.0154973,34.8916233
Txy_W2_R,31,32.0154973,34.8916233,Txy_W1_R,32,32.0156428,34.8927391
Txy_W2_R,31,32.0154973,34.8916233,Txy_W3_R,30,32.0145967,34.8868597
Rwy_03_004,18,32.0160732,34.8818071,Txy_W3_R,30,32.0145967,34.8868597
Txy_W3_R,30,32.0145967,34.8868597,Txy_R_001,29,32.0128045,34.884156
Txy_N_R,28,32.009302,34.8816025,Txy_R_001,29,32.0128045,34.884156
Txy_N_R,28,32.009302,34.8816025,Rwy_02_005,11,32.0072617,34.8801216
Txy_E_R,27,32.0162542,34.8966075,Txy_E2_E,34,32.0103764,34.8928709
Txy_E2_E,34,32.0103764,34.8928709,Rwy_01_005,5,32.0095559,34.8946535
Txy_E2_E,34,32.0103764,34.8928709,Txy_N_E,33,32.0051542,34.8894592
Txy_N_E,33,32.0051542,34.8894592,Rwy_01_004,4,32.0042956,34.8912242
Txy_N_E,33,32.0051542,34.8894592,Rwy_02_003,9,32.003074,34.8881493
Txy_N_R,28,32.009302,34.8816025,Txy_N_E,33,32.0051542,34.8894592
Rwy_02_003,9,32.003074,34.8881493,Txy_E_K,36,32.0014118,34.8870561
Txy_E_K,36,32.0014118,34.8870561,Txy_E3_K,35,32.0010934,34.8876998
Txy_E_M,37,32.0007773,34.8866613,Txy_E3_K,35,32.0010934,34.8876998
Txy_E_K,36,32.0014118,34.8870561,Txy_E_M,37,32.0007773,34.8866613
Txy_E3_K,35,32.0010934,34.8876998,Rwy_01_02,3,32.0021621,34.8898509
Txy_E4_E,42,31.9989208,34.8854589,Txy_E5_E,41,31.9977289,34.8851209
Txy_E4_E,42,31.9989208,34.8854589,Txy_E4_001,40,31.9984386,34.8861294
Txy_E5_E,41,31.9977289,34.8851209,Txy_E4_001,40,31.9984386,34.8861294
Txy_E5_E,41,31.9977289,34.8851209,Rwy_01_001,0,31.9964001,34.886164
Txy_E4_001,40,31.9984386,34.8861294,Rwy_01_002,1,31.9998849,34.8883956
Txy_E4_E,42,31.9989208,34.8854589,Txy_E_M,37,32.0007773,34.8866613
Txy_E_M,37,32.0007773,34.8866613,Rwy_01_002,1,31.9998849,34.8883956
Txy_E3_K,35,32.0010934,34.8876998,Rwy_01_003,2,32.0005153,34.8887781
Txy_K_Z,26,32.0106523,34.8694269,Rwy_02_006,12,32.0104415,34.8739717
Txy_K_Z,26,32.0106523,34.8694269,Txy_K5_K,43,32.0095885,34.8712724
Txy_K5_K,43,32.0095885,34.8712724,Txy_K4_K,44,32.0092116,34.8720019
Txy_K4_K,44,32.0092116,34.8720019,Txy_M2_K,45,32.0083655,34.8736327
Txy_M2_K,45,32.0083655,34.8736327,Txy_M1_K,46,32.0064459,34.8773395
Txy_M1_K,46,32.0064459,34.8773395,Txy_R_K,38,32.0056793,34.878984
Txy_R_K,38,32.0056793,34.878984,Txy_K2_K,53,32.0052555,34.8796885
Txy_K2_K,53,32.0052555,34.8796885,Txy_E_K,36,32.0014118,34.8870561
Rwy_02_004,10,32.0045206,34.8853222,Txy_E_K,36,32.0014118,34.8870561
Rwy_02_005,11,32.0072617,34.8801216,Txy_R_K,38,32.0056793,34.878984
Txy_K_Z,26,32.0106523,34.8694269,Txy_M_001,67,31.9994347,34.8892889
Txy_M_001,67,31.9994347,34.8892889,Txy_K5_M,50,32.0090069,34.8708754
Txy_K5_M,50,32.0090069,34.8708754,Txy_K5_K,43,32.0095885,34.8712724
Txy_K5_M,50,32.0090069,34.8708754,Txy_K4_M,49,32.0086066,34.8715942
Txy_K4_M,49,32.0086066,34.8715942,Txy_K4_K,44,32.0092116,34.8720019
Txy_K4_M,49,32.0086066,34.8715942,Txy_M2_M,48,32.0077832,34.8731928
Txy_M2_K,45,32.0083655,34.8736327,Txy_M2_M,48,32.0077832,34.8731928
Txy_M2_M,48,32.0077832,34.8731928,Txy_M1_M,47,32.0058545,34.8769318
Txy_M1_M,47,32.0058545,34.8769318,Txy_M1_K,46,32.0064459,34.8773395
Txy_M1_M,47,32.0058545,34.8769318,Txy_R_M,39,32.0050106,34.8785012
Txy_R_K,38,32.0056793,34.878984,Txy_R_M,39,32.0050106,34.8785012
Txy_K2_M,52,32.0046323,34.8792378,Txy_R_M,39,32.0050106,34.8785012
Txy_K2_K,53,32.0052555,34.8796885,Txy_K2_M,52,32.0046323,34.8792378
Txy_K2_M,52,32.0046323,34.8792378,Txy_E_M,37,32.0007773,34.8866613
Txy_K4_M,49,32.0086066,34.8715942,Txy_K4_001,55,32.0071255,34.8705329
Txy_K5_001,54,32.0075121,34.8698033,Txy_K4_001,55,32.0071255,34.8705329
Txy_K5_M,50,32.0090069,34.8708754,Txy_K5_001,54,32.0075121,34.8698033
Txy_K4_001,55,32.0071255,34.8705329,Txy_K4_002,57,32.0056698,34.8694868
Txy_K4_002,57,32.0056698,34.8694868,Txy_K5_002,56,32.0060883,34.8687733
Txy_K5_001,54,32.0075121,34.8698033,Txy_K5_002,56,32.0060883,34.8687733
Txy_K4_001,55,32.0071255,34.8705329,Txy_M2_001,58,32.0074645,34.8729522
Txy_M2_M,48,32.0077832,34.8731928,Txy_M2_001,58,32.0074645,34.8729522
Txy_M2_001,58,32.0074645,34.8729522,Txy_M2_002,59,32.0059998,34.8728503
Txy_K2_M,52,32.0046323,34.8792378,Txy_K2_001,63,32.0031636,34.8781728
Txy_K2_001,63,32.0031636,34.8781728,Txy_K2_002,64,32.0017306,34.8770248
Txy_R_M,39,32.0050106,34.8785012,Txy_K3_001,61,32.0035684,34.877454
Txy_K3_001,61,32.0035684,34.877454,Txy_K3_002,62,32.0020172,34.8763275
Txy_K3_001,61,32.0035684,34.877454,Txy_K2_001,63,32.0031636,34.8781728
Txy_K3_002,62,32.0020172,34.8763275,Txy_K2_002,64,32.0017306,34.8770248
Txy_M1_001,60,32.0050878,34.8758393,Txy_M1_M,47,32.0058545,34.8769318
Txy_M1_M,47,32.0058545,34.8769318,Txy_K3_001,61,32.0035684,34.877454
Rwy_01_02,3,32.0021621,34.8898509,Txy_T3_K,65,31.9998942,34.8899701
Rwy_01_003,2,32.0005153,34.8887781,Txy_T3_K,65,31.9998942,34.8899701
Rwy_02_002,8,32.0012533,34.8916172,Txy_F_K,66,31.999512,34.8906514
Txy_T3_K,65,31.9998942,34.8899701,Txy_F_K,66,31.999512,34.8906514
Rwy_01_002,1,31.9998849,34.8883956,Txy_M_001,67,31.9994347,34.8892889
Txy_M_001,67,31.9994347,34.8892889,Txy_F_K,66,31.999512,34.8906514
Rwy_02_001,7,31.9996702,34.894687,Txy_L_K,68,31.9976607,34.8939811
Txy_L_K,68,31.9976607,34.8939811,Txy_K_001,71,31.9967932,34.8964044
Txy_K_N,70,31.9980222,34.898003,Txy_K_001,71,31.9967932,34.8964044
Txy_K_N,70,31.9980222,34.898003,Txy_L_N,69,32.0019891,34.8955783
Txy_L_N,69,32.0019891,34.8955783,Rwy_02_001,7,31.9996702,34.894687
Rwy_01_004,4,32.0042956,34.8912242,Txy_L_N,69,32.0019891,34.8955783
Txy_F_K,66,31.999512,34.8906514,Txy_T4_K,101,31.9990898,34.8914424
Txy_T4_K,101,31.9990898,34.8914424,Txy_L_K,68,31.9976607,34.8939811
Txy_T4_K,101,31.9990898,34.8914424,Txy_T4_003,100,31.9970972,34.8906646
Txy_T4_002,99,31.9959851,34.8902653,Txy_T4_003,100,31.9970972,34.8906646
Txy_T4_002,99,31.9959851,34.8902653,Txy_T4_001,98,31.9949625,34.8898773
Rwy_01_001,0,31.9964001,34.886164,Txy_T4_001,98,31.9949625,34.8898773
Ramp_01_001,109,31.9965805,34.8934933,Txy_L_K,68,31.9976607,34.8939811
Ramp_01_001,109,31.9965805,34.8934933,Ramp_01_002,110,31.9950883,34.8928549
Ramp_01_002,110,31.9950883,34.8928549,Ramp_01_003,111,31.9940013,34.8923936
Ramp_01_001,109,31.9965805,34.8934933,Parking_L_001,92,31.9972223,34.8925184
Ramp_01_001,109,31.9965805,34.8934933,Parking_L_002,93,31.9965672,34.8923092
Ramp_01_002,110,31.9950883,34.8928549,Parking_L_003,94,31.9956352,34.8920241
Ramp_01_002,110,31.9950883,34.8928549,Parking_L_004,95,31.9950581,34.8917691
Ramp_01_003,111,31.9940013,34.8923936,Parking_L_005,96,31.9945599,34.8916135
Ramp_01_003,111,31.9940013,34.8923936,Parking_L_006,97,31.9940185,34.8913989
Ramp_01_003,111,31.9940013,34.8923936,Parking_K_001,89,31.9935706,34.8932686
Ramp_01_003,111,31.9940013,34.8923936,Parking_K_003,90,31.9929382,34.8930433
Ramp_01_003,111,31.9940013,34.8923936,Parking_K_005,91,31.9921784,34.8927912
Txy_T4_003,100,31.9970972,34.8906646,Gate_J_001,102,31.9977264,34.8920892
Txy_T4_003,100,31.9970972,34.8906646,Gate_J_002,103,31.9969663,34.8918797
Txy_T4_003,100,31.9970972,34.8906646,Gate_J_003,104,31.9963512,34.8915714
Txy_T4_001,98,31.9949625,34.8898773,Gate_J_005,106,31.9949835,34.8911926
Txy_T4_001,98,31.9949625,34.8898773,Gate_J_006,107,31.9943589,34.8908935
Txy_T4_001,98,31.9949625,34.8898773,Gate_J_007,108,31.9937197,34.8906226
Txy_K4_002,57,32.0056698,34.8694868,Gate_B_007,88,32.0050574,34.8711524
Txy_K4_002,57,32.0056698,34.8694868,Gate_B_006,87,32.0056439,34.8707393
Txy_K4_001,55,32.0071255,34.8705329,Gate_B_005,86,32.0060634,34.8709401
Txy_K4_001,55,32.0071255,34.8705329,Gate_B_004,85,32.0061908,34.8713746
Txy_M2_001,58,32.0074645,34.8729522,Gate_B_003,84,32.0062135,34.8718091
Txy_M2_002,59,32.0059998,34.8728503,Gate_B_002,83,32.0056222,34.8721793
Txy_M2_002,59,32.0059998,34.8728503,Gate_B_001,82,32.0052537,34.8723885
Txy_M2_M,48,32.0077832,34.8731928,Gate_C_005,81,32.0063136,34.8737457
Txy_M1_001,60,32.0050878,34.8758393,Gate_C_001,77,32.0045076,34.8741534
Txy_M1_M,47,32.0058545,34.8769318,Gate_C_002,78,32.0055812,34.8749259
Txy_M1_M,47,32.0058545,34.8769318,Gate_C_003,79,32.0059542,34.8747703
Txy_M1_M,47,32.0058545,34.8769318,Gate_C_004,80,32.0061726,34.8741534
Txy_K3_002,62,32.0020172,34.8763275,Gate_D_001,72,32.0030929,34.8748884
Txy_K3_002,62,32.0020172,34.8763275,Gate_D_002,73,32.0030747,34.8758003
Txy_K3_001,61,32.0035684,34.877454,Gate_D_003,74,32.0037116,34.8760685
Txy_M1_001,60,32.0050878,34.8758393,Gate_D_004,75,32.0041301,34.87587
Txy_M1_001,60,32.0050878,34.8758393,Gate_D_005,76,32.0040027,34.8744807
