id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_S1_R1,0,25.0623046,121.2223757,n0,Txy,,,,
Txy_S5_S,1,25.0706581,121.232776,n1,Txy,,,,
Txy_S7_S,2,25.0784032,121.2427217,n2,Txy,,,,
Txy_S9_S,3,25.0825136,121.2478822,n3,Txy,,,,
Txy_S8_S,4,25.0801718,121.2448245,n4,Txy,,,,
Txy_S10_S,5,25.0845736,121.2505001,n5,Txy,,,,
Txy_S3_S,6,25.0636944,121.2239099,n6,Txy,,,,
Txy_S6_S,7,25.074448,121.23784,n7,Txy,,,,
Txy_S4_S,8,25.0663961,121.2274612,n8,Txy,,,,
Txy_S2_S,9,25.0629558,121.2229658,n9,Txy,,,,
Rwy_01_001,10,25.0730219,121.2161286,n10,Rwy,RW05L,Entry,RW23R,End
Rwy_01_002,11,25.0739353,121.2174053,n11,Rwy,,,,
Rwy_01_003,12,25.076977,121.2211712,n12,Rwy,,,,
Rwy_01_004,13,25.0815964,121.2270617,n13,Rwy,,,,
Rwy_01_005,14,25.0838216,121.2298404,n14,Rwy,,,,
Rwy_01_006,15,25.0859204,121.2325763,n15,Rwy,,,,
Rwy_01_007,16,25.0891561,121.2366103,n16,Rwy,,,,
Rwy_01_008,17,25.0934425,121.2420653,n17,Rwy,,,,
Rwy_01_009,18,25.0943681,121.2432108,n18,Rwy,RW23R,Entry,RW05L,End
Txy_N1_NC,19,25.0715274,121.2175125,n19,Txy,,,,
Txy_N2_NC,20,25.0724943,121.218639,n20,Txy,,,,
Txy_N3_NC,21,25.0734564,121.2199372,n21,Txy,,,,
Txy_N4_NC,22,25.0782976,121.2260752,n22,Txy,,,,
Txy_N5_NC,23,25.0822201,121.2310212,n23,Txy,,,,
Txy_N6_N7,24,25.0844201,121.2318687,n24,Txy,,,,
Txy_N7_NC,25,25.0847733,121.2343388,n25,Txy,,,,
Txy_N9_NC,26,25.0899277,121.240739,n26,Txy,,,,
Txy_N10_NC,27,25.0920152,121.2433955,n27,Txy,,,,
Txy_N11_NC,28,25.0929382,121.2446883,n28,Txy,,,,
Txy_NN_NC,29,25.0805551,121.2289299,n29,Txy,,,,
Txy_W2_NC,30,25.0738265,121.2204272,n30,Txy,,,,
Txy_N1_NP,31,25.070804,121.2181952,n31,Txy,,,,
Txy_N2_NP,32,25.0717467,121.2192841,n32,Txy,,,,
Txy_W1_NP,33,25.0724804,121.2201854,n33,Txy,,,,
Txy_W2_NP,34,25.0730416,121.2211563,n34,Txy,,,,
Txy_WC_NP,35,25.0774251,121.2266568,n35,Txy,,,,
Txy_NN_NP,36,25.079835,121.2297359,n36,Txy,,,,
Txy_N6_NP,37,25.081414,121.2317261,n37,Txy,,,,
Txy_N7_NP,38,25.0841804,121.2351239,n38,Txy,,,,
Txy_EC_NP,39,25.0868044,121.2385394,n39,Txy,,,,
Txy_N6_N7_Rwy_01_006,40,25.0859204,121.2325763,n40,Txy,,,,
Rwy_02_001,41,25.0608968,121.2235093,n41,Rwy,RW05R,Entry,RW23L,End
Rwy_02_002,42,25.0615577,121.2243247,n42,Rwy,,,,
Rwy_02_003,43,25.0622575,121.2252796,n43,Rwy,,,,
Rwy_02_004,44,25.0672894,121.2316574,n44,Rwy,,,,
Rwy_02_005,45,25.0712933,121.2367429,n45,Rwy,,,,
Rwy_02_006,46,25.0747405,121.2410941,n46,Rwy,,,,
Rwy_02_007,47,25.0787423,121.2462186,n47,Rwy,,,,
Rwy_02_008,48,25.0810717,121.2492555,n48,Rwy,,,,
Rwy_02_009,49,25.0830638,121.2517768,n49,Rwy,RW23L,Entry,RW05R,End
Txy_EC_Q7,50,25.0808275,121.2442352,n50,Txy,,,,
Txy_W2_Q,51,25.0678755,121.2259954,n51,Txy,,,,
Txy_R_Q2,52,25.0670758,121.2267302,n52,Txy,,,,
Txy_R_Q1,53,25.0665073,121.2259577,n53,Txy,,,,
Txy_Q1_Q,54,25.067176,121.2252427,n54,Txy,,,,
Txy_Q4_WC,55,25.0722704,121.2315771,n55,Txy,,,,
Txy_WC_R,56,25.0713838,121.2321913,n56,Txy,,,,
Gate_B_001,57,25.0817668,121.2410375,n57,Gate,,,,
Gate_B_002,58,25.0814627,121.2411034,n58,Gate,,,,
Gate_B_003,59,25.0812198,121.240803,n59,Gate,,,,
Gate_B_004,60,25.0809329,121.2401147,n60,Gate,,,,
Gate_B_005,61,25.0804421,121.2394621,n61,Gate,,,,
Gate_B_006,62,25.0799565,121.2388324,n62,Gate,,,,
Gate_B_007,63,25.0794653,121.2382057,n63,Gate,,,,
Gate_B_008,64,25.0789576,121.2375941,n64,Gate,,,,
Gate_B_010,65,25.0783115,121.2371336,n65,Gate,,,,
Gate_A_001,66,25.0846386,121.2384445,n66,Gate,,,,
Gate_A_002,67,25.084658,121.2380637,n67,Gate,,,,
Gate_A_003,68,25.0844564,121.2377606,n68,Gate,,,,
Gate_A_004,69,25.0838739,121.2373501,n69,Gate,,,,
Gate_A_005,70,25.083377,121.2367037,n70,Gate,,,,
Gate_A_006,71,25.082873,121.2360587,n71,Gate,,,,
Gate_A_007,72,25.0823653,121.235474,n72,Gate,,,,
Gate_A_008,73,25.08186,121.2348517,n73,Gate,,,,
Gate_A_009,74,25.0816316,121.2339854,n74,Gate,,,,
Gate_C_001,75,25.0779656,121.2365021,n75,Gate,,,,
Gate_C_002,76,25.0774377,121.235845,n76,Gate,,,,
Gate_C_003,77,25.0769324,121.2353139,n77,Gate,,,,
Gate_C_004,78,25.0764931,121.2347433,n78,Gate,,,,
Gate_C_005,79,25.0760374,121.2342008,n79,Gate,,,,
Gate_C_006,80,25.0756041,121.2336191,n80,Gate,,,,
Gate_C_007,81,25.0752195,121.2329987,n81,Gate,,,,
Gate_C_008,82,25.0747773,121.2324588,n82,Gate,,,,
Gate_C_009,83,25.0743424,121.2318928,n83,Gate,,,,
Gate_C_010,84,25.073893,121.2313322,n84,Gate,,,,
Gate_D_001,85,25.0811202,121.2334705,n85,Gate,,,,
Gate_D_002,86,25.0806406,121.2328114,n86,Gate,,,,
Gate_D_003,87,25.0802786,121.2323286,n87,Gate,,,,
Gate_D_004,88,25.0798228,121.2317832,n88,Gate,,,,
Gate_D_005,89,25.0793515,121.2311984,n89,Gate,,,,
Gate_D_006,90,25.0788098,121.2305225,n90,Gate,,,,
Gate_D_007,91,25.0783142,121.22986,n91,Gate,,,,
Gate_D_008,92,25.0778381,121.2292994,n92,Gate,,,,
Gate_D_009,93,25.0774283,121.2287347,n93,Gate,,,,
