id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_J_001,0,43.6754341,-79.6653418,n0,Txy,,,,
Gate_C_041,1,43.684557,-79.6187603,n1,Gate,,,,
Txy_J2_J,2,43.6783944,-79.6612165,n2,Txy,,,,
Txy_J2_001,3,43.6787203,-79.6593497,n3,Txy,,,,
Gate_01_105,4,43.68287,-79.6156035,n4,Gate,,,,
Txy_J_002,5,43.6793383,-79.65983,n5,Txy,,,,
Txy_J_003,6,43.6841399,-79.6529228,n6,Txy,,,,
Rwy_02_001,7,43.6858429,-79.6524347,n7,Rwy,RW15R,Entry,RW33L,End
Txy_P_F,8,43.6868982,-79.6502965,n8,Txy,,,,
Txy_J_P,9,43.6868904,-79.6512675,n9,Txy,,,,
Txy_J_004,10,43.6878913,-79.6502161,n10,Txy,,,,
Rwy_03_001,11,43.6927258,-79.6432204,n11,Rwy,RW15L,Entry,RW33R,End
Txy_B_J,12,43.6938468,-79.6407581,n12,Txy,,,,
Txy_J_005,13,43.6951655,-79.6366651,n13,Txy,,,,
Txy_H_001,14,43.6727979,-79.6622893,n14,Txy,,,,
Txy_H6_H,15,43.6732131,-79.6614471,n15,Txy,,,,
Txy_H4_H,16,43.6782183,-79.6541618,n16,Txy,,,,
Txy_H4_001,17,43.6789864,-79.6549289,n17,Txy,,,,
Txy_H2_H,18,43.6807905,-79.6503906,n18,Txy,,,,
Txy_H2_001,19,43.6815159,-79.6511738,n19,Txy,,,,
Rwy_02_003,20,43.6824475,-79.6479882,n20,Rwy,,,,
Txy_F_H,21,43.6835786,-79.6463478,n21,Txy,,,,
Txy_F4_F,22,43.684432,-79.6474958,n22,Txy,,,,
Txy_F4_H,23,43.6831324,-79.647013,n23,Txy,,,,
Txy_G_H,24,43.6867091,-79.6417897,n24,Txy,,,,
Txy_H3_H,25,43.6878955,-79.6400577,n25,Txy,,,,
Rwy_03_003,26,43.689051,-79.6383975,n26,Rwy,,,,
Txy_B_H,27,43.6904458,-79.6363805,n27,Txy,,,,
Txy_A_H,28,43.6909656,-79.6356027,n28,Txy,,,,
Txy_H_002,29,43.6918779,-79.6344036,n29,Txy,,,,
Txy_H_Q,30,43.6932587,-79.634071,n30,Txy,,,,
Txy_Q_001,31,43.6944078,-79.6330625,n31,Txy,,,,
Rwy_01_001,32,43.6742604,-79.6639364,n32,Rwy,RW05,Entry,RW23,End
Rwy_01_002,33,43.6747803,-79.6631531,n33,Rwy,,,,
Rwy_01_003,34,43.6792033,-79.6568768,n34,Rwy,,,,
Rwy_01_004,35,43.6810422,-79.6540551,n35,Rwy,,,,
Rwy_01_02,36,43.6839265,-79.6499138,n36,Rwy,,,,
Rwy_01_005,37,43.6850283,-79.6482723,n37,Rwy,,,,
Rwy_01_006,38,43.6868592,-79.6456437,n38,Rwy,,,,
Rwy_01_03,39,43.690521,-79.6403078,n39,Rwy,,,,
Rwy_01_007,40,43.6919097,-79.6383229,n40,Rwy,,,,
Rwy_01_008,41,43.6941438,-79.6350721,n41,Rwy,,,,
Rwy_01_009,42,43.6950282,-79.6337632,n42,Rwy,RW23,Entry,RW05,End
Rwy_02_004,43,43.6811892,-79.6463615,n43,Rwy,,,,
Rwy_02_005,44,43.6788223,-79.6432575,n44,Rwy,,,,
Rwy_02_006,45,43.6724181,-79.6348789,n45,Rwy,,,,
Rwy_02_007,46,43.6688966,-79.6302999,n46,Rwy,RW33L,Entry,RW15R,End
Txy_F2_F,47,43.6820377,-79.6443586,n47,Txy,,,,
Txy_N_F,48,43.6811881,-79.6432214,n48,Txy,,,,
Txy_F2_001,49,43.6807342,-79.6438705,n49,Txy,,,,
Txy_FA_F,50,43.678576,-79.6398086,n50,Txy,,,,
Txy_F1_F,51,43.6714913,-79.6305926,n51,Txy,,,,
Txy_F3_F,52,43.6679215,-79.6259041,n52,Txy,,,,
Txy_F3_001,53,43.6684414,-79.6282537,n53,Txy,,,,
Txy_T_F,54,43.6689692,-79.6272988,n54,Txy,,,,
Rwy_03_004,55,43.6874802,-79.6363283,n55,Rwy,,,,
Rwy_03_005,56,43.6866501,-79.6352876,n56,Rwy,,,,
Rwy_03_006,57,43.6847183,-79.6327771,n57,Rwy,,,,
Rwy_03_007,58,43.6826234,-79.6299876,n58,Rwy,,,,
Rwy_03_008,59,43.6805285,-79.6272624,n59,Rwy,,,,
